comparison,tx_total_power_delta_db,channel_magnitude_delta_db,link_capacity_delta,mimo_capacity_delta,mimo_capacity_per_order_delta,condition_delta_db,erank_delta,erank_fraction_delta,pooled_decorrelation_delta,median_decorrelation_delta,central_rx_capacity_delta
3x3→5x5,2.218487496163563,-0.18999999999999773,0.56,2.4032040000000006,-0.29950186666666667,8.690488999999996,0.17772799999999989,-0.11835400000000001,-0.053100000000000036,-0.014200000000000101,0.7034400000000001
5x5→9x9,2.552725051033061,0.28999999999999204,1.0600000000000005,6.307914,-0.032833911111111114,8.640512000000001,0.7105299999999999,-0.03945000000000001,-0.0706,-0.02899999999999997,0.7240070000000003
3x3→9x9,4.771212547196624,0.09999999999999432,1.6200000000000006,8.711118,-0.3323357777777778,17.331000999999997,0.8882579999999998,-0.15780400000000003,-0.12370000000000003,-0.04320000000000007,1.4274470000000004
