order_n,order_label,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
3,3×3,0,0.0,0.0,0.510072,0.489928,0.357041,0.715594
3,3×3,1,0.95,0.95,0.424618,0.575382,0.460272,0.690738
3,3×3,2,1.9,1.9,0.260363,0.739637,0.446489,0.895156
3,3×3,3,2.85,2.85,0.369052,0.630948,0.531292,0.68743
3,3×3,4,3.8,3.8,0.410554,0.589446,0.472798,0.778593
3,3×3,5,4.75,4.75,0.427022,0.572978,0.489759,0.719622
3,3×3,6,5.7,5.7,0.272237,0.727763,0.643426,0.877494
3,3×3,7,6.65,6.65,0.595015,0.404985,0.335599,0.455072
3,3×3,8,7.6,7.6,0.577731,0.422269,0.170907,0.570659
3,3×3,9,8.55,8.55,0.705487,0.294513,0.226848,0.413893
3,3×3,10,9.5,9.5,0.731039,0.268961,0.259826,0.274972
3,3×3,11,10.45,10.45,0.692652,0.307348,0.240459,0.428374
3,3×3,12,11.4,11.4,0.572416,0.427584,0.161296,0.578526
3,3×3,13,12.35,12.35,0.553894,0.446106,0.389821,0.48001
3,3×3,14,13.3,13.3,0.243799,0.756201,0.644074,0.906074
3,3×3,15,14.25,14.25,0.36806,0.63194,0.530739,0.786967
3,3×3,16,15.2,15.2,0.376647,0.623353,0.485463,0.834553
3,3×3,17,16.15,16.15,0.382085,0.617915,0.536973,0.730011
3,3×3,18,17.1,17.1,0.228026,0.771974,0.47198,0.951088
3,3×3,19,18.05,18.05,0.356413,0.643587,0.480652,0.762837
3,3×3,20,19.0,19.0,0.574378,0.425622,0.315958,0.553746
