order_n,order_label,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
5,5×5,0,0.0,0.0,44.99948,33.06415,1.643853,9.496372
5,5×5,1,0.95,0.95,34.579461,30.776364,1.700632,9.62211
5,5×5,2,1.9,1.9,28.896044,29.216768,2.079605,10.715015
5,5×5,3,2.85,2.85,34.2291,30.68791,1.939674,10.361332
5,5×5,4,3.8,3.8,47.366474,33.509421,1.488288,9.125793
5,5×5,5,4.75,4.75,58.690949,35.371423,1.311803,8.16072
5,5×5,6,5.7,5.7,63.651381,36.076157,1.284277,8.073022
5,5×5,7,6.65,6.65,57.56757,35.203558,1.326874,8.226066
5,5×5,8,7.6,7.6,51.546317,34.243953,1.263794,7.965577
5,5×5,9,8.55,8.55,64.188775,36.149182,1.128729,6.873686
5,5×5,10,9.5,9.5,1267.125119,62.05639,1.061107,6.251208
5,5×5,11,10.45,10.45,63.149759,36.007434,1.128715,6.875035
5,5×5,12,11.4,11.4,50.609882,34.084707,1.269026,7.99782
5,5×5,13,12.35,12.35,55.186668,34.836683,1.331975,8.254274
5,5×5,14,13.3,13.3,64.776068,36.228292,1.284326,8.086331
5,5×5,15,14.25,14.25,56.813652,35.089054,1.307228,8.143751
5,5×5,16,15.2,15.2,52.670612,34.431367,1.490764,9.12614
5,5×5,17,16.15,16.15,34.653886,30.795039,1.936311,10.349906
5,5×5,18,17.1,17.1,29.631776,29.435154,2.074456,10.707589
5,5×5,19,18.05,18.05,34.80398,30.832578,1.717122,9.645698
5,5×5,20,19.0,19.0,43.082786,32.686076,1.619036,9.473026
