order_n,order_label,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
9,9×9,4,21,,3.8,Simul_+15deg,10.9,3.68,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_+0deg,15.0,4.96,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_-15deg,19.9,6.56,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_-30deg,28.4,9.44,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_-45deg,29.5,9.79,,3.8,0.0,-5.699999999999999,2.0
9,9×9,4,21,,3.8,Simul_-60deg,19.9,6.61,,3.8,0.0,-5.699999999999999,2.0
9,9×9,5,21,,4.75,Simul_+60deg,13.1,4.37,,4.75,0.0,-4.75,2.0
9,9×9,5,21,,4.75,Simul_+45deg,11.9,3.98,,4.75,0.0,-4.75,2.0
9,9×9,5,21,,4.75,Simul_+30deg,10.6,3.61,,4.75,0.0,-4.75,2.0
9,9×9,5,21,,4.75,Simul_+15deg,12.7,4.26,,4.75,0.0,-4.75,2.0
9,9×9,5,21,,4.75,Simul_+0deg,14.7,4.88,,4.75,0.0,-4.75,2.0
9,9×9,5,21,,4.75,Simul_-15deg,23.3,7.71,,4.75,0.0,-4.75,2.0
9,9×9,5,21,,4.75,Simul_-30deg,30.8,10.22,,4.75,0.0,-4.75,2.0
9,9×9,5,21,,4.75,Simul_-45deg,28.5,9.47,,4.75,0.0,-4.75,2.0
9,9×9,5,21,,4.75,Simul_-60deg,18.4,6.03,,4.75,0.0,-4.75,2.0
9,9×9,6,21,,5.7,Simul_+60deg,14.8,4.9,,5.699999999999999,0.0,-3.8,2.0
9,9×9,6,21,,5.7,Simul_+45deg,12.1,4.05,,5.699999999999999,0.0,-3.8,2.0
9,9×9,6,21,,5.7,Simul_+30deg,12.2,4.11,,5.699999999999999,0.0,-3.8,2.0
9,9×9,6,21,,5.7,Simul_+15deg,14.0,4.67,,5.699999999999999,0.0,-3.8,2.0
9,9×9,6,21,,5.7,Simul_+0deg,16.8,5.57,,5.699999999999999,0.0,-3.8,2.0
9,9×9,6,21,,5.7,Simul_-15deg,28.6,9.49,,5.699999999999999,0.0,-3.8,2.0
9,9×9,6,21,,5.7,Simul_-30deg,32.0,10.64,,5.699999999999999,0.0,-3.8,2.0
9,9×9,6,21,,5.7,Simul_-45deg,24.9,8.26,,5.699999999999999,0.0,-3.8,2.0
9,9×9,6,21,,5.7,Simul_-60deg,18.8,6.21,,5.699999999999999,0.0,-3.8,2.0
9,9×9,7,21,,6.65,Simul_+60deg,14.3,4.76,,6.6499999999999995,0.0,-2.8500000000000005,2.0
