source,lens,rx_index,tx_index,native_rx,native_tx,freq_ghz,channel_real,channel_imag,magnitude_linear,magnitude_db,phase_deg
HFSS SBR+ Solver,without,2,3,rx2,tx3,37.0,0.01058235578251,-0.00461182959648,0.011543622747413038,-38.75315749379011,-23.547749426126188
HFSS SBR+ Solver,without,2,3,rx2,tx3,38.0,-0.013078122439,-0.00339315494788,0.013511135667655693,-37.386162903397725,-165.45515695914617
HFSS SBR+ Solver,without,2,3,rx2,tx3,39.0,0.006385114753887,0.012509406853,0.01404474813708629,-37.04972089094886,62.959094544358045
HFSS SBR+ Solver,without,3,1,rx3,tx1,37.0,-0.0364957762331,-0.014316678734,0.03920343062576379,-28.13351853885239,-158.5807585959655
HFSS SBR+ Solver,without,3,1,rx3,tx1,38.0,0.02329738122299,0.02779653610622,0.036268655769875445,-28.80937080873537,50.032289631023616
HFSS SBR+ Solver,without,3,1,rx3,tx1,39.0,0.00116464597848,-0.0321643176527,0.03218539622746593,-29.846822799929498,-87.92626849167179
HFSS SBR+ Solver,without,3,2,rx3,tx2,37.0,0.01054283525915,-0.00442258092523,0.01143287353825733,-38.836892006330224,-22.757409319274537
HFSS SBR+ Solver,without,3,2,rx3,tx2,38.0,-0.01296077255466,-0.00341345117738,0.013402733831348919,-37.45613214199915,-165.24518575892364
HFSS SBR+ Solver,without,3,2,rx3,tx2,39.0,0.00631685274012,0.0123856602884,0.013903496298413946,-37.1375194881928,62.97780903194806
HFSS SBR+ Solver,without,3,3,rx3,tx3,37.0,0.061756993828574,0.01647503081198,0.06391676561746705,-23.8877041951661,14.937046361920906
HFSS SBR+ Solver,without,3,3,rx3,tx3,38.0,-0.043862083583,-0.0321275993977223,0.05436970681641207,-25.292860177691633,-143.7783941148658
HFSS SBR+ Solver,without,3,3,rx3,tx3,39.0,0.01270337811498,0.0423130855162,0.044178875284839554,-27.095706893694334,73.28901383335878
