trajectory,system,waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
Linear,Without Lens,0,0.0,0.0,4.484722e-09,2.330351e-09,1.322178e-09,2.874269e-09
Linear,Without Lens,1,0.95,0.95,4.950087e-09,1.755421e-09,1.382834e-09,2.331488e-09
Linear,Without Lens,2,1.9,1.9,5.417896e-09,6.629633e-09,4.869672e-09,1.012428e-08
Linear,Without Lens,3,2.85,2.85,6.615248e-09,1.352149e-08,8.742903e-09,2.3042e-08
Linear,Without Lens,4,3.8,3.8,8.596581e-09,2.628418e-08,2.00042e-08,3.872715e-08
Linear,Without Lens,5,4.75,4.75,1.050543e-08,3.330713e-08,3.097837e-08,3.467143e-08
Linear,Without Lens,6,5.7,5.7,1.267519e-08,3.710716e-08,6.829913e-09,5.22674e-08
Linear,Without Lens,7,6.65,6.65,1.460119e-08,4.360606e-08,1.58672e-08,5.767556e-08
Linear,Without Lens,8,7.6,7.6,1.661976e-08,4.981077e-08,4.218327e-08,6.468571e-08
Linear,Without Lens,9,8.55,8.55,1.809296e-08,2.587363e-08,1.508947e-08,4.726255e-08
Linear,Without Lens,10,9.5,9.5,1.891747e-08,1.027846e-09,8.212625e-10,1.384395e-09
Linear,Without Lens,11,10.45,10.45,1.799453e-08,2.610272e-08,1.525023e-08,4.762242e-08
Linear,Without Lens,12,11.4,11.4,1.669777e-08,5.011877e-08,4.263164e-08,6.48249e-08
Linear,Without Lens,13,12.35,12.35,1.46179e-08,4.367146e-08,1.574608e-08,5.774042e-08
Linear,Without Lens,14,13.3,13.3,1.253775e-08,3.672743e-08,6.909375e-09,5.181319e-08
Linear,Without Lens,15,14.25,14.25,1.042808e-08,3.304497e-08,3.107976e-08,3.413024e-08
Linear,Without Lens,16,15.2,15.2,8.55972e-09,2.614019e-08,1.968569e-08,3.874915e-08
Linear,Without Lens,17,16.15,16.15,6.728635e-09,1.364461e-08,8.803185e-09,2.330187e-08
Linear,Without Lens,18,17.1,17.1,5.467349e-09,6.607923e-09,4.797029e-09,1.011115e-08
Linear,Without Lens,19,18.05,18.05,4.946611e-09,1.674024e-09,1.303126e-09,2.387112e-09
Linear,Without Lens,20,19.0,19.0,4.527128e-09,2.17889e-09,1.257513e-09,2.791332e-09
Half-Circular,Without Lens,0,0.0,0.0,3.220038e-09,9.662364e-09,5.711364e-09,1.16618e-08
Half-Circular,Without Lens,1,0.785149,0.785149,2.126004e-09,6.432922e-09,3.744982e-09,8.23187e-09
Half-Circular,Without Lens,2,1.570298,1.570298,2.42792e-09,7.4937e-09,5.133784e-09,8.862305e-09
Half-Circular,Without Lens,3,2.355447,2.355447,3.174638e-09,9.884776e-09,8.615307e-09,1.066109e-08
Half-Circular,Without Lens,4,3.140596,3.140596,3.939276e-09,1.226437e-08,1.168992e-08,1.322399e-08
Half-Circular,Without Lens,5,3.925745,3.925745,4.39917e-09,1.330895e-08,1.105317e-08,1.762158e-08
Half-Circular,Without Lens,6,4.710894,4.710894,5.219248e-09,1.260053e-08,8.827523e-09,2.002434e-08
Half-Circular,Without Lens,7,5.496043,5.496043,5.816868e-09,1.038545e-08,6.974954e-09,1.716854e-08
Half-Circular,Without Lens,8,6.281192,6.281192,6.805439e-09,5.783438e-09,4.259734e-09,8.738589e-09
Half-Circular,Without Lens,9,7.066341,7.066341,8.020308e-09,1.960335e-09,1.654904e-09,2.553063e-09
Half-Circular,Without Lens,10,7.85149,7.85149,9.40514e-09,8.588476e-09,5.244585e-09,1.518924e-08
Half-Circular,Without Lens,11,8.636639,8.636639,1.111682e-08,2.596213e-08,1.724594e-08,4.332334e-08
Half-Circular,Without Lens,12,9.421788,9.421788,1.29741e-08,4.068101e-08,3.585629e-08,5.007387e-08
Half-Circular,Without Lens,13,10.206937,10.206937,1.416066e-08,4.273831e-08,2.008631e-08,5.408006e-08
Half-Circular,Without Lens,14,10.992086,10.992086,1.56457e-08,4.456429e-08,4.027439e-09,6.510706e-08
Half-Circular,Without Lens,15,11.777235,11.777235,1.660248e-08,5.110213e-08,4.08735e-08,5.645962e-08
Half-Circular,Without Lens,16,12.562384,12.562384,1.821686e-08,4.804951e-08,3.522376e-08,7.364727e-08
Half-Circular,Without Lens,17,13.347533,13.347533,1.824379e-08,1.935842e-08,1.088734e-08,3.613719e-08
Half-Circular,Without Lens,18,14.132682,14.132682,1.891746e-08,1.027922e-09,8.212952e-10,1.384439e-09
Half-Circular,Without Lens,19,14.91783,14.91783,1.835973e-08,1.972429e-08,1.108763e-08,3.681407e-08
Half-Circular,Without Lens,20,15.702979,15.702979,1.810434e-08,4.79884e-08,3.531011e-08,7.330712e-08
Half-Circular,Without Lens,21,16.488128,16.488128,1.670823e-08,5.138808e-08,4.080804e-08,5.690522e-08
Half-Circular,Without Lens,22,17.273277,17.273277,1.534873e-08,4.3683e-08,3.787228e-09,6.396127e-08
Half-Circular,Without Lens,23,18.058426,18.058426,1.418971e-08,4.286893e-08,2.034785e-08,5.433281e-08
Half-Circular,Without Lens,24,18.843575,18.843575,1.310549e-08,4.101713e-08,3.619937e-08,5.055116e-08
Half-Circular,Without Lens,25,19.628724,19.628724,1.1224e-08,2.612001e-08,1.726414e-08,4.365748e-08
Half-Circular,Without Lens,26,20.413873,20.413873,9.526307e-09,8.566809e-09,5.243667e-09,1.515805e-08
Half-Circular,Without Lens,27,21.199022,21.199022,8.137747e-09,2.063626e-09,1.753579e-09,2.675135e-09
Half-Circular,Without Lens,28,21.984171,21.984171,6.869402e-09,5.859242e-09,4.308875e-09,8.956659e-09
Half-Circular,Without Lens,29,22.76932,22.76932,6.08268e-09,1.049131e-08,7.018352e-09,1.742664e-08
Half-Circular,Without Lens,30,23.554469,23.554469,5.224357e-09,1.279772e-08,8.993951e-09,2.023136e-08
Half-Circular,Without Lens,31,24.339618,24.339618,4.569031e-09,1.379834e-08,1.15312e-08,1.819092e-08
Half-Circular,Without Lens,32,25.124767,25.124767,4.084993e-09,1.272399e-08,1.207365e-08,1.384779e-08
Half-Circular,Without Lens,33,25.909916,25.909916,3.222676e-09,1.00491e-08,8.553807e-09,1.080671e-08
Half-Circular,Without Lens,34,26.695065,26.695065,3.21446e-09,9.795276e-09,7.065493e-09,1.123729e-08
Half-Circular,Without Lens,35,27.480214,27.480214,2.275866e-09,6.960683e-09,4.216989e-09,8.724578e-09
Half-Circular,Without Lens,36,28.265363,28.265363,1.498904e-09,4.759268e-09,2.806061e-09,5.862166e-09
Linear,Lens,0,0.0,0.0,2.211881e-09,2.055364e-08,2.114439e-09,3.515074e-08
Linear,Lens,1,0.95,0.95,2.056322e-09,2.764852e-08,2.236224e-09,4.467e-08
Linear,Lens,2,1.9,1.9,2.135613e-09,3.929397e-08,2.715358e-09,6.288013e-08
Linear,Lens,3,2.85,2.85,3.013036e-09,5.539124e-08,2.578996e-09,8.891411e-08
Linear,Lens,4,3.8,3.8,4.713146e-09,5.82777e-08,5.648336e-09,9.34365e-08
Linear,Lens,5,4.75,4.75,3.625924e-09,4.187975e-08,4.306898e-09,6.660717e-08
Linear,Lens,6,5.7,5.7,1.352197e-09,1.252204e-08,4.839966e-09,1.949725e-08
Linear,Lens,7,6.65,6.65,3.002115e-09,1.086863e-08,4.303541e-09,1.672918e-08
Linear,Lens,8,7.6,7.6,8.497525e-09,6.556518e-08,1.105829e-08,1.189061e-07
Linear,Lens,9,8.55,8.55,1.332868e-08,1.311271e-07,3.747175e-09,1.960017e-07
