trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Half-Circular,Without Lens,12,37,,9.42,Simul_0,17.1,5.68,-30.0,9.42477796076938,-1.205771365940052,-4.499999999999999,2.0
Half-Circular,Without Lens,12,37,,9.42,Simul_-1,17.1,5.68,-30.0,9.42477796076938,-1.205771365940052,-4.499999999999999,2.0
Half-Circular,Without Lens,13,37,,10.21,Simul_+1,17.5,5.8,-25.0,10.210176124166829,-0.8432299166701505,-3.803564355666295,2.0
Half-Circular,Without Lens,13,37,,10.21,Simul_0,17.5,5.8,-25.0,10.210176124166829,-0.8432299166701505,-3.803564355666295,2.0
Half-Circular,Without Lens,13,37,,10.21,Simul_-1,17.5,5.81,-25.0,10.210176124166829,-0.8432299166701505,-3.803564355666295,2.0
Half-Circular,Without Lens,14,37,,10.99,Simul_+1,17.9,5.94,-20.0,10.995574287564276,-0.5427664129268237,-3.0781812899310186,2.0
Half-Circular,Without Lens,14,37,,10.99,Simul_0,17.9,5.94,-20.0,10.995574287564276,-0.5427664129268237,-3.0781812899310186,2.0
Half-Circular,Without Lens,14,37,,10.99,Simul_-1,17.9,5.94,-20.0,10.995574287564276,-0.5427664129268237,-3.0781812899310186,2.0
Half-Circular,Without Lens,15,37,,11.78,Simul_+1,18.2,6.04,-15.0,11.780972450961725,-0.30666756339838486,-2.3293714059226867,2.0
Half-Circular,Without Lens,15,37,,11.78,Simul_0,18.2,6.04,-15.0,11.780972450961725,-0.30666756339838486,-2.3293714059226867,2.0
Half-Circular,Without Lens,15,37,,11.78,Simul_-1,18.2,6.04,-15.0,11.780972450961725,-0.30666756339838486,-2.3293714059226867,2.0
Half-Circular,Without Lens,16,37,,12.56,Simul_+1,18.5,6.12,-10.0,12.566370614359172,-0.1367302228901277,-1.562833599002373,2.0
Half-Circular,Without Lens,16,37,,12.56,Simul_0,18.4,6.12,-10.0,12.566370614359172,-0.1367302228901277,-1.562833599002373,2.0
Half-Circular,Without Lens,16,37,,12.56,Simul_-1,18.4,6.12,-10.0,12.566370614359172,-0.1367302228901277,-1.562833599002373,2.0
Half-Circular,Without Lens,17,37,,13.35,Simul_+1,18.5,6.14,-5.0,13.351768777756622,-0.034247717174290315,-0.7844016847289235,2.0
Half-Circular,Without Lens,17,37,,13.35,Simul_0,18.5,6.13,-5.0,13.351768777756622,-0.034247717174290315,-0.7844016847289235,2.0
Half-Circular,Without Lens,17,37,,13.35,Simul_-1,18.5,6.13,-5.0,13.351768777756622,-0.034247717174290315,-0.7844016847289235,2.0
Half-Circular,Without Lens,18,37,,14.13,Simul_+1,18.5,6.14,0.0,14.137166941154069,0.0,0.0,2.0
Half-Circular,Without Lens,18,37,,14.13,Simul_0,18.5,6.14,0.0,14.137166941154069,0.0,0.0,2.0
Half-Circular,Without Lens,18,37,,14.13,Simul_-1,18.5,6.14,0.0,14.137166941154069,0.0,0.0,2.0
Half-Circular,Without Lens,19,37,,14.92,Simul_+1,18.5,6.13,5.0,14.922565104551518,-0.034247717174290315,0.7844016847289235,2.0
Half-Circular,Without Lens,19,37,,14.92,Simul_0,18.5,6.13,5.0,14.922565104551518,-0.034247717174290315,0.7844016847289235,2.0
Half-Circular,Without Lens,19,37,,14.92,Simul_-1,18.5,6.14,5.0,14.922565104551518,-0.034247717174290315,0.7844016847289235,2.0
Half-Circular,Without Lens,20,37,,15.7,Simul_+1,18.4,6.11,10.0,15.707963267948966,-0.1367302228901277,1.562833599002373,2.0
Half-Circular,Without Lens,20,37,,15.7,Simul_0,18.4,6.12,10.0,15.707963267948966,-0.1367302228901277,1.562833599002373,2.0
Half-Circular,Without Lens,20,37,,15.7,Simul_-1,18.5,6.12,10.0,15.707963267948966,-0.1367302228901277,1.562833599002373,2.0
Half-Circular,Without Lens,21,37,,16.49,Simul_+1,18.2,6.04,15.0,16.493361431346415,-0.30666756339838486,2.3293714059226867,2.0
Half-Circular,Without Lens,21,37,,16.49,Simul_0,18.2,6.04,15.0,16.493361431346415,-0.30666756339838486,2.3293714059226867,2.0
Half-Circular,Without Lens,21,37,,16.49,Simul_-1,18.2,6.04,15.0,16.493361431346415,-0.30666756339838486,2.3293714059226867,2.0
Half-Circular,Without Lens,22,37,,17.27,Simul_+1,17.9,5.93,20.0,17.278759594743864,-0.5427664129268237,3.0781812899310186,2.0
Half-Circular,Without Lens,22,37,,17.27,Simul_0,17.9,5.93,20.0,17.278759594743864,-0.5427664129268237,3.0781812899310186,2.0
Half-Circular,Without Lens,22,37,,17.27,Simul_-1,17.9,5.93,20.0,17.278759594743864,-0.5427664129268237,3.0781812899310186,2.0
Half-Circular,Without Lens,23,37,,18.06,Simul_+1,17.5,5.8,25.0,18.06415775814131,-0.8432299166701505,3.803564355666295,2.0
Half-Circular,Without Lens,23,37,,18.06,Simul_0,17.5,5.8,25.0,18.06415775814131,-0.8432299166701505,3.803564355666295,2.0
Half-Circular,Without Lens,23,37,,18.06,Simul_-1,17.5,5.79,25.0,18.06415775814131,-0.8432299166701505,3.803564355666295,2.0
Half-Circular,Without Lens,24,37,,18.84,Simul_+1,17.1,5.68,30.0,18.84955592153876,-1.205771365940052,4.499999999999999,2.0
Half-Circular,Without Lens,24,37,,18.84,Simul_0,17.1,5.68,30.0,18.84955592153876,-1.205771365940052,4.499999999999999,2.0
Half-Circular,Without Lens,24,37,,18.84,Simul_-1,17.1,5.68,30.0,18.84955592153876,-1.205771365940052,4.499999999999999,2.0
Half-Circular,Without Lens,25,37,,19.63,Simul_+1,16.6,5.51,35.0,19.634954084936208,-1.6276316013990737,5.162187927159414,2.0
Half-Circular,Without Lens,25,37,,19.63,Simul_0,16.6,5.51,35.0,19.634954084936208,-1.6276316013990737,5.162187927159414,2.0
Half-Circular,Without Lens,25,37,,19.63,Simul_-1,16.6,5.53,35.0,19.634954084936208,-1.6276316013990737,5.162187927159414,2.0
Half-Circular,Without Lens,26,37,,20.41,Simul_+1,16.0,5.33,40.0,20.420352248333657,-2.105600011929198,5.785088487178854,2.0
Half-Circular,Without Lens,26,37,,20.41,Simul_0,16.0,5.31,40.0,20.420352248333657,-2.105600011929198,5.785088487178854,2.0
Half-Circular,Without Lens,26,37,,20.41,Simul_-1,16.0,5.32,40.0,20.420352248333657,-2.105600011929198,5.785088487178854,2.0
Half-Circular,Without Lens,27,37,,21.2,Simul_+1,15.3,5.09,45.0,21.205750411731103,-2.6360389693210715,6.3639610306789285,2.0
Half-Circular,Without Lens,27,37,,21.2,Simul_0,15.3,5.09,45.0,21.205750411731103,-2.6360389693210715,6.3639610306789285,2.0
Half-Circular,Without Lens,27,37,,21.2,Simul_-1,15.4,5.1,45.0,21.205750411731103,-2.6360389693210715,6.3639610306789285,2.0
Half-Circular,Without Lens,28,37,,21.98,Simul_+1,14.7,4.88,50.0,21.991148575128552,-3.2149115128211454,6.894399988070802,2.0
Half-Circular,Without Lens,28,37,,21.98,Simul_0,14.7,4.89,50.0,21.991148575128552,-3.2149115128211454,6.894399988070802,2.0
Half-Circular,Without Lens,28,37,,21.98,Simul_-1,14.7,4.89,50.0,21.991148575128552,-3.2149115128211454,6.894399988070802,2.0
Half-Circular,Without Lens,29,37,,22.77,Simul_+1,14.0,4.65,55.0,22.776546738526,-3.8378120728405856,7.372368398600926,2.0
Half-Circular,Without Lens,29,37,,22.77,Simul_0,13.9,4.61,55.0,22.776546738526,-3.8378120728405856,7.372368398600926,2.0
Half-Circular,Without Lens,29,37,,22.77,Simul_-1,13.9,4.61,55.0,22.776546738526,-3.8378120728405856,7.372368398600926,2.0
Half-Circular,Without Lens,30,37,,23.55,Simul_+1,13.4,4.4,60.0,23.56194490192345,-4.499999999999999,7.794228634059947,2.0
Half-Circular,Without Lens,30,37,,23.55,Simul_0,13.4,4.42,60.0,23.56194490192345,-4.499999999999999,7.794228634059947,2.0
Half-Circular,Without Lens,30,37,,23.55,Simul_-1,13.4,4.43,60.0,23.56194490192345,-4.499999999999999,7.794228634059947,2.0
Half-Circular,Without Lens,31,37,,24.34,Simul_+1,12.6,4.18,65.0,24.347343065320896,-5.196435644333706,8.15677008332985,2.0
Half-Circular,Without Lens,31,37,,24.34,Simul_0,12.6,4.19,65.0,24.347343065320896,-5.196435644333706,8.15677008332985,2.0
Half-Circular,Without Lens,31,37,,24.34,Simul_-1,12.7,4.22,65.0,24.347343065320896,-5.196435644333706,8.15677008332985,2.0
Half-Circular,Without Lens,32,37,,25.12,Simul_+1,11.8,3.92,70.0,25.132741228718345,-5.9218187100689805,8.457233587073175,2.0
Half-Circular,Without Lens,32,37,,25.12,Simul_0,11.8,3.92,70.0,25.132741228718345,-5.9218187100689805,8.457233587073175,2.0
Half-Circular,Without Lens,32,37,,25.12,Simul_-1,11.8,3.93,70.0,25.132741228718345,-5.9218187100689805,8.457233587073175,2.0
Half-Circular,Without Lens,33,37,,25.91,Simul_+1,11.0,3.68,75.0,25.91813939211579,-6.670628594077313,8.693332436601615,2.0
Half-Circular,Without Lens,33,37,,25.91,Simul_0,11.1,3.71,75.0,25.91813939211579,-6.670628594077313,8.693332436601615,2.0
Half-Circular,Without Lens,33,37,,25.91,Simul_-1,11.2,3.75,75.0,25.91813939211579,-6.670628594077313,8.693332436601615,2.0
Half-Circular,Without Lens,34,37,,26.7,Simul_+1,10.5,3.47,80.0,26.703537555513243,-7.437166400997626,8.863269777109872,2.0
Half-Circular,Without Lens,34,37,,26.7,Simul_0,10.4,3.46,80.0,26.703537555513243,-7.437166400997626,8.863269777109872,2.0
Half-Circular,Without Lens,34,37,,26.7,Simul_-1,10.3,3.46,80.0,26.703537555513243,-7.437166400997626,8.863269777109872,2.0
Half-Circular,Without Lens,35,37,,27.48,Simul_+1,10.0,3.31,85.0,27.48893571891069,-8.215598315271077,8.96575228282571,2.0
Half-Circular,Without Lens,35,37,,27.48,Simul_0,9.7,3.21,85.0,27.48893571891069,-8.215598315271077,8.96575228282571,2.0
Half-Circular,Without Lens,35,37,,27.48,Simul_-1,9.5,3.15,85.0,27.48893571891069,-8.215598315271077,8.96575228282571,2.0
Half-Circular,Without Lens,36,37,,28.27,Simul_+1,11.0,3.68,90.0,28.274333882308138,-9.0,9.0,2.0
Half-Circular,Without Lens,36,37,,28.27,Simul_0,11.0,3.69,90.0,28.274333882308138,-9.0,9.0,2.0
Half-Circular,Without Lens,36,37,,28.27,Simul_-1,11.0,3.68,90.0,28.274333882308138,-9.0,9.0,2.0
