trajectory,system,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
Linear,Lens,16,15.2,15.2,0.376647,0.623353,0.485463,0.834553
Linear,Lens,17,16.15,16.15,0.382085,0.617915,0.536973,0.730011
Linear,Lens,18,17.1,17.1,0.228026,0.771974,0.47198,0.951088
Linear,Lens,19,18.05,18.05,0.356413,0.643587,0.480652,0.762837
Linear,Lens,20,19.0,19.0,0.574378,0.425622,0.315958,0.553746
Half-Circular,Lens,0,0.0,0.0,0.50245,0.49755,0.385669,0.677912
Half-Circular,Lens,1,0.785149,0.785149,0.576664,0.423336,0.134692,0.608392
Half-Circular,Lens,2,1.570298,1.570298,0.436188,0.563812,0.248636,0.731519
Half-Circular,Lens,3,2.355447,2.355447,0.34203,0.65797,0.591354,0.697999
Half-Circular,Lens,4,3.140596,3.140596,0.386414,0.613586,0.587002,0.639323
Half-Circular,Lens,5,3.925745,3.925745,0.375798,0.624202,0.514549,0.682199
Half-Circular,Lens,6,4.710894,4.710894,0.547206,0.452794,0.351143,0.588033
Half-Circular,Lens,7,5.496043,5.496043,0.58077,0.41923,0.219805,0.543037
Half-Circular,Lens,8,6.281192,6.281192,0.449767,0.550233,0.402061,0.691579
Half-Circular,Lens,9,7.066341,7.066341,0.415163,0.584837,0.383302,0.73585
Half-Circular,Lens,10,7.85149,7.85149,0.345729,0.654271,0.433456,0.857028
Half-Circular,Lens,11,8.636639,8.636639,0.484457,0.515543,0.386799,0.593993
Half-Circular,Lens,12,9.421788,9.421788,0.45506,0.54494,0.420866,0.701511
Half-Circular,Lens,13,10.206937,10.206937,0.204807,0.795193,0.638676,0.966135
Half-Circular,Lens,14,10.992086,10.992086,0.452626,0.547374,0.47463,0.625861
Half-Circular,Lens,15,11.777235,11.777235,0.649847,0.350153,0.161431,0.468023
Half-Circular,Lens,16,12.562384,12.562384,0.721665,0.278335,0.228493,0.36687
Half-Circular,Lens,17,13.347533,13.347533,0.720969,0.279031,0.1678,0.384702
Half-Circular,Lens,18,14.132682,14.132682,0.731039,0.268961,0.259823,0.274978
Half-Circular,Lens,19,14.91783,14.91783,0.693769,0.306231,0.168323,0.42098
Half-Circular,Lens,20,15.702979,15.702979,0.738661,0.261339,0.201774,0.326938
Half-Circular,Lens,21,16.488128,16.488128,0.593967,0.406033,0.159957,0.545255
Half-Circular,Lens,22,17.273277,17.273277,0.440036,0.559964,0.499538,0.599751
Half-Circular,Lens,23,18.058426,18.058426,0.180835,0.819165,0.70744,0.967769
Half-Circular,Lens,24,18.843575,18.843575,0.410664,0.589336,0.502803,0.743617
Half-Circular,Lens,25,19.628724,19.628724,0.509679,0.490321,0.401016,0.593502
Half-Circular,Lens,26,20.413873,20.413873,0.307884,0.692116,0.437567,0.934634
