trajectory,channel_magnitude_delta_db,link_capacity_delta,link_capacity_relative_percent,outage_delta_percentage_points,mimo_condition_delta_db,mimo_erank_delta,mimo_capacity_delta,pooled_decorrelation_delta,median_decorrelation_delta,raw_difference_power_ratio_db
Linear,-7.010000000000005,-1.8400000000000003,-34.01109057301295,0.0,0.5465720000000012,-0.04794799999999988,-0.26887099999999986,0.0022999999999999687,0.43990000000000007,3.268617771822573
Half-Circular,-6.400000000000006,-1.5500000000000003,-30.511811023622048,0.0,-4.0197210000000005,-0.04259199999999996,-0.12539299999999987,0.012799999999999923,0.488,3.0476178952939326
