waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
0,0.0,0.0,0.50245,0.49755,0.385669,0.677912
1,0.785149,0.785149,0.576664,0.423336,0.134692,0.608392
2,1.570298,1.570298,0.436188,0.563812,0.248636,0.731519
3,2.355447,2.355447,0.34203,0.65797,0.591354,0.697999
4,3.140596,3.140596,0.386414,0.613586,0.587002,0.639323
5,3.925745,3.925745,0.375798,0.624202,0.514549,0.682199
6,4.710894,4.710894,0.547206,0.452794,0.351143,0.588033
7,5.496043,5.496043,0.58077,0.41923,0.219805,0.543037
8,6.281192,6.281192,0.449767,0.550233,0.402061,0.691579
9,7.066341,7.066341,0.415163,0.584837,0.383302,0.73585
10,7.85149,7.85149,0.345729,0.654271,0.433456,0.857028
11,8.636639,8.636639,0.484457,0.515543,0.386799,0.593993
12,9.421788,9.421788,0.45506,0.54494,0.420866,0.701511
13,10.206937,10.206937,0.204807,0.795193,0.638676,0.966135
14,10.992086,10.992086,0.452626,0.547374,0.47463,0.625861
15,11.777235,11.777235,0.649847,0.350153,0.161431,0.468023
16,12.562384,12.562384,0.721665,0.278335,0.228493,0.36687
17,13.347533,13.347533,0.720969,0.279031,0.1678,0.384702
18,14.132682,14.132682,0.731039,0.268961,0.259823,0.274978
19,14.91783,14.91783,0.693769,0.306231,0.168323,0.42098
20,15.702979,15.702979,0.738661,0.261339,0.201774,0.326938
21,16.488128,16.488128,0.593967,0.406033,0.159957,0.545255
22,17.273277,17.273277,0.440036,0.559964,0.499538,0.599751
23,18.058426,18.058426,0.180835,0.819165,0.70744,0.967769
24,18.843575,18.843575,0.410664,0.589336,0.502803,0.743617
25,19.628724,19.628724,0.509679,0.490321,0.401016,0.593502
26,20.413873,20.413873,0.307884,0.692116,0.437567,0.934634
27,21.199022,21.199022,0.431136,0.568864,0.367388,0.721188
28,21.984171,21.984171,0.435658,0.564342,0.364213,0.705458
29,22.76932,22.76932,0.505055,0.494945,0.199287,0.680527
30,23.554469,23.554469,0.432507,0.567493,0.369167,0.727916
31,24.339618,24.339618,0.292625,0.707375,0.558397,0.790442
32,25.124767,25.124767,0.307493,0.692507,0.679277,0.707385
33,25.909916,25.909916,0.358855,0.641145,0.528156,0.713983
34,26.695065,26.695065,0.446152,0.553848,0.291072,0.696636
35,27.480214,27.480214,0.549607,0.450393,0.193075,0.621708
36,28.265363,28.265363,0.536044,0.463956,0.239059,0.632097
