trajectory,system,waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
Half-Circular,Without Lens,4,3.140596,3.140596,0.948178,0.051822,0.034905,0.084216
Half-Circular,Without Lens,5,3.925745,3.925745,0.926486,0.073514,0.056678,0.105561
Half-Circular,Without Lens,6,4.710894,4.710894,0.945075,0.054925,0.035784,0.092614
Half-Circular,Without Lens,7,5.496043,5.496043,0.886799,0.113201,0.0915,0.156115
Half-Circular,Without Lens,8,6.281192,6.281192,0.847242,0.152758,0.131675,0.191434
Half-Circular,Without Lens,9,7.066341,7.066341,0.893047,0.106953,0.092363,0.13551
Half-Circular,Without Lens,10,7.85149,7.85149,0.911989,0.088011,0.086166,0.089237
Half-Circular,Without Lens,11,8.636639,8.636639,0.908131,0.091869,0.056351,0.109874
Half-Circular,Without Lens,12,9.421788,9.421788,0.929204,0.070796,0.015069,0.098775
Half-Circular,Without Lens,13,10.206937,10.206937,0.931821,0.068179,0.042992,0.080991
Half-Circular,Without Lens,14,10.992086,10.992086,0.933217,0.066783,0.054636,0.090088
Half-Circular,Without Lens,15,11.777235,11.777235,0.955121,0.044879,0.038851,0.056447
Half-Circular,Without Lens,16,12.562384,12.562384,0.96182,0.03818,0.033043,0.048087
Half-Circular,Without Lens,17,13.347533,13.347533,0.969351,0.030649,0.029564,0.032373
Half-Circular,Without Lens,18,14.132682,14.132682,0.973565,0.026435,0.021104,0.035615
Half-Circular,Without Lens,19,14.91783,14.91783,0.97,0.03,0.028101,0.033005
Half-Circular,Without Lens,20,15.702979,15.702979,0.961047,0.038953,0.033936,0.048712
Half-Circular,Without Lens,21,16.488128,16.488128,0.9552,0.0448,0.038751,0.056769
Half-Circular,Without Lens,22,17.273277,17.273277,0.933418,0.066582,0.054789,0.089892
Half-Circular,Without Lens,23,18.058426,18.058426,0.931808,0.068192,0.043357,0.081513
Half-Circular,Without Lens,24,18.843575,18.843575,0.930641,0.069359,0.015059,0.09674
Half-Circular,Without Lens,25,19.628724,19.628724,0.908087,0.091913,0.056268,0.110597
Half-Circular,Without Lens,26,20.413873,20.413873,0.912815,0.087185,0.086357,0.087772
Half-Circular,Without Lens,27,21.199022,21.199022,0.889239,0.110761,0.095708,0.140228
Half-Circular,Without Lens,28,21.984171,21.984171,0.85122,0.14878,0.126861,0.192159
Half-Circular,Without Lens,29,22.76932,22.76932,0.893284,0.106716,0.083337,0.151718
Half-Circular,Without Lens,30,23.554469,23.554469,0.940843,0.059157,0.03928,0.097846
Half-Circular,Without Lens,31,24.339618,24.339618,0.931352,0.068648,0.052751,0.099776
Half-Circular,Without Lens,32,25.124767,25.124767,0.946179,0.053821,0.036729,0.087537
Half-Circular,Without Lens,33,25.909916,25.909916,0.936821,0.063179,0.040665,0.107542
Half-Circular,Without Lens,34,26.695065,26.695065,0.955691,0.044309,0.028769,0.07524
Half-Circular,Without Lens,35,27.480214,27.480214,0.944901,0.055099,0.031973,0.096063
Half-Circular,Without Lens,36,28.265363,28.265363,0.895656,0.104344,0.06658,0.178559
Linear,Lens,0,0.0,0.0,0.493677,0.506323,0.36362,0.746847
Linear,Lens,1,0.95,0.95,0.39108,0.60892,0.453412,0.798924
Linear,Lens,2,1.9,1.9,0.24719,0.75281,0.443684,0.934274
Linear,Lens,3,2.85,2.85,0.366961,0.633039,0.532524,0.691963
Linear,Lens,4,3.8,3.8,0.409809,0.590191,0.474,0.779239
Linear,Lens,5,4.75,4.75,0.427091,0.572909,0.490524,0.719419
Linear,Lens,6,5.7,5.7,0.274627,0.725373,0.644804,0.876424
Linear,Lens,7,6.65,6.65,0.594947,0.405053,0.335557,0.455139
Linear,Lens,8,7.6,7.6,0.577514,0.422486,0.171211,0.570672
Linear,Lens,9,8.55,8.55,0.70545,0.29455,0.226076,0.414691
Linear,Lens,10,9.5,9.5,0.705439,0.294561,0.258742,0.353327
Linear,Lens,11,10.45,10.45,0.691198,0.308802,0.240904,0.431457
Linear,Lens,12,11.4,11.4,0.571273,0.428727,0.161292,0.579018
Linear,Lens,13,12.35,12.35,0.555782,0.444218,0.387232,0.478583
Linear,Lens,14,13.3,13.3,0.243362,0.756638,0.648053,0.906393
Linear,Lens,15,14.25,14.25,0.370389,0.629611,0.530767,0.780386
Linear,Lens,16,15.2,15.2,0.377364,0.622636,0.485595,0.832559
Linear,Lens,17,16.15,16.15,0.381386,0.618614,0.538219,0.731413
Linear,Lens,18,17.1,17.1,0.206885,0.793115,0.471811,0.962772
Linear,Lens,19,18.05,18.05,0.318494,0.681506,0.472873,0.877003
Linear,Lens,20,19.0,19.0,0.536699,0.463301,0.327238,0.6419
Half-Circular,Lens,0,0.0,0.0,0.494798,0.505202,0.396452,0.675804
Half-Circular,Lens,1,0.785149,0.785149,0.568976,0.431024,0.143437,0.618025
Half-Circular,Lens,2,1.570298,1.570298,0.438426,0.561574,0.252376,0.727789
Half-Circular,Lens,3,2.355447,2.355447,0.344378,0.655622,0.587651,0.691078
Half-Circular,Lens,4,3.140596,3.140596,0.390715,0.609285,0.584899,0.635256
Half-Circular,Lens,5,3.925745,3.925745,0.365125,0.634875,0.516187,0.706908
Half-Circular,Lens,6,4.710894,4.710894,0.542353,0.457647,0.346033,0.604651
Half-Circular,Lens,7,5.496043,5.496043,0.583914,0.416086,0.220919,0.535005
Half-Circular,Lens,8,6.281192,6.281192,0.448574,0.551426,0.403741,0.694186
Half-Circular,Lens,9,7.066341,7.066341,0.41425,0.58575,0.383076,0.738761
Half-Circular,Lens,10,7.85149,7.85149,0.345864,0.654136,0.433374,0.856913
Half-Circular,Lens,11,8.636639,8.636639,0.483448,0.516552,0.390325,0.595445
Half-Circular,Lens,12,9.421788,9.421788,0.454865,0.545135,0.421127,0.700796
Half-Circular,Lens,13,10.206937,10.206937,0.203395,0.796605,0.642124,0.967872
Half-Circular,Lens,14,10.992086,10.992086,0.451772,0.548228,0.478604,0.626853
Half-Circular,Lens,15,11.777235,11.777235,0.650471,0.349529,0.161991,0.467779
Half-Circular,Lens,16,12.562384,12.562384,0.72079,0.27921,0.230697,0.366823
Half-Circular,Lens,17,13.347533,13.347533,0.720324,0.279676,0.167532,0.387407
Half-Circular,Lens,18,14.132682,14.132682,0.70544,0.29456,0.258742,0.353327
Half-Circular,Lens,19,14.91783,14.91783,0.692361,0.307639,0.167889,0.425182
Half-Circular,Lens,20,15.702979,15.702979,0.738584,0.261416,0.200566,0.327727
Half-Circular,Lens,21,16.488128,16.488128,0.595335,0.404665,0.160253,0.543062
Half-Circular,Lens,22,17.273277,17.273277,0.438606,0.561394,0.499364,0.601149
Half-Circular,Lens,23,18.058426,18.058426,0.180324,0.819676,0.708033,0.966903
Half-Circular,Lens,24,18.843575,18.843575,0.410224,0.589776,0.501739,0.744903
Half-Circular,Lens,25,19.628724,19.628724,0.508643,0.491357,0.401273,0.593822
Half-Circular,Lens,26,20.413873,20.413873,0.309823,0.690177,0.437061,0.935211
Half-Circular,Lens,27,21.199022,21.199022,0.429991,0.570009,0.366377,0.724205
Half-Circular,Lens,28,21.984171,21.984171,0.433836,0.566164,0.365176,0.710313
Half-Circular,Lens,29,22.76932,22.76932,0.504037,0.495963,0.198378,0.681539
Half-Circular,Lens,30,23.554469,23.554469,0.436407,0.563593,0.36739,0.729426
Half-Circular,Lens,31,24.339618,24.339618,0.282624,0.717376,0.574552,0.79975
Half-Circular,Lens,32,25.124767,25.124767,0.310305,0.689695,0.680268,0.705404
Half-Circular,Lens,33,25.909916,25.909916,0.35584,0.64416,0.533465,0.714973
Half-Circular,Lens,34,26.695065,26.695065,0.451056,0.548944,0.279426,0.689622
Half-Circular,Lens,35,27.480214,27.480214,0.548648,0.451352,0.198351,0.62261
Half-Circular,Lens,36,28.265363,28.265363,0.528975,0.471025,0.263414,0.644706
