waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
0,0.0,0.0,4.484722e-09,2.330351e-09,1.322178e-09,2.874269e-09
1,0.95,0.95,4.950087e-09,1.755421e-09,1.382834e-09,2.331488e-09
2,1.9,1.9,5.417896e-09,6.629633e-09,4.869672e-09,1.012428e-08
3,2.85,2.85,6.615248e-09,1.352149e-08,8.742903e-09,2.3042e-08
4,3.8,3.8,8.596581e-09,2.628418e-08,2.00042e-08,3.872715e-08
5,4.75,4.75,1.050543e-08,3.330713e-08,3.097837e-08,3.467143e-08
6,5.7,5.7,1.267519e-08,3.710716e-08,6.829913e-09,5.22674e-08
7,6.65,6.65,1.460119e-08,4.360606e-08,1.58672e-08,5.767556e-08
8,7.6,7.6,1.661976e-08,4.981077e-08,4.218327e-08,6.468571e-08
9,8.55,8.55,1.809296e-08,2.587363e-08,1.508947e-08,4.726255e-08
10,9.5,9.5,1.891747e-08,1.027846e-09,8.212625e-10,1.384395e-09
11,10.45,10.45,1.799453e-08,2.610272e-08,1.525023e-08,4.762242e-08
12,11.4,11.4,1.669777e-08,5.011877e-08,4.263164e-08,6.48249e-08
13,12.35,12.35,1.46179e-08,4.367146e-08,1.574608e-08,5.774042e-08
14,13.3,13.3,1.253775e-08,3.672743e-08,6.909375e-09,5.181319e-08
15,14.25,14.25,1.042808e-08,3.304497e-08,3.107976e-08,3.413024e-08
16,15.2,15.2,8.55972e-09,2.614019e-08,1.968569e-08,3.874915e-08
17,16.15,16.15,6.728635e-09,1.364461e-08,8.803185e-09,2.330187e-08
18,17.1,17.1,5.467349e-09,6.607923e-09,4.797029e-09,1.011115e-08
19,18.05,18.05,4.946611e-09,1.674024e-09,1.303126e-09,2.387112e-09
20,19.0,19.0,4.527128e-09,2.17889e-09,1.257513e-09,2.791332e-09
