waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
0,0.0,0.0,0.96063,0.03937,0.025608,0.066569
1,0.785149,0.785149,0.9527,0.0473,0.027842,0.081779
2,1.570298,1.570298,0.931503,0.068497,0.042725,0.117244
3,2.355447,2.355447,0.939536,0.060464,0.037978,0.103307
4,3.140596,3.140596,0.948178,0.051822,0.034905,0.084216
5,3.925745,3.925745,0.926486,0.073514,0.056678,0.105561
6,4.710894,4.710894,0.945075,0.054925,0.035784,0.092614
7,5.496043,5.496043,0.886799,0.113201,0.0915,0.156115
8,6.281192,6.281192,0.847242,0.152758,0.131675,0.191434
9,7.066341,7.066341,0.893047,0.106953,0.092363,0.13551
10,7.85149,7.85149,0.911989,0.088011,0.086166,0.089237
11,8.636639,8.636639,0.908131,0.091869,0.056351,0.109874
12,9.421788,9.421788,0.929204,0.070796,0.015069,0.098775
13,10.206937,10.206937,0.931821,0.068179,0.042992,0.080991
14,10.992086,10.992086,0.933217,0.066783,0.054636,0.090088
15,11.777235,11.777235,0.955121,0.044879,0.038851,0.056447
16,12.562384,12.562384,0.96182,0.03818,0.033043,0.048087
17,13.347533,13.347533,0.969351,0.030649,0.029564,0.032373
18,14.132682,14.132682,0.973565,0.026435,0.021104,0.035615
19,14.91783,14.91783,0.97,0.03,0.028101,0.033005
20,15.702979,15.702979,0.961047,0.038953,0.033936,0.048712
21,16.488128,16.488128,0.9552,0.0448,0.038751,0.056769
22,17.273277,17.273277,0.933418,0.066582,0.054789,0.089892
23,18.058426,18.058426,0.931808,0.068192,0.043357,0.081513
24,18.843575,18.843575,0.930641,0.069359,0.015059,0.09674
25,19.628724,19.628724,0.908087,0.091913,0.056268,0.110597
26,20.413873,20.413873,0.912815,0.087185,0.086357,0.087772
27,21.199022,21.199022,0.889239,0.110761,0.095708,0.140228
28,21.984171,21.984171,0.85122,0.14878,0.126861,0.192159
29,22.76932,22.76932,0.893284,0.106716,0.083337,0.151718
30,23.554469,23.554469,0.940843,0.059157,0.03928,0.097846
31,24.339618,24.339618,0.931352,0.068648,0.052751,0.099776
32,25.124767,25.124767,0.946179,0.053821,0.036729,0.087537
33,25.909916,25.909916,0.936821,0.063179,0.040665,0.107542
34,26.695065,26.695065,0.955691,0.044309,0.028769,0.07524
35,27.480214,27.480214,0.944901,0.055099,0.031973,0.096063
36,28.265363,28.265363,0.895656,0.104344,0.06658,0.178559
