waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
0,0.0,0.0,0.962827,0.037173,0.023895,0.062456
1,0.785149,0.785149,0.953267,0.046733,0.027551,0.080194
2,1.570298,1.570298,0.92954,0.07046,0.043985,0.120287
3,2.355447,2.355447,0.939706,0.060294,0.037738,0.103269
4,3.140596,3.140596,0.948079,0.051921,0.03481,0.084497
5,3.925745,3.925745,0.92684,0.07316,0.056863,0.104585
6,4.710894,4.710894,0.94474,0.05526,0.036128,0.093138
7,5.496043,5.496043,0.886929,0.113071,0.091462,0.155697
8,6.281192,6.281192,0.84655,0.15345,0.13138,0.192414
9,7.066341,7.066341,0.893585,0.106415,0.091371,0.135474
10,7.85149,7.85149,0.911618,0.088382,0.085211,0.090228
11,8.636639,8.636639,0.908418,0.091582,0.05592,0.109501
12,9.421788,9.421788,0.929167,0.070833,0.014947,0.098899
13,10.206937,10.206937,0.931907,0.068093,0.042991,0.080935
14,10.992086,10.992086,0.933184,0.066816,0.054555,0.09024
15,11.777235,11.777235,0.955062,0.044938,0.038701,0.056694
16,12.562384,12.562384,0.96186,0.03814,0.033113,0.048052
17,13.347533,13.347533,0.969353,0.030647,0.029741,0.032133
18,14.132682,14.132682,0.97465,0.02535,0.022111,0.031235
19,14.91783,14.91783,0.970006,0.029994,0.027897,0.033279
20,15.702979,15.702979,0.961045,0.038955,0.034079,0.048621
21,16.488128,16.488128,0.955109,0.044891,0.038776,0.056825
22,17.273277,17.273277,0.93346,0.06654,0.054663,0.09
23,18.058426,18.058426,0.931775,0.068225,0.043263,0.0816
24,18.843575,18.843575,0.930544,0.069456,0.015118,0.097163
25,19.628724,19.628724,0.908156,0.091844,0.055825,0.110802
26,20.413873,20.413873,0.912915,0.087085,0.086145,0.088605
27,21.199022,21.199022,0.890417,0.109583,0.094473,0.139131
28,21.984171,21.984171,0.849984,0.150016,0.128235,0.191891
29,22.76932,22.76932,0.893069,0.106931,0.083447,0.152856
30,23.554469,23.554469,0.940724,0.059276,0.038799,0.098006
31,24.339618,24.339618,0.930645,0.069355,0.053584,0.100437
32,25.124767,25.124767,0.946721,0.053279,0.036563,0.086637
33,25.909916,25.909916,0.936905,0.063095,0.040895,0.107278
34,26.695065,26.695065,0.95716,0.04284,0.02823,0.072038
35,27.480214,27.480214,0.944403,0.055597,0.031314,0.096623
36,28.265363,28.265363,0.882785,0.117215,0.074382,0.197776
