lens,solver_a,solver_b,mean_absolute_magnitude_difference_db,median_absolute_magnitude_difference_db,mean_signed_magnitude_difference_db,mean_absolute_centered_shape_difference_db,mean_absolute_aligned_phase_difference_deg,observations
with,HFSS Hybrid Solver,HFSS SBR+ Solver,6.108061473048484,4.87388741104504,-0.5220910484959538,2.217757318420119,42.55376847626586,27
with,HFSS Hybrid Solver,SIonna-RT,4.714760269209184,5.197297699678572,1.7940274064879091,2.0635533197835256,72.87524111307717,27
with,HFSS SBR+ Solver,SIonna-RT,3.6592040658489218,2.9091049648588054,2.316118454983863,1.4640612003289601,77.7335762827768,27
without,HFSS Hybrid Solver,HFSS SBR+ Solver,2.9188417510031837,3.4199166989753493,-1.7037920018684123,0.6359824505899409,4.699841902408062,27
without,HFSS Hybrid Solver,SIonna-RT,2.1981146154614652,1.4695006794959014,1.4579822747247537,0.4935074841497774,44.245717069797,27
without,HFSS SBR+ Solver,SIonna-RT,3.161774276593166,2.992487419437108,3.161774276593166,0.7882377348333819,73.81950083807568,27
