lens,rx_index,tx_index,freq_ghz,solver_a,solver_b,magnitude_difference_db,absolute_magnitude_difference_db,centered_shape_difference_db,absolute_centered_shape_difference_db,circular_phase_difference_deg,phase_difference_aligned_deg
with,2,3,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,9.633877980683046,9.633877980683046,0.13155400737555567,0.13155400737555567,-46.813164241146545,-27.627226961622807
with,2,3,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,10.94976817088763,10.94976817088763,1.4474441975801398,1.4474441975801398,-92.45406038831655,-73.2681231087928
with,3,1,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-4.87388741104504,4.87388741104504,8.734671576555122,8.734671576555122,-91.39217857511633,-36.004765091940335
with,3,1,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-15.22323448410112,15.22323448410112,-1.6146754965009578,1.6146754965009578,-116.97071361492642,-61.58330013175043
with,3,1,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-20.728555067654312,20.728555067654312,-7.11999608005415,7.11999608005415,42.20065174051477,97.58806522369076
with,3,2,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,8.156357932369325,8.156357932369325,-0.2485331705062137,0.2485331705062137,83.68969042459813,89.74004196388171
with,3,2,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,8.899931857387614,8.899931857387614,0.4950407545120754,0.4950407545120754,-26.508602072963207,-20.458250533679625
with,3,2,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,8.158383518869691,8.158383518869691,-0.2465075840058475,0.2465075840058475,-75.33214296948566,-69.28179143020208
with,3,3,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,0.3408327265249689,0.3408327265249689,0.8924535833718323,0.8924535833718323,-16.046492873554513,1.3547138390127564
with,3,3,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-0.6391016582929936,0.6391016582929936,-0.08748080144613013,0.08748080144613013,-22.08776532506691,-4.686558612499642
with,3,3,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-1.3565936387725728,1.3565936387725728,-0.8049727819257093,0.8049727819257093,-14.069361939080382,3.3318447734868877
without,1,1,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-4.4330765832976375,4.4330765832976375,-1.8266751462601043,1.8266751462601043,36.14794806935673,-4.232115375405577
without,1,1,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-2.0190348810408416,2.0190348810408416,0.5873665559966916,0.5873665559966916,42.85308249414375,2.473019049381442
