"patch_W [mm]","Freq [GHz]","S(1,1) []"
2.6,35.75,-0.334865138925788 - 0.466962349723544i
2.6,35.8125,-0.354097621222095 - 0.43970000075211i
2.6,35.875,-0.371306228364447 - 0.411394675518575i
2.6,35.9375,-0.386403890807719 - 0.382192466695809i
2.6,36,-0.399313706151872 - 0.35224946638892i
2.6,36.0625,-0.409970253353364 - 0.32173117027682i
2.6,36.125,-0.418320903371861 - 0.290811699562188i
2.6,36.1875,-0.424327100356292 - 0.259672830927188i
2.6,36.25,-0.427965584312744 - 0.22850282836673i
2.6,36.3125,-0.429229523524279 - 0.197495075268069i
2.6,36.375,-0.428129523014477 - 0.166846510376437i
2.6,36.4375,-0.424694474270233 - 0.136755877231269i
2.6,36.5,-0.418972211462255 - 0.107421803120701i
2.6,36.5625,-0.411029940695333 - 0.0790407303710739i
2.6,36.625,-0.400954411514012 - 0.0518047295986681i
2.6,36.6875,-0.388851804053592 - 0.0258992310929178i
2.6,36.75,-0.374847310858994 - 0.00150071643397182i
2.6,36.8125,-0.359084399407761 + 0.0212255825797987i
2.6,36.875,-0.341723749590621 + 0.0421279269490363i
2.6,36.9375,-0.322941869554599 + 0.0610702026297448i
2.6,37,-0.302929403048477 + 0.0779338888170489i
2.6,37.0625,-0.281889151309118 + 0.0926198111527287i
2.6,37.125,-0.260033842126766 + 0.105049632529632i
2.6,37.1875,-0.237583687549005 + 0.115167040048869i
2.6,37.25,-0.214763779264818 + 0.122938594390235i
2.6,37.3125,-0.191801376641329 + 0.128354217082555i
2.6,37.375,-0.168923146336992 + 0.131427301508815i
2.6,37.4375,-0.146352414164593 + 0.132194444475933i
2.6,37.5,-0.124306489329214 + 0.130714806302336i
2.6,37.5625,-0.10299411835653 + 0.127069118101565i
2.6,37.625,-0.0826131211214627 + 0.12135836476914i
2.6,37.6875,-0.0633482546684963 + 0.113702180676828i
2.6,37.75,-0.0453693423577754 + 0.104237001897326i
2.6,37.8125,-0.0288296967154717 + 0.0931140236864561i
2.6,37.875,-0.0138648546830835 + 0.0804970148219225i
2.6,37.9375,-0.00059163421849916 + 0.0665600412394374i
2.6,38,0.0108924881617572 + 0.0514851503306035i
2.6,38.0625,0.0205096879141268 + 0.0354600644778642i
2.6,38.125,0.0282018076305195 + 0.0186759281767259i
2.6,38.1875,0.0339300996510021 + 0.00132514775764402i
2.6,38.25,0.0376747238017189 - 0.0164006433867128i
2.6,38.3125,0.0394340313415707 - 0.0343124676965406i
2.6,38.375,0.0392236681995305 - 0.0522257147314018i
2.6,38.4375,0.0370755312733361 - 0.0699616675851827i
2.6,38.5,0.0330366110893068 - 0.0873488372284461i
2.6,38.5625,0.0271677526741097 - 0.104224103054329i
2.6,38.625,0.0195423642614633 - 0.120433662673011i
2.6,38.6875,0.0102451006521854 - 0.135833797988707i
2.6,38.75,-0.000629455141188888 - 0.150291467777593i
2.6,38.8125,-0.0129780917264279 - 0.163684739379648i
2.6,38.875,-0.0266902338445801 - 0.175903073768031i
2.6,38.9375,-0.0416491581330515 - 0.186847479234962i
2.6,39,-0.0577331498932114 - 0.196430549316848i
2.6,39.0625,-0.0748165935470918 - 0.204576400464907i
2.6,39.125,-0.092770992092262 - 0.211220524444275i
2.6,39.1875,-0.111465913153465 - 0.216309569605198i
2.6,39.25,-0.130769861173222 - 0.219801064098964i
2.6,39.3125,-0.150551076884894 - 0.221663092884622i
2.6,39.375,-0.170678266485857 - 0.22187393905667i
2.6,39.4375,-0.191021263898451 - 0.220421698674479i
2.6,39.5,-0.211451630200893 - 0.217303876937041i
2.6,39.5625,-0.23184319476083 - 0.212526972257514i
2.6,39.625,-0.252072542843535 - 0.206106053578264i
2.6,39.6875,-0.27201945452731 - 0.198064335147909i
2.6,39.75,-0.291567299671588 - 0.188432751970153i
2.6,39.8125,-0.310603393477786 - 0.177249538237042i
2.6,39.875,-0.329019316885543 - 0.164559810279748i
2.6,39.9375,-0.346711205681594 - 0.150415154907295i
2.6,40,-0.363580011785851 - 0.134873223454872i
2.6,40.0625,-0.379531739737512 - 0.117997331422957i
2.6,40.125,-0.394477660948417 - 0.0998560632499807i
2.6,40.1875,-0.40833450783465 - 0.0805228815167595i
2.6,40.25,-0.421024649491504 - 0.0600757397220128i
2.6,40.3125,-0.432476250150747 - 0.0385966976864239i
2.6,40.375,-0.442623411260159 - 0.0161715386293123i
2.6,40.4375,-0.451406297659938 + 0.00711061299173978i
2.6,40.5,-0.458771248003368 + 0.0311576736898521i
2.6,40.5625,-0.464670869283974 + 0.0558749838765778i
2.6,40.625,-0.469064115090726 + 0.0811656920016595i
2.6,40.6875,-0.471916347018515 + 0.10693114019341i
2.6,40.75,-0.473199378513867 + 0.133071251463173i
2.6,40.8125,-0.472891500336004 + 0.159484918299555i
2.6,40.875,-0.470977486760084 + 0.186070392233524i
2.6,40.9375,-0.46744858164173 + 0.212725673711947i
2.6,41,-0.462302463497645 + 0.239348901379828i
2.6,41.0625,-0.455543188833722 + 0.265838739646802i
2.6,41.125,-0.447181113066457 + 0.292094763206634i
2.6,41.1875,-0.437232788531728 + 0.318017836994076i
2.6,41.25,-0.425720839253079 + 0.343510489906157i
2.6,41.3125,-0.412673812344597 + 0.368477280488047i
2.6,41.375,-0.398126006146327 + 0.39282515269021i
2.6,41.4375,-0.38211727542748 + 0.416463779745595i
2.6,41.5,-0.36469281423883 + 0.439305894194787i
2.6,41.5625,-0.345902917245068 + 0.461267602103522i
2.6,41.625,-0.325802720614749 + 0.482268679570861i
2.6,41.6875,-0.304451923784353 + 0.5022328497164i
2.6,41.75,-0.281914493638653 + 0.521088038459287i
2.6,41.8125,-0.258258352857251 + 0.538766607557996i
2.6,41.875,-0.233555054362151 + 0.555205563564627i
2.6,41.9375,-0.207879443960272 + 0.570346741556892i
2.6,42,-0.181309313404225 + 0.584136962740837i
2.6,42.0625,-0.153925046192361 + 0.596528165263014i
2.6,42.125,-0.125809258493344 + 0.607477507827192i
2.6,42.1875,-0.0970464376103791 + 0.616947445972951i
2.6,42.25,-0.0677225803955753 + 0.62490578113652i
2.6,42.3125,-0.0379248339866274 + 0.631325682872928i
2.6,42.375,-0.00774114116715931 + 0.636185684868623i
2.6,42.4375,0.0227401074491305 + 0.639469655610488i
2.6,42.5,0.0534304123393321 + 0.641166744796966i
2.6,42.5625,0.0842414931798507 + 0.641271306776446i
2.6,42.625,0.115085604400123 + 0.639782802474153i
2.6,42.6875,0.145875836631612 + 0.636705681419574i
2.6,42.75,0.176526402708214 + 0.63204924561016i
2.6,42.8125,0.206952907089869 + 0.625827497042791i
2.6,42.875,0.237072597802296 + 0.618058970812001i
2.6,42.9375,0.266804600208842 + 0.608766555713219i
2.6,43,0.296070132151234 + 0.597977304301365i
2.6,43.0625,0.324792700211742 + 0.585722234340971i
2.6,43.125,0.352898277056258 + 0.572036123545413i
2.6,43.1875,0.380315460013862 + 0.556957299441683i
2.6,43.25,0.406975611230642 + 0.540527426115744i
2.6,43.3125,0.432812979902694 + 0.522791289494213i
2.6,43.375,0.457764807242983 + 0.503796582703612i
2.6,43.4375,0.481771414968712 + 0.483593692921161i
2.6,43.5,0.504776278208882 + 0.462235490993884i
2.6,43.5625,0.526726083825529 + 0.439777124957994i
2.6,43.625,0.547570775216807 + 0.416275818440848i
2.6,43.6875,0.567263584725724 + 0.391790674775252i
2.6,43.75,0.585761054815541 + 0.366382487503028i
2.6,43.8125,0.603023049192281 + 0.34011355779328i
2.6,43.875,0.619012755057387 + 0.31304751915268i
2.6,43.9375,0.633696677660403 + 0.285249169661675i
2.6,44,0.647044628293509 + 0.25678431183368i
2.6,44.0625,0.65902970682839 + 0.227719600064646i
2.6,44.125,0.669628279842151 + 0.198122395519461i
2.6,44.1875,0.678819955314195 + 0.168060628189996i
2.6,44.25,0.686587554801471 + 0.137602665758101i
2.6,44.3125,0.692917083916315 + 0.106817188806044i
2.6,44.375,0.697797701840671 + 0.0757730718372138i
2.6,44.4375,0.701221690513767 + 0.0445392695018058i
2.6,44.5,0.703184424028671 + 0.0131847073658896i
2.6,44.5625,0.703684338667535 - 0.0182218234820734i
2.6,44.625,0.702722903896932 - 0.0496117687254256i
2.6,44.6875,0.700304594534527 - 0.08091691077231i
2.6,44.75,0.696436864187495 - 0.11206946713365i
2.6,44.8125,0.691130119952584 - 0.143002187987848i
2.6,44.875,0.684397698258543 - 0.173648453677905i
2.6,44.9375,0.676255841624871 - 0.203942372858574i
2.6,45,0.6667236760074 - 0.233818881971594i
2.6,45.0625,0.655823188302216 - 0.263213846675948i
2.6,45.125,0.643579203485723 - 0.292064165798227i
2.6,45.1875,0.630019360781551 - 0.3203078782952i
2.6,45.25,0.615174088165255 - 0.347884273637752i
2.6,45.3125,0.599076574446694 - 0.374734005932324i
2.6,45.375,0.581762738108622 - 0.4007992119939i
2.6,45.4375,0.563271192029595 - 0.426023633473655i
2.6,45.5,0.543643203180746 - 0.450352743026077i
2.6,45.5625,0.522922646360946 - 0.473733874374859i
2.6,45.625,0.501155951023897 - 0.496116356006117i
2.6,45.6875,0.478392040255424 - 0.517451648082304i
2.6,45.75,0.454682260980354 - 0.537693482032455i
2.6,45.8125,0.430080304516838 - 0.556798002135832i
2.6,45.875,0.404642116652556 - 0.574723908278709i
2.6,45.9375,0.378425796492373 - 0.591432598930074i
2.6,46,0.351491483420809 - 0.60688831325415i
2.6,46.0625,0.323901231635205 - 0.621058271157981i
2.6,46.125,0.295718871836068 - 0.633912809963998i
2.6,46.1875,0.267009859808812 - 0.645425516303051i
2.6,46.25,0.237841111795001 - 0.655573351745352i
2.6,46.3125,0.208280826728899 - 0.664336770628267i
2.6,46.375,0.178398295605062 - 0.671699828502809i
2.6,46.4375,0.148263698441553 - 0.677650279607739i
2.6,46.5,0.11794788950869 - 0.682179661792829i
2.6,46.5625,0.0875221717008303 - 0.685283367352969i
2.6,46.625,0.0570580611355933 - 0.686960698302988i
2.6,46.6875,0.0266270432663386 - 0.687214904720036i
2.6,46.75,-0.00369967801405141 - 0.686053204905765i
2.6,46.8125,-0.0338514366214984 - 0.683486786273601i
2.6,46.875,-0.063758364063723 - 0.679530786045414i
2.6,46.9375,-0.0933516508016196 - 0.674204251044915i
2.6,47,-0.122563807119266 - 0.667530076098873i
2.6,47.0625,-0.151328921348272 - 0.659534920798622i
2.6,47.125,-0.179582913239394 - 0.650249104628828i
2.6,47.1875,-0.207263780255066 - 0.639706480733955i
2.6,47.25,-0.234311834572845 - 0.627944288859949i
2.6,47.3125,-0.260669928641574 - 0.615002988274569i
2.6,47.375,-0.286283667219805 - 0.600926071728959i
2.6,47.4375,-0.311101603948264 - 0.585759861770404i
2.6,47.5,-0.335075420663191 - 0.569553290946602i
2.6,47.5625,-0.358160087842391 - 0.552357667650563i
2.6,47.625,-0.380314004787655 - 0.534226429538078i
2.6,47.6875,-0.401499118381413 - 0.515214886603073i
2.6,47.75,-0.421681019507801 - 0.495379956116955i
2.6,47.8125,-0.440829016493666 - 0.474779891724216i
2.6,47.875,-0.458916185197959 - 0.453474009036712i
2.6,47.9375,-0.475919395653447 - 0.431522410082714i
2.6,48,-0.491819315437144 - 0.408985708944305i
2.6,48.0625,-0.506600390210213 - 0.385924760859444i
2.6,48.125,-0.5202508021197 - 0.36240039697466i
2.6,48.1875,-0.532762406988699 - 0.338473166813949i
2.6,48.25,-0.544130651434883 - 0.314203090381858i
2.6,48.3125,-0.55435447124635 - 0.289649421648264i
2.6,48.375,-0.563436172506141 - 0.264870424972395i
2.6,48.4375,-0.571381297090653 - 0.239923165819318i
2.6,48.5,-0.578198474271555 - 0.214863316907199i
2.6,48.5625,-0.583899260225379 - 0.189744980703i
2.6,48.625,-0.588497967299906 - 0.16462052896198i
2.6,48.6875,-0.592011484903075 - 0.13954045978646i
2.6,48.75,-0.594459093869454 - 0.114553272465668i
2.6,48.8125,-0.595862276123833 - 0.0897053601542296i
2.6,48.875,-0.596244521403116 - 0.065040920254957i
2.6,48.9375,-0.59563113271942 - 0.0406018821944611i
2.6,49,-0.594049032151758 - 0.0164278521195624i
2.6,49.0625,-0.591526568443937 + 0.00744392610014287i
2.6,49.125,-0.588093327765357 + 0.0309785943018243i
2.6,49.1875,-0.583779948862112 + 0.0541436887337346i
2.6,49.25,-0.578617943691077 + 0.076909134962035i
2.6,49.3125,-0.572639524492135 + 0.0992472299739742i
2.6,49.375,-0.56587743811579 + 0.121132612519136i
2.6,49.4375,-0.558364808287385 + 0.142542222761186i
2.6,49.5,-0.550134986356838 + 0.163455252327089i
2.6,49.5625,-0.541221410955988 + 0.183853085840783i
2.6,49.625,-0.531657476865588 + 0.203719235015089i
2.6,49.6875,-0.521476413281789 + 0.223039266350896i
2.6,49.75,-0.510711171568561 + 0.241800723457842i
2.6,49.8125,-0.499394322488224 + 0.259993044967723i
2.6,49.875,-0.487557962817743 + 0.277607478961723i
2.6,49.9375,-0.475233631183587 + 0.294636994777358i
2.6,50,-0.462452232882743 + 0.311076193001665i
2.7,25,0.63713471198715 - 0.692156273339748i
2.7,25.0625,0.607466530945623 - 0.718469542063081i
2.7,25.125,0.576745384296366 - 0.743452184946073i
2.7,25.1875,0.54503306528027 - 0.767068256531355i
2.7,25.25,0.512391803975542 - 0.78928447311762i
2.7,25.3125,0.47888421360313 - 0.81007012304302i
2.7,25.375,0.444573248438609 - 0.829396987249693i
2.7,25.4375,0.409522171080082 - 0.847239270729559i
2.7,25.5,0.373794526892987 - 0.863573545155782i
2.7,25.5625,0.337454123550107 - 0.878378702734545i
2.7,25.625,0.300565013704557 - 0.891635921068066i
2.7,25.6875,0.263191478970985 - 0.903328638602461i
2.7,25.75,0.225398013542456 - 0.913442540042805i
2.7,25.8125,0.187249305934391 - 0.921965550952073i
2.7,25.875,0.148810217519864 - 0.928887840610307i
2.7,25.9375,0.110145756699727 - 0.934201832094557i
2.7,26,0.0713210477345793 - 0.937902218448489i
2.7,26.0625,0.0324012934508339 - 0.939985983742292i
2.7,26.125,-0.0065482687815418 - 0.940452427778007i
2.7,26.1875,-0.0454624182189266 - 0.93930319317193i
2.7,26.25,-0.0842760093019087 - 0.936542293543544i
2.7,26.3125,-0.122924037668297 - 0.932176141558469i
2.7,26.375,-0.161341713523213 - 0.92621357561039i
2.7,26.4375,-0.199464542112677 - 0.918665883982391i
2.7,26.5,-0.237228410902856 - 0.909546825400482i
2.7,26.5625,-0.274569682935926 - 0.898872644979703i
2.7,26.625,-0.311425295717069 - 0.886662084664295i
2.7,26.6875,-0.347732864886095 - 0.872936387376314i
2.7,26.75,-0.383430791843983 - 0.857719294209344i
2.7,26.8125,-0.418458374438393 - 0.841037034133859i
2.7,26.875,-0.452755919765587 - 0.82291830581541i
2.7,26.9375,-0.486264858117654 - 0.803394251284209i
2.7,27,-0.518927857094994 - 0.782498421331973i
2.7,27.0625,-0.550688934913252 - 0.760266732646842i
2.7,27.125,-0.581493571961361 - 0.736737416827208i
2.7,27.1875,-0.611288819711717 - 0.711950961538047i
2.7,27.25,-0.640023406143509 - 0.685950044186786i
2.7,27.3125,-0.667647836914287 - 0.658779458597727i
2.7,27.375,-0.694114491601095 - 0.630486035252985i
2.7,27.4375,-0.719377714428819 - 0.601118555742266i
2.7,27.5,-0.743393899007408 - 0.570727662122756i
2.7,27.5625,-0.766121566709293 - 0.539365761932701i
2.7,27.625,-0.787521438430661 - 0.507086929628156i
2.7,27.6875,-0.807556499593396 - 0.473946805221304i
2.7,27.75,-0.82619205835552 - 0.440002490891397i
2.7,27.8125,-0.843395797105014 - 0.405312446316268i
2.7,27.875,-0.85913781741252 - 0.369936383434505i
2.7,27.9375,-0.873390678710912 - 0.333935161297096i
2.7,28,-0.886129431052175 - 0.297370681604193i
2.7,28.0625,-0.89733164236323 - 0.260305785449154i
2.7,28.125,-0.906977420680974 - 0.222804151710297i
2.7,28.1875,-0.915049431892086 - 0.184930197442665i
2.7,28.25,-0.921532913534559 - 0.14674898052976i
2.7,28.3125,-0.926415685235209 - 0.108326104760146i
2.7,28.375,-0.929688156360532 - 0.0697276273993262i
2.7,28.4375,-0.931343331447688 - 0.0310199692335241i
2.7,28.5,-0.931376813958587 + 0.00773017302754381i
2.7,28.5625,-0.929786808863762 + 0.0464559121864183i
2.7,28.625,-0.926574124515086 + 0.085090254107532i
2.7,28.6875,-0.921742174208406 + 0.123566179725663i
2.7,28.75,-0.915296977770292 + 0.161816725918408i
2.7,28.8125,-0.907247163428612 + 0.199775065697927i
2.7,28.875,-0.897603970146117 + 0.237374588215988i
2.7,28.9375,-0.886381250511149 + 0.274548979103532i
2.7,29,-0.873595474191601 + 0.311232301681112i
2.7,29.0625,-0.859265731868857 + 0.347359079579386i
2.7,29.125,-0.843413739479259 + 0.382864381299457i
2.7,29.1875,-0.826063842503156 + 0.417683907221466i
2.7,29.25,-0.807243019957356 + 0.451754079536589i
2.7,29.3125,-0.786980887667063 + 0.485012135533409i
2.7,29.375,-0.765309700319666 + 0.517396224614681i
2.7,29.4375,-0.74226435173618 + 0.548845509355963i
2.7,29.5,-0.717882372737807 + 0.579300270844334i
2.7,29.5625,-0.692203925936183 + 0.608702018454238i
2.7,29.625,-0.665271796737098 + 0.636993604129933i
2.7,29.6875,-0.637131379819735 + 0.664119341151007i
2.7,29.75,-0.607830660337292 + 0.690025127260511i
2.7,29.8125,-0.577420189080841 + 0.71465857193559i
2.7,29.875,-0.545953050856492 + 0.737969127479926i
2.7,29.9375,-0.513484825346902 + 0.759908223516811i
2.7,30,-0.480073539761506 + 0.780429404363219i
2.7,30.0625,-0.44577961262556 + 0.799488468670121i
2.7,30.125,-0.410665788115782 + 0.817043610624016i
2.7,30.1875,-0.374797060419514 + 0.833055561920699i
2.7,30.25,-0.33824058767396 + 0.847487733646249i
2.7,30.3125,-0.301065595131678 + 0.860306357133004i
2.7,30.375,-0.263343267296672 + 0.871480622801624i
2.7,30.4375,-0.225146628881019 + 0.880982815954978i
2.7,30.5,-0.186550414543714 + 0.888788448456572i
2.7,30.5625,-0.147630927489741 + 0.894876385206428i
2.7,30.625,-0.108465887126381 + 0.899228964321255i
2.7,30.6875,-0.0691342660944525 + 0.90183210993377i
2.7,30.75,-0.0297161171118598 + 0.90267543654845i
2.7,30.8125,0.00970760981541931 + 0.901752343927623i
2.7,30.875,0.0490552591463549 + 0.899060101532444i
2.7,30.9375,0.0882446697456644 + 0.894599921607416i
2.7,31,0.127193382136057 + 0.888377020073914i
2.7,31.0625,0.165818852094498 + 0.880400664486779i
2.7,31.125,0.20403866954475 + 0.870684208407168i
2.7,31.1875,0.241770781629739 + 0.859245111653208i
2.7,31.25,0.278933718791679 + 0.846104946006051i
2.7,31.3125,0.31544682264622 + 0.831289386070926i
2.7,31.375,0.351230474409372 + 0.814828185119145i
2.7,31.4375,0.386206322624048 + 0.796755135865525i
2.7,31.5,0.420297508935451 + 0.77710801626499i
2.7,31.5625,0.453428890682769 + 0.755928520539717i
2.7,31.625,0.485527259106986 + 0.733262175772755i
2.7,31.6875,0.516521552021615 + 0.709158244523344i
2.7,31.75,0.546343059853136 + 0.683669614031892i
2.7,31.8125,0.574925624030483 + 0.656852672686848i
2.7,31.875,0.60220582678677 + 0.628767174520271i
2.7,31.9375,0.628123171529842 + 0.599476092582531i
2.7,32,0.652620253040291 + 0.569045462118262i
2.7,32.0625,0.675642916864345 + 0.537544214524362i
2.7,32.125,0.697140407382914 + 0.505044003116296i
2.7,32.1875,0.717065504155525 + 0.471619021760554i
2.7,32.25,0.735374646257164 + 0.437345817448439i
2.7,32.3125,0.752028044445374 + 0.402303097890253i
2.7,32.375,0.766989781113035 + 0.366571535198468i
2.7,32.4375,0.780227898097209 + 0.330233566705137i
2.7,32.5,0.791714472525107 + 0.293373193922478i
2.7,32.5625,0.801425680983191 + 0.256075780607086i
2.7,32.625,0.809341852393486 + 0.2184278508287i
2.7,32.6875,0.815447510071274 + 0.180516887874458i
2.7,32.75,0.81973140351965 + 0.142431134740105i
2.7,32.8125,0.822186530587968 + 0.104259396872045i
2.7,32.875,0.822810150682541 + 0.066090847729073i
2.7,32.9375,0.821603789768364 + 0.0280148376313196i
2.7,33,0.818573237939826 - 0.00987929374245596i
2.7,33.0625,0.813728540365872 - 0.0475024009587682i
2.7,33.125,0.807083982430777 - 0.084765712397988i
2.7,33.1875,0.798658069895221 - 0.121581005767269i
2.7,33.25,0.788473504893719 - 0.157860779655021i
2.7,33.3125,0.776557158563269 - 0.193518421342505i
2.7,33.375,0.762940041064521 - 0.228468371205955i
2.7,33.4375,0.747657269710223 - 0.262626284159701i
2.7,33.5,0.730748035856327 - 0.295909188706085i
2.7,33.5625,0.712255571138395 - 0.328235644270637i
2.7,33.625,0.692227113549592 - 0.359525897610441i
2.7,33.6875,0.670713873756011 - 0.389702039188905i
2.7,33.75,0.647771001930022 - 0.41868816051014i
2.7,33.8125,0.623457555251789 - 0.446410513500008i
2.7,33.875,0.597836466082758 - 0.472797673107007i
2.7,33.9375,0.570974510651662 - 0.497780704373141i
2.7,34,0.542942277912693 - 0.521293335290964i
2.7,34.0625,0.513814138036294 - 0.543272136815652i
2.7,34.125,0.483668209774488 - 0.563656711437917i
2.7,34.1875,0.452586325704293 - 0.58238989174158i
2.7,34.25,0.420653994094111 - 0.599417950365052i
2.7,34.3125,0.38796035585887 - 0.614690822754796i
2.7,34.375,0.354598134770322 - 0.628162344036106i
2.7,34.4375,0.320663578770403 - 0.639790501226889i
2.7,34.5,0.286256389899508 - 0.64953770187745i
2.7,34.5625,0.251479640000318 - 0.65737106002694i
2.7,34.625,0.216439668996033 - 0.663262700117643i
2.7,34.6875,0.181245962174179 - 0.667190079194149i
2.7,34.75,0.146011002541159 - 0.669136327327513i
2.7,34.8125,0.110850093957665 - 0.669090605736719i
2.7,34.875,0.0758811504325031 - 0.667048481523277i
2.7,34.9375,0.0412244466566005 - 0.663012317282704i
2.7,35,0.00700232461730095 - 0.656991673102941i
2.7,35.0625,-0.0266611490340895 - 0.649003717600821i
2.7,35.125,-0.0596405802580864 - 0.639073643682301i
2.7,35.1875,-0.0918097048873604 - 0.627235083643046i
2.7,35.25,-0.12304191100377 - 0.613530517060567i
2.7,35.3125,-0.153210831169432 - 0.598011663680687i
2.7,35.375,-0.182191008635217 - 0.580739852190564i
2.7,35.4375,-0.209858640783967 - 0.561786354426375i
2.7,35.5,-0.236092401914968 - 0.541232673225024i
2.7,35.5625,-0.260774346012575 - 0.519170770844356i
2.7,35.625,-0.283790888342904 - 0.49570322370554i
2.7,35.6875,-0.305033862575068 - 0.470943288225089i
2.7,35.75,-0.324401647627036 - 0.445014861783592i
2.7,35.8125,-0.341800355606876 - 0.418052322513174i
2.7,35.875,-0.35714506909404 - 0.390200231671481i
2.7,35.9375,-0.370361112642112 - 0.361612883003794i
2.7,36,-0.381385339870794 - 0.332453684770512i
2.7,36.0625,-0.390167413965309 - 0.302894362118053i
2.7,36.125,-0.39667105595959 - 0.273113970262829i
2.7,36.1875,-0.400875232015917 - 0.243297712578546i
2.7,36.25,-0.402775248220784 - 0.213635562129637i
2.7,36.3125,-0.4023837194031 - 0.184320690436209i
2.7,36.375,-0.399731377359474 - 0.155547713194259i
2.7,36.4375,-0.394867683847414 - 0.127510769158498i
2.7,36.5,-0.387861214962329 - 0.100401455213843i
2.7,36.5625,-0.378799786188858 - 0.0744066475492382i
2.7,36.625,-0.367790291593764 - 0.0497062454898537i
2.7,36.6875,-0.354958236314493 - 0.0264708805907567i
2.7,36.75,-0.34044694861556 - 0.00485963868099859i
2.7,36.8125,-0.324416466159795 + 0.01498215368737i
2.7,36.875,-0.307042100502824 + 0.0329250248113879i
2.7,36.9375,-0.288512693806781 + 0.0488572816473716i
2.7,37,-0.269028591949123 + 0.0626867099546436i
2.7,37.0625,-0.248799368089482 + 0.0743420029022031i
2.7,37.125,-0.228041339846517 + 0.0837738764005207i
2.7,37.1875,-0.20697493103689 + 0.0909558374659737i
2.7,37.25,-0.185821934999571 + 0.095884581571901i
2.7,37.3125,-0.164802740516067 + 0.098580005766858i
2.7,37.375,-0.144133582999867 + 0.0990848358435383i
2.7,37.4375,-0.124023882859834 + 0.0974638774673499i
2.7,37.5,-0.104673729779749 + 0.0938029123575323i
2.7,37.5625,-0.0862715662775533 + 0.0882072708210673i
2.7,37.625,-0.0689921166182332 + 0.0808001207019244i
2.7,37.6875,-0.0529945983608102 + 0.0717205197544963i
2.7,37.75,-0.0384212440001874 + 0.0611212833288865i
2.7,37.8125,-0.0253961498305102 + 0.0491667219465227i
2.7,37.875,-0.0140244588171249 + 0.0360303038575813i
2.7,37.9375,-0.00439187439241747 + 0.0218922961382473i
2.7,38,0.0034355069057286 + 0.00693743453888544i
2.7,38.0625,0.00941106383201525 - 0.00864733255585428i
2.7,38.125,0.0135072461210939 - 0.0246749866877532i
2.7,38.1875,0.0157149285402698 - 0.0409604357966051i
2.7,38.25,0.0160425576266646 - 0.0573223391390413i
2.7,38.3125,0.0145151271449325 - 0.0735847423792547i
2.7,38.375,0.0111730186165689 - 0.0895785115046682i
2.7,38.4375,0.00607074236002435 - 0.105142560641606i
2.7,38.5,-0.000724387449122261 - 0.120124874576935i
2.7,38.5625,-0.0091336129121604 - 0.134383331708102i
2.7,38.625,-0.0190681002418179 - 0.147786337181063i
2.7,38.6875,-0.0304302914513078 - 0.160213279118819i
2.7,38.75,-0.043115219862651 - 0.17155482312135i
2.7,38.8125,-0.0570117732084261 - 0.181713061691533i
2.7,38.875,-0.0720038917743205 - 0.190601535995622i
2.7,38.9375,-0.0879716924632713 - 0.198145147499546i
2.7,39,-0.104792512781636 - 0.204279976638904i
2.7,39.0625,-0.122341871506616 - 0.208953024886014i
2.7,39.125,-0.140494345168348 - 0.212121895472122i
2.7,39.1875,-0.159124361465367 - 0.213754426698642i
2.7,39.25,-0.178106912339288 - 0.213828290309209i
2.7,39.3125,-0.197318190685589 - 0.212330565863822i
2.7,39.375,-0.21663615560237 - 0.209257300514681i
2.7,39.4375,-0.235941031712231 - 0.20461306207616i
2.7,39.5,-0.255115748470913 - 0.198410491843786i
2.7,39.5625,-0.274046325536949 - 0.190669862274308i
2.7,39.625,-0.292622210254962 - 0.18141864340828i
2.7,39.6875,-0.31073657313503 - 0.170691080808289i
2.7,39.75,-0.328286566921829 - 0.158527786804798i
2.7,39.8125,-0.345173554467714 - 0.144975345988105i
2.7,39.875,-0.361303310176834 - 0.13008593515629i
2.7,39.9375,-0.376586199293733 - 0.11391695732024i
2.7,40,-0.390937338786703 - 0.0965306888713576i
2.7,40.0625,-0.404276743038429 - 0.077993938627755i
2.7,40.125,-0.416529457015937 - 0.0583777171827665i
2.7,40.1875,-0.427625679058988 - 0.0377569147774237i
2.7,40.25,-0.437500874908788 - 0.016209985798096i
2.7,40.3125,-0.446095884104269 + 0.00618136204576584i
2.7,40.375,-0.453357019406712 + 0.029332475788151i
2.7,40.4375,-0.459236159480026 + 0.0531560643613499i
2.7,40.5,-0.463690834657415 + 0.0775625065493949i
2.7,40.5625,-0.46668430526897 + 0.102460161269896i
2.7,40.625,-0.468185631691848 + 0.127755681492981i
2.7,40.6875,-0.468169735017632 + 0.153354332850491i
2.7,40.75,-0.4666174470124 + 0.179160317704487i
2.7,40.8125,-0.463515547875717 + 0.205077105138238i
2.7,40.875,-0.458856790186447 + 0.231007767010315i
2.7,40.9375,-0.452639907356945 + 0.25685531988102i
2.7,41,-0.444869604902886 + 0.282523072285345i
2.7,41.0625,-0.435556532873615 + 0.30791497649543i
2.7,41.125,-0.424717237876079 + 0.332935983594472i
2.7,41.1875,-0.412374093262572 + 0.357492400379746i
2.7,41.25,-0.398555206235738 + 0.381492246331562i
2.7,41.3125,-0.383294300850065 + 0.404845608633769i
2.7,41.375,-0.36663057615308 + 0.427464993015566i
2.7,41.4375,-0.34860853900614 + 0.449265668009303i
