"patch_W [mm]","Freq [GHz]","S(1,1) []"
2.4,32,0.65305042744563 + 0.582414863708546i
2.4,32.0625,0.676958899167953 + 0.551153529085167i
2.4,32.125,0.699374283026189 + 0.51884856974292i
2.4,32.1875,0.720247588452257 + 0.485571199879272i
2.4,32.25,0.739533249058285 + 0.45139502985062i
2.4,32.3125,0.757189235935352 + 0.416395891520277i
2.4,32.375,0.773177160213412 + 0.380651659204046i
2.4,32.4375,0.787462364821912 + 0.344242067106947i
2.4,32.5,0.800014005483567 + 0.307248524132398i
2.4,32.5625,0.810805121064864 + 0.269753926922401i
2.4,32.625,0.81981269349482 + 0.231842471954952i
2.4,32.6875,0.827017697547375 + 0.193599467482661i
2.4,32.75,0.832405140861754 + 0.155111146045288i
2.4,32.8125,0.835964094647891 + 0.11646447822917i
2.4,32.875,0.837687715590165 + 0.0777469882786766i
2.4,32.9375,0.837573259521183 + 0.039046572089803i
2.4,33,0.835622087487633 + 0.000451318034512761i
2.4,33.0625,0.831839664871657 - 0.0379506690228866i
2.4,33.125,0.826235554263257 - 0.0760714402482606i
2.4,33.1875,0.818823402801432 - 0.113823371726443i
2.4,33.25,0.80962092471377 - 0.151119329643226i
2.4,33.3125,0.798649879785508 - 0.187872831789878i
2.4,33.375,0.785936048479579 - 0.223998205523209i
2.4,33.4375,0.771509204408418 - 0.259410742419033i
2.4,33.5,0.755403084826052 - 0.294026849961661i
2.4,33.5625,0.73765535976514 - 0.327764200716027i
2.4,33.625,0.718307600387675 - 0.360541879531477i
2.4,33.6875,0.697405247049946 - 0.392280529426169i
2.4,33.75,0.674997577501657 - 0.422902496897593i
2.4,33.8125,0.651137675545547 - 0.452331977496913i
2.4,33.875,0.62588240037708 - 0.480495162591732i
2.4,33.9375,0.599292356703475 - 0.507320388322088i
2.4,34,0.571431865606984 - 0.532738287827057i
2.4,34.0625,0.542368935968694 - 0.556681947882488i
2.4,34.125,0.512175236105711 - 0.579087071142608i
2.4,34.1875,0.480926065096038 - 0.599892145217696i
2.4,34.25,0.448700323071685 - 0.619038619844321i
2.4,34.3125,0.415580479551228 - 0.63647109341155i
2.4,34.375,0.381652538658274 - 0.652137510093051i
2.4,34.4375,0.347005999832548 - 0.665989368798109i
2.4,34.5,0.311733812386162 - 0.67798194509041i
2.4,34.5625,0.275932321989943 - 0.688074527128555i
2.4,34.625,0.239701206895867 - 0.696230666551605i
2.4,34.6875,0.203143401413221 - 0.702418445062455i
2.4,34.75,0.166365003861986 - 0.706610757246063i
2.4,34.8125,0.129475165931114 - 0.708785609893341i
2.4,34.875,0.0925859600774511 - 0.708926437779485i
2.4,34.9375,0.055812221319695 - 0.70702243546233i
2.4,35,0.0192713595196698 - 0.703068904216766i
2.4,35.0625,-0.0169168619897162 - 0.697067612700914i
2.4,35.125,-0.0526305857623227 - 0.689027169354762i
2.4,35.1875,-0.0877461620513795 - 0.678963403860092i
2.4,35.25,-0.122138497611265 - 0.666899754240845i
2.4,35.3125,-0.155681455999402 - 0.65286765535755i
2.4,35.375,-0.188248313756637 - 0.636906923652499i
2.4,35.4375,-0.219712276582177 - 0.619066132042332i
2.4,35.5,-0.249947059204133 - 0.599402967844316i
2.4,35.5625,-0.278827532056595 - 0.577984565579528i
2.4,35.625,-0.306230437086545 - 0.554887805444004i
2.4,35.6875,-0.332035174007983 - 0.530199567207563i
2.4,35.75,-0.356124657079 - 0.504016928326405i
2.4,35.8125,-0.378386240987058 - 0.47644729418317i
2.4,35.875,-0.398712712682352 - 0.447608447647985i
2.4,35.9375,-0.417003344001213 - 0.417628504642635i
2.4,36,-0.433164997684818 - 0.386645762149634i
2.4,36.0625,-0.447113276949526 - 0.35480842520391i
2.4,36.125,-0.458773706146448 - 0.322274199903042i
2.4,36.1875,-0.468082927318077 - 0.289209740436664i
2.4,36.25,-0.474989894696489 - 0.25578993962353i
2.4,36.3125,-0.479457046486128 - 0.222197054502608i
2.4,36.375,-0.481461430747361 - 0.188619661181995i
2.4,36.4375,-0.480995759972915 - 0.155251436415205i
2.4,36.5,-0.478069367167204 - 0.122289767229658i
2.4,36.5625,-0.472709035043282 - 0.0899341943269397i
2.4,36.625,-0.46495966948725 - 0.0583846998232734i
2.4,36.6875,-0.454884788838581 - 0.0278398550786418i
2.4,36.75,-0.442566801910158 + 0.00150515028559283i
2.4,36.8125,-0.42810705010673 + 0.0294605717521482i
2.4,36.875,-0.411625592536905 + 0.0558442341450175i
2.4,36.9375,-0.393260717644067 + 0.0804836806319387i
2.4,37,-0.373168170541101 + 0.103218306528413i
2.4,37.0625,-0.351520091796443 + 0.123901435063461i
2.4,37.125,-0.328503670698054 + 0.142402290593054i
2.4,37.1875,-0.304319523772992 + 0.158607824456116i
2.4,37.25,-0.279179817271163 + 0.172424349887241i
2.4,37.3125,-0.253306160106127 + 0.183778945187595i
2.4,37.375,-0.226927301039753 + 0.192620588691875i
2.4,37.4375,-0.200276670361126 + 0.19892099485231i
2.4,37.5,-0.17358981162865 + 0.20267512780654i
2.4,37.5625,-0.14710175294906 + 0.20390137684708i
2.4,37.625,-0.12104436955487 + 0.202641386946221i
2.4,37.6875,-0.0956437899894057 + 0.198959546549298i
2.4,37.75,-0.0711178969815412 + 0.192942143847796i
2.4,37.8125,-0.0476739711488767 + 0.184696211300241i
2.4,37.875,-0.0255065211535258 + 0.174348085928694i
2.4,37.9375,-0.00479533807358558 + 0.162041719573949i
2.4,38,0.0142961951695287 + 0.147936778601302i
2.4,38.0625,0.0316225161434302 + 0.132206576345889i
2.4,38.125,0.0470570018520395 + 0.115035883790708i
2.4,38.1875,0.060492787229061 + 0.0966186645844335i
2.4,38.25,0.0718432838946905 + 0.0771557796096079i
2.4,38.3125,0.0810424071008556 + 0.0568527040530398i
2.4,38.375,0.088044525185774 + 0.0359172965089379i
2.4,38.4375,0.0928241512662279 + 0.0145576552986552i
2.4,38.5,0.0953754012048228 - 0.00701990782519682i
