waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
0,0.0,0.0,0.779793,0.220207,0.084479,0.424285
1,0.95,0.95,0.814868,0.185132,0.048694,0.283949
2,1.9,1.9,0.79482,0.20518,0.12358,0.257665
3,2.85,2.85,0.864729,0.135271,0.092083,0.174502
4,3.8,3.8,0.867835,0.132165,0.045732,0.183571
5,4.75,4.75,0.936869,0.063131,0.01871,0.101508
6,5.7,5.7,0.923064,0.076936,0.039954,0.116649
7,6.65,6.65,0.929181,0.070819,0.029448,0.112896
8,7.6,7.6,0.944954,0.055046,0.025793,0.091735
9,8.55,8.55,0.954733,0.045267,0.029423,0.068872
10,9.5,9.5,0.975834,0.024166,0.00713,0.044466
11,10.45,10.45,0.954412,0.045588,0.029425,0.069933
12,11.4,11.4,0.945124,0.054876,0.025663,0.091089
13,12.35,12.35,0.928648,0.071352,0.031063,0.114379
14,13.3,13.3,0.923402,0.076598,0.041643,0.11865
15,14.25,14.25,0.937592,0.062408,0.018486,0.101325
16,15.2,15.2,0.868705,0.131295,0.04435,0.183221
17,16.15,16.15,0.868253,0.131747,0.090103,0.172451
18,17.1,17.1,0.797581,0.202419,0.123969,0.247111
19,18.05,18.05,0.81368,0.18632,0.050786,0.292992
20,19.0,19.0,0.806494,0.193506,0.075605,0.387695
