waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
0,0.0,0.0,4.210003e-09,3.139181e-09,1.108466e-09,4.988639e-09
1,0.785149,0.785149,4.272483e-09,8.156711e-09,2.670919e-09,2.121495e-08
2,1.570298,1.570298,3.831275e-09,1.040015e-08,3.454783e-09,1.779654e-08
3,2.355447,2.355447,4.31801e-09,1.066604e-08,8.334075e-10,1.925751e-08
4,3.140596,3.140596,3.841257e-09,1.102069e-08,2.01757e-09,1.916789e-08
5,3.925745,3.925745,4.673213e-09,1.326022e-08,2.810888e-09,2.409435e-08
6,4.710894,4.710894,3.837907e-09,1.171135e-08,4.217312e-09,1.88911e-08
7,5.496043,5.496043,3.984203e-09,1.095831e-08,1.99822e-09,1.854301e-08
8,6.281192,6.281192,5.27978e-09,1.462015e-08,2.413126e-09,2.538203e-08
9,7.066341,7.066341,4.512336e-09,1.263662e-08,3.068372e-09,2.129775e-08
10,7.85149,7.85149,4.641105e-09,1.39482e-08,3.147059e-09,2.311993e-08
11,8.636639,8.636639,5.51327e-09,1.518235e-08,4.759666e-09,2.493636e-08
12,9.421788,9.421788,4.188215e-09,1.176051e-08,2.935234e-09,1.890176e-08
13,10.206937,10.206937,3.882548e-09,1.063187e-08,3.351516e-09,1.765068e-08
14,10.992086,10.992086,4.020177e-09,1.004042e-08,1.402768e-09,1.726431e-08
15,11.777235,11.777235,5.45029e-09,1.265489e-08,2.675517e-09,2.267096e-08
16,12.562384,12.562384,5.438679e-09,1.296185e-08,1.767153e-09,2.315273e-08
17,13.347533,13.347533,6.823484e-09,1.04434e-08,1.033683e-09,2.822004e-08
18,14.132682,14.132682,6.563585e-09,4.649617e-10,1.246969e-10,1.202018e-09
19,14.91783,14.91783,6.797501e-09,1.057168e-08,1.046333e-09,2.836915e-08
20,15.702979,15.702979,5.433857e-09,1.289718e-08,1.617741e-09,2.288064e-08
21,16.488128,16.488128,5.516185e-09,1.282841e-08,2.847597e-09,2.295174e-08
22,17.273277,17.273277,4.018078e-09,1.005709e-08,1.413025e-09,1.72364e-08
23,18.058426,18.058426,3.865786e-09,1.053917e-08,3.253705e-09,1.756886e-08
24,18.843575,18.843575,4.241552e-09,1.187772e-08,3.002875e-09,1.924615e-08
25,19.628724,19.628724,5.398238e-09,1.496544e-08,4.714594e-09,2.449954e-08
26,20.413873,20.413873,4.67852e-09,1.399909e-08,3.152141e-09,2.325538e-08
27,21.199022,21.199022,4.556871e-09,1.279132e-08,3.097423e-09,2.153634e-08
28,21.984171,21.984171,5.236472e-09,1.449272e-08,2.307824e-09,2.514599e-08
29,22.76932,22.76932,4.042306e-09,1.111056e-08,1.946136e-09,1.892304e-08
30,23.554469,23.554469,3.871193e-09,1.180701e-08,4.2586e-09,1.915433e-08
31,24.339618,24.339618,4.790678e-09,1.355567e-08,2.99188e-09,2.433367e-08
32,25.124767,25.124767,3.904615e-09,1.118076e-08,2.061723e-09,1.996975e-08
33,25.909916,25.909916,4.397786e-09,1.087681e-08,8.291197e-10,1.912325e-08
34,26.695065,26.695065,3.903958e-09,1.058471e-08,3.445597e-09,1.802424e-08
35,27.480214,27.480214,4.312308e-09,7.986256e-09,2.40245e-09,2.070606e-08
36,28.265363,28.265363,4.25189e-09,3.244985e-09,1.143557e-09,5.677776e-09
