trajectory,system,rx_config_index,rx_config_name,rx_x_m,rx_y_m,rx_z_m,rx_orientation_alpha_deg,rx_orientation_beta_deg,rx_orientation_gamma_deg,rx_lens_angle_deg,rx_farfield_csv
Half-Circular,Without Lens,0,Simul_+4,-9,-0.02212,2.0,-90,90,0.0,0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv
Half-Circular,Without Lens,1,Simul_+3,-9,-0.01659,2.0,-90,90,0.0,0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv
Half-Circular,Without Lens,2,Simul_+2,-9,-0.01106,2.0,-90,90,0.0,0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv
Half-Circular,Without Lens,3,Simul_+1,-9,-0.00553,2.0,-90,90,0.0,0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv
Half-Circular,Without Lens,4,Simul_0,-9,0.0,2.0,-90,90,0.0,0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv
Half-Circular,Without Lens,5,Simul_-1,-9,0.00553,2.0,-90,90,0.0,0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv
Half-Circular,Without Lens,6,Simul_-2,-9,0.01106,2.0,-90,90,0.0,0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv
Half-Circular,Without Lens,7,Simul_-3,-9,0.01659,2.0,-90,90,0.0,0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv
Half-Circular,Without Lens,8,Simul_-4,-9,0.02212,2.0,-90,90,0.0,0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv
