scenario,trajectory,system,waypoints,rx_scenarios,total_runs,path_length_m,duration_s,channel_magnitude_median_db,capacity_median_bits_s_hz,trajectory_rx_outage_percent,static_mimo_condition_number,static_mimo_condition_db,static_mimo_effective_rank,static_mimo_capacity_10db,static_rx_correlation_mean,static_rx_correlation_max,mobility_time_steps,mobility_sampling_frequency_hz,doppler_window_ms,spatial_realizations_per_rx,pooled_correlation,pooled_decorrelation,raw_cross_correlation,raw_difference_power,correlation_blocks,frequency_samples_per_block,median_correlation,median_decorrelation,trajectory_mimo_condition_median_db,trajectory_mimo_erank_median,trajectory_mimo_capacity_median_10db,trajectory_mimo_capacity_min_10db,trajectory_mimo_capacity_max_10db,parsed_waypoint_rx_rows,outage_percent_from_rounded_log
linear_without_lens,Linear,Without Lens,21,9,189,19.0,19.0,-79.78,7.0,0.0,33.9,30.6,5.42,24.06,0.2247,0.5808,16,1000.0,15.0,134736,0.0507,0.9493,5.922747e-10,2.220809e-08,336,401,0.9115,0.0885,43.559822,3.160406,17.19997,8.062711,20.245166,189,0.0
half_circular_without_lens,Half-Circular,Without Lens,37,9,333,28.27,28.27,-83.6,6.04,0.0,33.9,30.6,5.42,24.06,0.2247,0.5808,16,1000.0,15.0,237392,0.0764,0.9236,4.520452e-10,1.108174e-08,592,401,0.7891,0.2109,39.896956,3.964705,19.99383,17.317428,20.987757,333,0.0
linear_lens,Linear,Lens,21,9,189,19.0,19.0,-86.65,5.19,0.0,17.9,25.1,5.12,23.88,0.2674,0.6849,16,1000.0,15.0,134736,0.143,0.857,3.864065e-09,4.627633e-08,336,401,0.5124,0.4876,42.884465,2.042505,14.562188,7.842278,16.743893,189,0.0
half_circular_lens,Half-Circular,Lens,37,9,333,28.27,28.27,-87.24,5.01,0.0,17.9,25.1,5.12,23.88,0.2674,0.6849,16,1000.0,15.0,237392,0.1366,0.8634,1.649641e-09,2.206087e-08,592,401,0.416,0.584,40.809896,2.390859,16.168275,13.77382,17.042732,333,0.0
