waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
0,0.0,0.0,0.779458,0.220542,0.090666,0.426169
1,0.95,0.95,0.814419,0.185581,0.049505,0.284877
2,1.9,1.9,0.794806,0.205194,0.125211,0.250325
3,2.85,2.85,0.864515,0.135485,0.091955,0.173876
4,3.8,3.8,0.867775,0.132225,0.045723,0.183083
5,4.75,4.75,0.936814,0.063186,0.018822,0.101266
6,5.7,5.7,0.922984,0.077016,0.041021,0.117397
7,6.65,6.65,0.929061,0.070939,0.029484,0.11331
8,7.6,7.6,0.94502,0.05498,0.025737,0.091929
9,8.55,8.55,0.95467,0.04533,0.029384,0.069256
10,9.5,9.5,0.975411,0.024589,0.007993,0.041889
11,10.45,10.45,0.954369,0.045631,0.029513,0.06929
12,11.4,11.4,0.945181,0.054819,0.025745,0.091314
13,12.35,12.35,0.928493,0.071507,0.031149,0.114915
14,13.3,13.3,0.923277,0.076723,0.04174,0.118755
15,14.25,14.25,0.937595,0.062405,0.018394,0.101197
16,15.2,15.2,0.868744,0.131256,0.04438,0.182773
17,16.15,16.15,0.867911,0.132089,0.090657,0.172065
18,17.1,17.1,0.797112,0.202888,0.12548,0.247908
19,18.05,18.05,0.811978,0.188022,0.052359,0.290228
20,19.0,19.0,0.796563,0.203437,0.087104,0.398621
