trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Linear,Without Lens,5,21,,4.75,Simul_-1,21.1,7.0,,4.75,0.0,-4.75,2.0
Linear,Without Lens,5,21,,4.75,Simul_-2,21.1,7.0,,4.75,0.0,-4.75,2.0
Linear,Without Lens,5,21,,4.75,Simul_-3,21.1,7.0,,4.75,0.0,-4.75,2.0
Linear,Without Lens,5,21,,4.75,Simul_-4,21.1,7.0,,4.75,0.0,-4.75,2.0
Linear,Without Lens,6,21,,5.7,Simul_+4,21.9,7.28,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,6,21,,5.7,Simul_+3,21.9,7.28,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,6,21,,5.7,Simul_+2,21.9,7.27,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,6,21,,5.7,Simul_+1,21.9,7.27,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,6,21,,5.7,Simul_0,21.9,7.27,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,6,21,,5.7,Simul_-1,21.9,7.28,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,6,21,,5.7,Simul_-2,21.9,7.28,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,6,21,,5.7,Simul_-3,21.9,7.28,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,6,21,,5.7,Simul_-4,21.9,7.28,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,7,21,,6.65,Simul_+4,22.6,7.5,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,7,21,,6.65,Simul_+3,22.6,7.5,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,7,21,,6.65,Simul_+2,22.6,7.5,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,7,21,,6.65,Simul_+1,22.6,7.49,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,7,21,,6.65,Simul_0,22.6,7.5,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,7,21,,6.65,Simul_-1,22.6,7.5,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,7,21,,6.65,Simul_-2,22.6,7.5,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,7,21,,6.65,Simul_-3,22.6,7.51,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,7,21,,6.65,Simul_-4,22.6,7.5,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,8,21,,7.6,Simul_+4,23.1,7.66,,7.6,0.0,-1.8999999999999995,2.0
Linear,Without Lens,8,21,,7.6,Simul_+3,23.1,7.66,,7.6,0.0,-1.8999999999999995,2.0
Linear,Without Lens,8,21,,7.6,Simul_+2,23.1,7.66,,7.6,0.0,-1.8999999999999995,2.0
Linear,Without Lens,8,21,,7.6,Simul_+1,23.1,7.66,,7.6,0.0,-1.8999999999999995,2.0
