trajectory,system,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
Linear,Without Lens,0,0.0,0.0,0.779793,0.220207,0.084479,0.424285
Linear,Without Lens,1,0.95,0.95,0.814868,0.185132,0.048694,0.283949
Linear,Without Lens,2,1.9,1.9,0.79482,0.20518,0.12358,0.257665
Linear,Without Lens,3,2.85,2.85,0.864729,0.135271,0.092083,0.174502
Linear,Without Lens,4,3.8,3.8,0.867835,0.132165,0.045732,0.183571
Linear,Without Lens,5,4.75,4.75,0.936869,0.063131,0.01871,0.101508
Linear,Without Lens,6,5.7,5.7,0.923064,0.076936,0.039954,0.116649
Linear,Without Lens,7,6.65,6.65,0.929181,0.070819,0.029448,0.112896
Linear,Without Lens,8,7.6,7.6,0.944954,0.055046,0.025793,0.091735
Linear,Without Lens,9,8.55,8.55,0.954733,0.045267,0.029423,0.068872
Linear,Without Lens,10,9.5,9.5,0.975834,0.024166,0.00713,0.044466
Linear,Without Lens,11,10.45,10.45,0.954412,0.045588,0.029425,0.069933
Linear,Without Lens,12,11.4,11.4,0.945124,0.054876,0.025663,0.091089
Linear,Without Lens,13,12.35,12.35,0.928648,0.071352,0.031063,0.114379
Linear,Without Lens,14,13.3,13.3,0.923402,0.076598,0.041643,0.11865
Linear,Without Lens,15,14.25,14.25,0.937592,0.062408,0.018486,0.101325
Linear,Without Lens,16,15.2,15.2,0.868705,0.131295,0.04435,0.183221
Linear,Without Lens,17,16.15,16.15,0.868253,0.131747,0.090103,0.172451
Linear,Without Lens,18,17.1,17.1,0.797581,0.202419,0.123969,0.247111
Linear,Without Lens,19,18.05,18.05,0.81368,0.18632,0.050786,0.292992
Linear,Without Lens,20,19.0,19.0,0.806494,0.193506,0.075605,0.387695
Half-Circular,Without Lens,0,0.0,0.0,0.747493,0.252507,0.085514,0.418808
Half-Circular,Without Lens,1,0.785149,0.785149,0.7261,0.2739,0.084512,0.542536
Half-Circular,Without Lens,2,1.570298,1.570298,0.702825,0.297175,0.134033,0.509428
Half-Circular,Without Lens,3,2.355447,2.355447,0.762116,0.237884,0.041314,0.431522
Half-Circular,Without Lens,4,3.140596,3.140596,0.704729,0.295271,0.192701,0.400775
Half-Circular,Without Lens,5,3.925745,3.925745,0.745592,0.254408,0.09718,0.435669
Half-Circular,Without Lens,6,4.710894,4.710894,0.700822,0.299178,0.077343,0.484434
Half-Circular,Without Lens,7,5.496043,5.496043,0.796559,0.203441,0.087955,0.325508
Half-Circular,Without Lens,8,6.281192,6.281192,0.794823,0.205177,0.079834,0.320411
Half-Circular,Without Lens,9,7.066341,7.066341,0.784843,0.215157,0.090623,0.289623
Half-Circular,Without Lens,10,7.85149,7.85149,0.726241,0.273759,0.097424,0.388998
Half-Circular,Without Lens,11,8.636639,8.636639,0.794986,0.205014,0.063704,0.322394
Half-Circular,Without Lens,12,9.421788,9.421788,0.758954,0.241046,0.094359,0.416513
Half-Circular,Without Lens,13,10.206937,10.206937,0.760704,0.239296,0.108203,0.438542
Half-Circular,Without Lens,14,10.992086,10.992086,0.850676,0.149324,0.080658,0.211636
Half-Circular,Without Lens,15,11.777235,11.777235,0.889251,0.110749,0.064952,0.172954
Half-Circular,Without Lens,16,12.562384,12.562384,0.873131,0.126869,0.048387,0.20313
Half-Circular,Without Lens,17,13.347533,13.347533,0.92238,0.07762,0.016979,0.138055
Half-Circular,Without Lens,18,14.132682,14.132682,0.967162,0.032838,0.009503,0.085508
Half-Circular,Without Lens,19,14.91783,14.91783,0.922873,0.077127,0.018039,0.132947
Half-Circular,Without Lens,20,15.702979,15.702979,0.881129,0.118871,0.0445,0.194289
Half-Circular,Without Lens,21,16.488128,16.488128,0.892022,0.107978,0.061119,0.17149
Half-Circular,Without Lens,22,17.273277,17.273277,0.846087,0.153913,0.081445,0.213293
Half-Circular,Without Lens,23,18.058426,18.058426,0.765222,0.234778,0.107506,0.430438
Half-Circular,Without Lens,24,18.843575,18.843575,0.758713,0.241287,0.094799,0.416909
Half-Circular,Without Lens,25,19.628724,19.628724,0.791236,0.208764,0.066592,0.330159
Half-Circular,Without Lens,26,20.413873,20.413873,0.73012,0.26988,0.092859,0.382696
Half-Circular,Without Lens,27,21.199022,21.199022,0.78326,0.21674,0.087128,0.297385
Half-Circular,Without Lens,28,21.984171,21.984171,0.794875,0.205125,0.078872,0.315595
Half-Circular,Without Lens,29,22.76932,22.76932,0.796939,0.203061,0.083718,0.326921
Half-Circular,Without Lens,30,23.554469,23.554469,0.700346,0.299654,0.075604,0.490226
Half-Circular,Without Lens,31,24.339618,24.339618,0.745823,0.254177,0.097468,0.438589
Half-Circular,Without Lens,32,25.124767,25.124767,0.702204,0.297796,0.189056,0.403857
Half-Circular,Without Lens,33,25.909916,25.909916,0.762335,0.237665,0.045905,0.438563
Half-Circular,Without Lens,34,26.695065,26.695065,0.708681,0.291319,0.113555,0.470728
Half-Circular,Without Lens,35,27.480214,27.480214,0.734377,0.265623,0.08146,0.530294
Half-Circular,Without Lens,36,28.265363,28.265363,0.735129,0.264871,0.093419,0.445309
Linear,Lens,0,0.0,0.0,0.471569,0.528431,0.04985,0.834867
Linear,Lens,1,0.95,0.95,0.429237,0.570763,0.175183,0.922313
Linear,Lens,2,1.9,1.9,0.399699,0.600301,0.223064,0.895148
Linear,Lens,3,2.85,2.85,0.430066,0.569934,0.089718,0.854157
Linear,Lens,4,3.8,3.8,0.382244,0.617756,0.021487,0.907565
Linear,Lens,5,4.75,4.75,0.575653,0.424347,0.008466,0.719623
Linear,Lens,6,5.7,5.7,0.590238,0.409762,0.02889,0.885974
Linear,Lens,7,6.65,6.65,0.592067,0.407933,0.008125,0.883632
Linear,Lens,8,7.6,7.6,0.630405,0.369595,0.012766,0.854709
Linear,Lens,9,8.55,8.55,0.62688,0.37312,0.002236,0.932005
Linear,Lens,10,9.5,9.5,0.665394,0.334606,0.001875,0.739628
Linear,Lens,11,10.45,10.45,0.618944,0.381056,0.002136,0.98062
Linear,Lens,12,11.4,11.4,0.632255,0.367745,0.013976,0.818536
Linear,Lens,13,12.35,12.35,0.582397,0.417603,0.007932,0.871994
Linear,Lens,14,13.3,13.3,0.575578,0.424422,0.028383,0.907812
Linear,Lens,15,14.25,14.25,0.539462,0.460538,0.009021,0.802354
Linear,Lens,16,15.2,15.2,0.377229,0.622771,0.019988,0.929934
Linear,Lens,17,16.15,16.15,0.435994,0.564006,0.086299,0.851043
Linear,Lens,18,17.1,17.1,0.39341,0.60659,0.213,0.951108
Linear,Lens,19,18.05,18.05,0.423624,0.576376,0.17867,0.900196
Linear,Lens,20,19.0,19.0,0.472321,0.527679,0.052071,0.797354
Half-Circular,Lens,0,0.0,0.0,0.421502,0.578498,0.064197,0.913519
Half-Circular,Lens,1,0.785149,0.785149,0.360045,0.639955,0.164379,0.919044
Half-Circular,Lens,2,1.570298,1.570298,0.355943,0.644057,0.183457,0.950794
Half-Circular,Lens,3,2.355447,2.355447,0.388538,0.611462,0.194308,0.955897
Half-Circular,Lens,4,3.140596,3.140596,0.344482,0.655518,0.236954,0.950757
Half-Circular,Lens,5,3.925745,3.925745,0.302792,0.697208,0.180861,0.935255
Half-Circular,Lens,6,4.710894,4.710894,0.337563,0.662437,0.187142,0.934496
Half-Circular,Lens,7,5.496043,5.496043,0.42034,0.57966,0.197014,0.940992
Half-Circular,Lens,8,6.281192,6.281192,0.517027,0.482973,0.134702,0.925109
Half-Circular,Lens,9,7.066341,7.066341,0.462122,0.537878,0.082626,0.955271
Half-Circular,Lens,10,7.85149,7.85149,0.378791,0.621209,0.053917,0.947059
Half-Circular,Lens,11,8.636639,8.636639,0.467291,0.532709,0.032872,0.865709
Half-Circular,Lens,12,9.421788,9.421788,0.45662,0.54338,0.033842,0.799796
Half-Circular,Lens,13,10.206937,10.206937,0.456957,0.543043,0.021043,0.867842
Half-Circular,Lens,14,10.992086,10.992086,0.405131,0.594869,0.008022,0.918617
Half-Circular,Lens,15,11.777235,11.777235,0.489288,0.510712,0.005231,0.922772
Half-Circular,Lens,16,12.562384,12.562384,0.494205,0.505795,0.003983,0.91597
Half-Circular,Lens,17,13.347533,13.347533,0.512419,0.487581,0.004008,0.915761
Half-Circular,Lens,18,14.132682,14.132682,0.603356,0.396644,0.004786,0.803931
Half-Circular,Lens,19,14.91783,14.91783,0.483842,0.516158,0.003294,0.888028
Half-Circular,Lens,20,15.702979,15.702979,0.487334,0.512666,0.003347,0.921887
Half-Circular,Lens,21,16.488128,16.488128,0.491791,0.508209,0.004875,0.912868
Half-Circular,Lens,22,17.273277,17.273277,0.406758,0.593242,0.006584,0.928523
Half-Circular,Lens,23,18.058426,18.058426,0.458518,0.541482,0.018081,0.832938
Half-Circular,Lens,24,18.843575,18.843575,0.44548,0.55452,0.033015,0.809833
Half-Circular,Lens,25,19.628724,19.628724,0.465223,0.534777,0.028795,0.883992
Half-Circular,Lens,26,20.413873,20.413873,0.369452,0.630548,0.051773,0.940934
Half-Circular,Lens,27,21.199022,21.199022,0.453696,0.546304,0.082537,0.983371
Half-Circular,Lens,28,21.984171,21.984171,0.509976,0.490024,0.163511,0.891354
Half-Circular,Lens,29,22.76932,22.76932,0.412755,0.587245,0.181834,0.919568
Half-Circular,Lens,30,23.554469,23.554469,0.327516,0.672484,0.186161,0.947166
Half-Circular,Lens,31,24.339618,24.339618,0.303263,0.696737,0.169968,0.951374
Half-Circular,Lens,32,25.124767,25.124767,0.348332,0.651668,0.216392,0.921052
Half-Circular,Lens,33,25.909916,25.909916,0.398715,0.601285,0.168489,0.953625
Half-Circular,Lens,34,26.695065,26.695065,0.337345,0.662655,0.190099,0.965968
Half-Circular,Lens,35,27.480214,27.480214,0.355068,0.644932,0.160751,0.903196
Half-Circular,Lens,36,28.265363,28.265363,0.428561,0.571439,0.120996,0.895097
