scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_+0deg,0,27.35999870,27.35999870,0.00000000,-3.40650439
Simul_+0deg,0,27.71999931,27.71999931,0.00000000,-3.24337363
Simul_+0deg,0,28.07999802,28.08000183,0.00000000,-3.09419179
Simul_+0deg,0,28.43999863,28.43999672,0.00000000,-2.98591256
Simul_+0deg,0,28.79999924,28.80000305,0.00000000,-2.87545967
Simul_+0deg,0,29.15999794,29.15999794,0.00000000,-2.76307011
Simul_+0deg,0,29.51999664,29.51999664,0.00000000,-2.64895773
Simul_+0deg,0,29.87999916,29.88000298,0.00000000,-2.53332567
Simul_+0deg,0,30.23999786,30.23999786,0.00000000,-2.48006964
Simul_+0deg,0,30.59999657,30.59999657,0.00000000,-2.45560932
Simul_+0deg,0,30.95999908,30.95999908,0.00000000,-2.42778492
Simul_+0deg,0,31.31999779,31.31999779,0.00000000,-2.39666486
Simul_+0deg,0,31.67999649,31.67999268,0.00000000,-2.36231923
Simul_+0deg,0,32.03999710,32.03999710,0.00000000,-2.32755923
Simul_+0deg,0,32.39999771,32.39999771,0.00000000,-2.31128001
Simul_+0deg,0,32.75999832,32.75999832,0.00000000,-2.29138923
Simul_+0deg,0,33.11999893,33.11999893,0.00000000,-2.26793289
Simul_+0deg,0,33.47999573,33.47999573,0.00000000,-2.24097228
Simul_+0deg,0,33.84000015,33.83999634,0.00000000,-2.21057248
Simul_+0deg,0,34.19999695,34.20000076,0.00000000,-2.22027159
Simul_+0deg,0,34.55999756,34.56000137,0.00000000,-2.26006365
Simul_+0deg,0,34.91999817,34.92000198,0.00000000,-2.29466963
Simul_+0deg,0,35.27999878,35.27999878,0.00000000,-2.32396221
Simul_+0deg,0,35.63999557,35.63999557,0.00000000,-2.34783149
Simul_+0deg,0,36.00000000,36.00000000,0.00000000,-2.36618662
Simul_+0deg,0,36.35999680,36.36000061,0.00000000,-2.52103329
Simul_+0deg,0,36.71999741,36.71999359,0.00000000,-2.67373347
Simul_+0deg,0,37.07999802,37.07999420,0.00000000,-2.82385612
Simul_+0deg,0,37.43999863,37.43999481,0.00000000,-2.97092390
Simul_+0deg,0,37.79999542,37.79999161,0.00000000,-3.11443710
Simul_+0deg,0,38.15999985,38.15999985,0.00000000,-3.29899549
Simul_+0deg,0,38.51999664,38.51999664,0.00000000,-3.54168510
Simul_+0deg,0,38.88000107,38.88000107,0.00000000,-3.78837061
Simul_+0deg,0,39.23999786,39.23999786,0.00000000,-4.03891897
Simul_+0deg,0,39.59999847,39.59999847,0.00000000,-4.29314804
Simul_+0deg,0,39.95999908,39.95999527,0.00000000,-4.55081844
Simul_+0deg,0,40.31999969,40.31999969,0.00000000,-4.85501623
Simul_+0deg,0,40.67999649,40.67999649,0.00000000,-5.17412186
Simul_+0deg,0,41.03999710,41.03999710,0.00000000,-5.50358868
Simul_+0deg,0,41.39999771,41.39999390,0.00000000,-5.84391975
Simul_+0deg,0,41.75999451,41.75999451,0.00000000,-6.19565678
Simul_+0deg,0,42.11999893,42.11999893,0.00000000,-6.55964375
Simul_+0deg,0,42.47999573,42.47999573,0.00000000,-6.93662167
Simul_+0deg,0,42.83999634,42.83999634,0.00000000,-7.32636261
Simul_+0deg,0,43.19999695,43.19999695,0.00000000,-7.72919226
Simul_+0deg,0,43.55999756,43.55999756,0.00000000,-8.14533138
Simul_+0deg,0,43.91999817,43.91999817,0.00000000,-8.57479000
Simul_+0deg,0,44.27999878,44.27999878,0.00000000,-8.97091103
Simul_+0deg,0,44.63999557,44.63999557,0.00000000,-9.35492325
Simul_+0deg,0,45.00000000,45.00000000,0.00000000,-9.73536396
Simul_+0deg,0,45.35999680,45.35999680,0.00000000,-10.10781670
Simul_+0deg,0,45.71999741,45.71999741,0.00000000,-10.46683884
Simul_+0deg,0,46.07999802,46.07999802,0.00000000,-10.79043579
Simul_+0deg,0,46.43999863,46.43999863,0.00000000,-11.02404690
Simul_+0deg,0,46.79999542,46.79999542,0.00000000,-11.20865822
Simul_+0deg,0,47.15999985,47.15999985,0.00000000,-11.33729458
Simul_+0deg,0,47.51999664,47.52000046,0.00000000,-11.40467548
Simul_+0deg,0,47.87999725,47.87999725,0.00000000,-11.40788555
Simul_+0deg,0,48.23999786,48.23999786,0.00000000,-11.34761620
Simul_+0deg,0,48.59999847,48.59999847,0.00000000,-11.22030830
Simul_+0deg,0,48.95999908,48.96000290,0.00000000,-11.03017902
Simul_+0deg,0,49.31999588,49.31999588,0.00000000,-10.78526402
Simul_+0deg,0,49.67999649,49.67999649,0.00000000,-10.49473572
Simul_+0deg,0,50.03999710,50.03999710,0.00000000,-10.17922020
Simul_+0deg,0,50.39999771,50.39999771,0.00000000,-9.91399384
Simul_+0deg,0,50.75999451,50.75999832,0.00000000,-9.60889435
Simul_+0deg,0,51.11999893,51.11999893,0.00000000,-9.27283478
Simul_+0deg,0,51.47999573,51.47999573,0.00000000,-8.91398621
Simul_+0deg,0,51.83999634,51.84000015,0.00000000,-8.53949165
Simul_+0deg,0,52.19999695,52.19999695,0.00000000,-8.22794724
Simul_+0deg,0,52.55999756,52.55999756,0.00000000,-7.95176983
Simul_+0deg,0,52.91999435,52.91999817,0.00000000,-7.65340376
