scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_+45deg,45,0.00000000,0.00000000,0.00000000,-10.32633400
Simul_+45deg,45,0.35999998,0.35990870,0.00000000,-10.51951599
Simul_+45deg,45,0.71999997,0.72009277,0.00000000,-10.68401146
Simul_+45deg,45,1.07999992,1.07992160,0.00000000,-10.81583977
Simul_+45deg,45,1.43999994,1.43994224,0.00000000,-10.91200829
Simul_+45deg,45,1.79999995,1.80004954,0.00000000,-10.96995926
Simul_+45deg,45,2.15999985,2.16002965,0.00000000,-11.09395027
Simul_+45deg,45,2.51999998,2.52002597,0.00000000,-11.31967926
Simul_+45deg,45,2.87999988,2.87997603,0.00000000,-11.51450253
Simul_+45deg,45,3.23999977,3.24002767,0.00000000,-11.67364502
Simul_+45deg,45,3.59999990,3.59999967,0.00000000,-11.79266739
Simul_+45deg,45,3.95999956,3.95997524,0.00000000,-11.86809921
Simul_+45deg,45,4.31999969,4.32001114,0.00000000,-12.05956078
Simul_+45deg,45,4.67999983,4.67998075,0.00000000,-12.24195004
Simul_+45deg,45,5.03999996,5.03998899,0.00000000,-12.39213467
Simul_+45deg,45,5.39999962,5.40000391,0.00000000,-12.50640011
Simul_+45deg,45,5.75999975,5.76000357,0.00000000,-12.58172131
Simul_+45deg,45,6.11999989,6.12000370,0.00000000,-12.67152023
Simul_+45deg,45,6.47999954,6.47998667,0.00000000,-12.83238411
Simul_+45deg,45,6.83999968,6.83999729,0.00000000,-12.95071602
Simul_+45deg,45,7.19999981,7.19998980,0.00000000,-13.02280521
Simul_+45deg,45,7.55999947,7.56000662,0.00000000,-13.04629135
Simul_+45deg,45,7.91999912,7.92000675,0.00000000,-13.02037716
Simul_+45deg,45,8.27999973,8.28000641,0.00000000,-13.19147110
Simul_+45deg,45,8.63999939,8.63999653,0.00000000,-13.38691711
Simul_+45deg,45,9.00000000,8.99999142,0.00000000,-13.53049660
Simul_+45deg,45,9.35999966,9.36000347,0.00000000,-13.61667538
Simul_+45deg,45,9.72000027,9.72000504,0.00000000,-13.64191628
Simul_+45deg,45,10.07999992,10.07999039,0.00000000,-13.67929077
Simul_+45deg,45,10.43999863,10.43999195,0.00000000,-13.93408966
Simul_+45deg,45,10.79999924,10.80000591,0.00000000,-14.15449333
Simul_+45deg,45,11.15999889,11.15999031,0.00000000,-14.33424187
Simul_+45deg,45,11.51999950,11.51999664,0.00000000,-14.46769524
Simul_+45deg,45,11.87999916,11.88000298,0.00000000,-14.55026245
Simul_+45deg,45,12.23999977,12.24000549,0.00000000,-14.61980247
Simul_+45deg,45,12.59999943,12.60000420,0.00000000,-14.66509914
Simul_+45deg,45,12.95999908,12.95999718,0.00000000,-14.66663742
Simul_+45deg,45,13.31999969,13.31999779,0.00000000,-14.62437057
Simul_+45deg,45,13.67999935,13.68000603,0.00000000,-14.53955173
Simul_+45deg,45,14.03999901,14.04000568,0.00000000,-14.42429638
Simul_+45deg,45,14.39999962,14.39999866,0.00000000,-14.33104324
Simul_+45deg,45,14.75999832,14.75999737,0.00000000,-14.17223930
Simul_+45deg,45,15.11999893,15.12000275,0.00000000,-13.95484447
Simul_+45deg,45,15.47999954,15.48000336,0.00000000,-13.68749046
Simul_+45deg,45,15.83999825,15.84000015,0.00000000,-13.37947273
Simul_+45deg,45,16.19999886,16.19999313,0.00000000,-13.25775719
Simul_+45deg,45,16.55999947,16.56000137,0.00000000,-13.25535870
Simul_+45deg,45,16.92000008,16.91999626,0.00000000,-13.19047451
Simul_+45deg,45,17.27999878,17.27999496,0.00000000,-13.06583405
Simul_+45deg,45,17.63999939,17.64000320,0.00000000,-12.88642883
Simul_+45deg,45,18.00000000,17.99999428,0.00000000,-12.65890598
Simul_+45deg,45,18.35999870,18.36000061,0.00000000,-12.71039104
