scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_+30deg,30,0.00000000,0.00000000,0.00000000,-0.62931466
Simul_+30deg,30,0.35999998,0.35990870,0.00000000,-0.65601456
Simul_+30deg,30,0.71999997,0.72009277,0.00000000,-0.68202245
Simul_+30deg,30,1.07999992,1.07992160,0.00000000,-0.70727909
Simul_+30deg,30,1.43999994,1.43994224,0.00000000,-0.73181045
Simul_+30deg,30,1.79999995,1.80004954,0.00000000,-0.75559527
Simul_+30deg,30,2.15999985,2.16002965,0.00000000,-0.77645850
Simul_+30deg,30,2.51999998,2.52002597,0.00000000,-0.79443204
Simul_+30deg,30,2.87999988,2.87997603,0.00000000,-0.81240958
Simul_+30deg,30,3.23999977,3.24002767,0.00000000,-0.83039933
Simul_+30deg,30,3.59999990,3.59999967,0.00000000,-0.84839201
Simul_+30deg,30,3.95999956,3.95997524,0.00000000,-0.86639136
Simul_+30deg,30,4.31999969,4.32001114,0.00000000,-0.79044318
Simul_+30deg,30,4.67999983,4.67998075,0.00000000,-0.70323950
Simul_+30deg,30,5.03999996,5.03998899,0.00000000,-0.61653948
Simul_+30deg,30,5.39999962,5.40000391,0.00000000,-0.53035414
Simul_+30deg,30,5.75999975,5.76000357,0.00000000,-0.44469145
Simul_+30deg,30,6.11999989,6.12000370,0.00000000,-0.34470862
Simul_+30deg,30,6.47999954,6.47998667,0.00000000,-0.21647118
Simul_+30deg,30,6.83999968,6.83999729,0.00000000,-0.09004731
Simul_+30deg,30,7.19999981,7.19998980,0.00000000,0.03459615
Simul_+30deg,30,7.55999947,7.56000662,0.00000000,0.15751971
Simul_+30deg,30,7.91999912,7.92000675,0.00000000,0.27875829
Simul_+30deg,30,8.27999973,8.28000641,0.00000000,0.37981158
Simul_+30deg,30,8.63999939,8.63999653,0.00000000,0.47466919
Simul_+30deg,30,9.00000000,8.99999142,0.00000000,0.56873101
Simul_+30deg,30,9.35999966,9.36000347,0.00000000,0.66200840
Simul_+30deg,30,9.72000027,9.72000504,0.00000000,0.75450176
Simul_+30deg,30,10.07999992,10.07999039,0.00000000,0.84755647
Simul_+30deg,30,10.43999863,10.43999195,0.00000000,0.94460976
Simul_+30deg,30,10.79999924,10.80000591,0.00000000,1.04101646
Simul_+30deg,30,11.15999889,11.15999031,0.00000000,1.13675833
Simul_+30deg,30,11.51999950,11.51999664,0.00000000,1.23184955
Simul_+30deg,30,11.87999916,11.88000298,0.00000000,1.32627916
Simul_+30deg,30,12.23999977,12.24000549,0.00000000,1.40956521
Simul_+30deg,30,12.59999943,12.60000420,0.00000000,1.48788881
Simul_+30deg,30,12.95999908,12.95999718,0.00000000,1.56663406
Simul_+30deg,30,13.31999969,13.31999779,0.00000000,1.64575684
Simul_+30deg,30,13.67999935,13.68000603,0.00000000,1.72521067
Simul_+30deg,30,14.03999901,14.04000568,0.00000000,1.79682708
