scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_+60deg,60,0.00000000,0.00000000,0.00000000,6.71745300
Simul_+60deg,60,0.35999998,0.35990870,0.00000000,6.75781918
Simul_+60deg,60,0.71999997,0.72009277,0.00000000,6.80337429
Simul_+60deg,60,1.07999992,1.07992160,0.00000000,6.85387230
Simul_+60deg,60,1.43999994,1.43994224,0.00000000,6.90921116
Simul_+60deg,60,1.79999995,1.80004954,0.00000000,6.96918869
Simul_+60deg,60,2.15999985,2.16002965,0.00000000,6.98338985
Simul_+60deg,60,2.51999998,2.52002597,0.00000000,6.94124889
Simul_+60deg,60,2.87999988,2.87997603,0.00000000,6.90642643
Simul_+60deg,60,3.23999977,3.24002767,0.00000000,6.87909079
Simul_+60deg,60,3.59999990,3.59999967,0.00000000,6.85939884
Simul_+60deg,60,3.95999956,3.95997524,0.00000000,6.84745026
Simul_+60deg,60,4.31999969,4.32001114,0.00000000,6.72998714
Simul_+60deg,60,4.67999983,4.67998075,0.00000000,6.60486650
Simul_+60deg,60,5.03999996,5.03998899,0.00000000,6.48680782
Simul_+60deg,60,5.39999962,5.40000391,0.00000000,6.37651348
Simul_+60deg,60,5.75999975,5.76000357,0.00000000,6.27467680
Simul_+60deg,60,6.11999989,6.12000370,0.00000000,6.14125347
Simul_+60deg,60,6.47999954,6.47998667,0.00000000,5.93222094
Simul_+60deg,60,6.83999968,6.83999729,0.00000000,5.72800732
Simul_+60deg,60,7.19999981,7.19998980,0.00000000,5.52985382
Simul_+60deg,60,7.55999947,7.56000662,0.00000000,5.33906698
Simul_+60deg,60,7.91999912,7.92000675,0.00000000,5.15709877
Simul_+60deg,60,8.27999973,8.28000641,0.00000000,4.87846184
Simul_+60deg,60,8.63999939,8.63999653,0.00000000,4.57208538
Simul_+60deg,60,9.00000000,8.99999142,0.00000000,4.26946354
Simul_+60deg,60,9.35999966,9.36000347,0.00000000,3.97308588
Simul_+60deg,60,9.72000027,9.72000504,0.00000000,3.68592691
Simul_+60deg,60,10.07999992,10.07999039,0.00000000,3.37345695
Simul_+60deg,60,10.43999863,10.43999195,0.00000000,2.93258905
Simul_+60deg,60,10.79999924,10.80000591,0.00000000,2.49275160
Simul_+60deg,60,11.15999889,11.15999031,0.00000000,2.05961728
Simul_+60deg,60,11.51999950,11.51999664,0.00000000,1.64044368
Simul_+60deg,60,11.87999916,11.88000298,0.00000000,1.24444175
Simul_+60deg,60,12.23999977,12.24000549,0.00000000,0.73542446
Simul_+60deg,60,12.59999943,12.60000420,0.00000000,0.17020580
Simul_+60deg,60,12.95999908,12.95999718,0.00000000,-0.36648393
Simul_+60deg,60,13.31999969,13.31999779,0.00000000,-0.85214555
Simul_+60deg,60,13.67999935,13.68000603,0.00000000,-1.25952375
Simul_+60deg,60,14.03999901,14.04000568,0.00000000,-1.58961236
Simul_+60deg,60,14.39999962,14.39999866,0.00000000,-2.04397655
Simul_+60deg,60,14.75999832,14.75999737,0.00000000,-2.35818553
Simul_+60deg,60,15.11999893,15.12000275,0.00000000,-2.49716210
Simul_+60deg,60,15.47999954,15.48000336,0.00000000,-2.44348788
Simul_+60deg,60,15.83999825,15.84000015,0.00000000,-2.20403814
Simul_+60deg,60,16.19999886,16.19999313,0.00000000,-1.94189024
Simul_+60deg,60,16.55999947,16.56000137,0.00000000,-1.62968898
Simul_+60deg,60,16.92000008,16.91999626,0.00000000,-1.18402636
Simul_+60deg,60,17.27999878,17.27999496,0.00000000,-0.64379752
Simul_+60deg,60,17.63999939,17.64000320,0.00000000,-0.04507302
Simul_+60deg,60,18.00000000,17.99999428,0.00000000,0.58317965
Simul_+60deg,60,18.35999870,18.36000061,0.00000000,1.09012735
Simul_+60deg,60,18.71999931,18.71999741,0.00000000,1.62485671
Simul_+60deg,60,19.07999992,19.08000183,0.00000000,2.17210388
Simul_+60deg,60,19.44000053,19.43999863,0.00000000,2.72070789
Simul_+60deg,60,19.79999924,19.79999924,0.00000000,3.26299763
Simul_+60deg,60,20.15999985,20.15999603,0.00000000,3.75238514
Simul_+60deg,60,20.51999855,20.51999664,0.00000000,4.18742561
Simul_+60deg,60,20.87999725,20.88000298,0.00000000,4.62071943
Simul_+60deg,60,21.23999786,21.24000168,0.00000000,5.04897785
Simul_+60deg,60,21.59999847,21.59999657,0.00000000,5.46989155
Simul_+60deg,60,21.95999908,21.95999527,0.00000000,5.88189363
Simul_+60deg,60,22.31999779,22.31999969,0.00000000,6.22451544
Simul_+60deg,60,22.67999840,22.67999649,0.00000000,6.55729866
Simul_+60deg,60,23.03999901,23.04000282,0.00000000,6.88685894
Simul_+60deg,60,23.39999771,23.39999390,0.00000000,7.21213531
Simul_+60deg,60,23.75999832,23.75999641,0.00000000,7.53237486
Simul_+60deg,60,24.11999893,24.11999702,0.00000000,7.82681704
Simul_+60deg,60,24.47999954,24.48000336,0.00000000,8.07895184
Simul_+60deg,60,24.83999825,24.84000015,0.00000000,8.33049774
Simul_+60deg,60,25.19999886,25.19999886,0.00000000,8.58078194
Simul_+60deg,60,25.55999947,25.56000137,0.00000000,8.82924271
Simul_+60deg,60,25.91999817,25.92000008,0.00000000,9.07541847
Simul_+60deg,60,26.27999878,26.28000259,0.00000000,9.27396488
Simul_+60deg,60,26.63999939,26.63999557,0.00000000,9.46030426
Simul_+60deg,60,27.00000000,26.99999809,0.00000000,9.64730453
Simul_+60deg,60,27.35999870,27.35999870,0.00000000,9.83455849
Simul_+60deg,60,27.71999931,27.71999931,0.00000000,10.02170467
Simul_+60deg,60,28.07999802,28.08000183,0.00000000,10.19778728
Simul_+60deg,60,28.43999863,28.43999672,0.00000000,10.33711529
Simul_+60deg,60,28.79999924,28.80000305,0.00000000,10.47747612
Simul_+60deg,60,29.15999794,29.15999794,0.00000000,10.61862564
Simul_+60deg,60,29.51999664,29.51999664,0.00000000,10.76035595
Simul_+60deg,60,29.87999916,29.88000298,0.00000000,10.90246964
Simul_+60deg,60,30.23999786,30.23999786,0.00000000,11.02180672
Simul_+60deg,60,30.59999657,30.59999657,0.00000000,11.13037586
Simul_+60deg,60,30.95999908,30.95999908,0.00000000,11.23967171
Simul_+60deg,60,31.31999779,31.31999779,0.00000000,11.34957218
Simul_+60deg,60,31.67999649,31.67999268,0.00000000,11.45996189
Simul_+60deg,60,32.03999710,32.03999710,0.00000000,11.56677246
Simul_+60deg,60,32.39999771,32.39999771,0.00000000,11.64244652
Simul_+60deg,60,32.75999832,32.75999832,0.00000000,11.71896744
Simul_+60deg,60,33.11999893,33.11999893,0.00000000,11.79626846
Simul_+60deg,60,33.47999573,33.47999573,0.00000000,11.87428474
Simul_+60deg,60,33.84000015,33.83999634,0.00000000,11.95295525
Simul_+60deg,60,34.19999695,34.20000076,0.00000000,12.00775051
Simul_+60deg,60,34.55999756,34.56000137,0.00000000,12.04375076
Simul_+60deg,60,34.91999817,34.92000198,0.00000000,12.08057308
Simul_+60deg,60,35.27999878,35.27999878,0.00000000,12.11820030
Simul_+60deg,60,35.63999557,35.63999557,0.00000000,12.15660286
Simul_+60deg,60,36.00000000,36.00000000,0.00000000,12.19576263
Simul_+60deg,60,36.35999680,36.36000061,0.00000000,12.19425201
Simul_+60deg,60,36.71999741,36.71999359,0.00000000,12.19313049
Simul_+60deg,60,37.07999802,37.07999420,0.00000000,12.19239330
Simul_+60deg,60,37.43999863,37.43999481,0.00000000,12.19204521
Simul_+60deg,60,37.79999542,37.79999161,0.00000000,12.19208241
Simul_+60deg,60,38.15999985,38.15999985,0.00000000,12.17924023
Simul_+60deg,60,38.51999664,38.51999664,0.00000000,12.14986610
Simul_+60deg,60,38.88000107,38.88000107,0.00000000,12.12041378
Simul_+60deg,60,39.23999786,39.23999786,0.00000000,12.09088516
Simul_+60deg,60,39.59999847,39.59999847,0.00000000,12.06127930
Simul_+60deg,60,39.95999908,39.95999527,0.00000000,12.03159714
Simul_+60deg,60,40.31999969,40.31999969,0.00000000,11.97672367
Simul_+60deg,60,40.67999649,40.67999649,0.00000000,11.91845894
Simul_+60deg,60,41.03999710,41.03999710,0.00000000,11.85992622
Simul_+60deg,60,41.39999771,41.39999390,0.00000000,11.80112839
Simul_+60deg,60,41.75999451,41.75999451,0.00000000,11.74206352
Simul_+60deg,60,42.11999893,42.11999893,0.00000000,11.66903687
Simul_+60deg,60,42.47999573,42.47999573,0.00000000,11.56820488
Simul_+60deg,60,42.83999634,42.83999634,0.00000000,11.46689320
Simul_+60deg,60,43.19999695,43.19999695,0.00000000,11.36512947
Simul_+60deg,60,43.55999756,43.55999756,0.00000000,11.26293564
Simul_+60deg,60,43.91999817,43.91999817,0.00000000,11.16033649
Simul_+60deg,60,44.27999878,44.27999878,0.00000000,11.01472092
Simul_+60deg,60,44.63999557,44.63999557,0.00000000,10.85601711
Simul_+60deg,60,45.00000000,45.00000000,0.00000000,10.69643879
Simul_+60deg,60,45.35999680,45.35999680,0.00000000,10.53612137
Simul_+60deg,60,45.71999741,45.71999741,0.00000000,10.37520409
Simul_+60deg,60,46.07999802,46.07999802,0.00000000,10.20026016
Simul_+60deg,60,46.43999863,46.43999863,0.00000000,9.97663975
Simul_+60deg,60,46.79999542,46.79999542,0.00000000,9.75169086
Simul_+60deg,60,47.15999985,47.15999985,0.00000000,9.52584362
Simul_+60deg,60,47.51999664,47.52000046,0.00000000,9.29960060
Simul_+60deg,60,47.87999725,47.87999725,0.00000000,9.07357121
