scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,27.35999870,27.35999870,0.00000000,-1.95480800
Simul_-45deg,-45,27.71999931,27.71999931,0.00000000,-1.85250294
Simul_-45deg,-45,28.07999802,28.08000183,0.00000000,-1.64828920
Simul_-45deg,-45,28.43999863,28.43999672,0.00000000,-1.44709826
Simul_-45deg,-45,28.79999924,28.80000305,0.00000000,-1.12739074
Simul_-45deg,-45,29.15999794,29.15999794,0.00000000,-0.71393394
Simul_-45deg,-45,29.51999664,29.51999664,0.00000000,-0.23301713
Simul_-45deg,-45,29.87999916,29.88000298,0.00000000,0.29144809
Simul_-45deg,-45,30.23999786,30.23999786,0.00000000,0.75456351
Simul_-45deg,-45,30.59999657,30.59999657,0.00000000,1.20521116
Simul_-45deg,-45,30.95999908,30.95999908,0.00000000,1.67710888
Simul_-45deg,-45,31.31999779,31.31999779,0.00000000,2.15962124
Simul_-45deg,-45,31.67999649,31.67999268,0.00000000,2.64469409
Simul_-45deg,-45,32.03999710,32.03999710,0.00000000,3.11294317
Simul_-45deg,-45,32.39999771,32.39999771,0.00000000,3.47795057
Simul_-45deg,-45,32.75999832,32.75999832,0.00000000,3.85313463
Simul_-45deg,-45,33.11999893,33.11999893,0.00000000,4.23371601
Simul_-45deg,-45,33.47999573,33.47999573,0.00000000,4.61588192
Simul_-45deg,-45,33.84000015,33.83999634,0.00000000,4.99666739
Simul_-45deg,-45,34.19999695,34.20000076,0.00000000,5.31141090
Simul_-45deg,-45,34.55999756,34.56000137,0.00000000,5.58405447
Simul_-45deg,-45,34.91999817,34.92000198,0.00000000,5.86555719
Simul_-45deg,-45,35.27999878,35.27999878,0.00000000,6.15327454
Simul_-45deg,-45,35.63999557,35.63999557,0.00000000,6.44495249
Simul_-45deg,-45,36.00000000,36.00000000,0.00000000,6.73867607
Simul_-45deg,-45,36.35999680,36.36000061,0.00000000,6.93362284
Simul_-45deg,-45,36.71999741,36.71999359,0.00000000,7.13899040
Simul_-45deg,-45,37.07999802,37.07999420,0.00000000,7.35298538
Simul_-45deg,-45,37.43999863,37.43999481,0.00000000,7.57392931
Simul_-45deg,-45,37.79999542,37.79999161,0.00000000,7.80031919
Simul_-45deg,-45,38.15999985,38.15999985,0.00000000,7.99303150
Simul_-45deg,-45,38.51999664,38.51999664,0.00000000,8.14682579
Simul_-45deg,-45,38.88000107,38.88000107,0.00000000,8.30978203
Simul_-45deg,-45,39.23999786,39.23999786,0.00000000,8.48070717
Simul_-45deg,-45,39.59999847,39.59999847,0.00000000,8.65846443
Simul_-45deg,-45,39.95999908,39.95999527,0.00000000,8.84198570
Simul_-45deg,-45,40.31999969,40.31999969,0.00000000,8.97526741
Simul_-45deg,-45,40.67999649,40.67999649,0.00000000,9.11079979
Simul_-45deg,-45,41.03999710,41.03999710,0.00000000,9.25480938
Simul_-45deg,-45,41.39999771,41.39999390,0.00000000,9.40633678
Simul_-45deg,-45,41.75999451,41.75999451,0.00000000,9.56446838
Simul_-45deg,-45,42.11999893,42.11999893,0.00000000,9.71621704
Simul_-45deg,-45,42.47999573,42.47999573,0.00000000,9.85133648
Simul_-45deg,-45,42.83999634,42.83999634,0.00000000,9.99449635
Simul_-45deg,-45,43.19999695,43.19999695,0.00000000,10.14478302
Simul_-45deg,-45,43.55999756,43.55999756,0.00000000,10.30133247
Simul_-45deg,-45,43.91999817,43.91999817,0.00000000,10.46330833
Simul_-45deg,-45,44.27999878,44.27999878,0.00000000,10.62153053
Simul_-45deg,-45,44.63999557,44.63999557,0.00000000,10.78227806
Simul_-45deg,-45,45.00000000,45.00000000,0.00000000,10.94733810
Simul_-45deg,-45,45.35999680,45.35999680,0.00000000,11.11601734
Simul_-45deg,-45,45.71999741,45.71999741,0.00000000,11.28767967
Simul_-45deg,-45,46.07999802,46.07999802,0.00000000,11.46090603
Simul_-45deg,-45,46.43999863,46.43999863,0.00000000,11.63228893
Simul_-45deg,-45,46.79999542,46.79999542,0.00000000,11.80390739
Simul_-45deg,-45,47.15999985,47.15999985,0.00000000,11.97548485
Simul_-45deg,-45,47.51999664,47.52000046,0.00000000,12.14677429
Simul_-45deg,-45,47.87999725,47.87999725,0.00000000,12.31754875
Simul_-45deg,-45,48.23999786,48.23999786,0.00000000,12.47589302
Simul_-45deg,-45,48.59999847,48.59999847,0.00000000,12.62667751
Simul_-45deg,-45,48.95999908,48.96000290,0.00000000,12.77560329
Simul_-45deg,-45,49.31999588,49.31999588,0.00000000,12.92267609
Simul_-45deg,-45,49.67999649,49.67999649,0.00000000,13.06792259
Simul_-45deg,-45,50.03999710,50.03999710,0.00000000,13.20710182
Simul_-45deg,-45,50.39999771,50.39999771,0.00000000,13.31072998
Simul_-45deg,-45,50.75999451,50.75999832,0.00000000,13.41316605
Simul_-45deg,-45,51.11999893,51.11999893,0.00000000,13.51443386
Simul_-45deg,-45,51.47999573,51.47999573,0.00000000,13.61455917
Simul_-45deg,-45,51.83999634,51.84000015,0.00000000,13.71357155
Simul_-45deg,-45,52.19999695,52.19999695,0.00000000,13.78109932
Simul_-45deg,-45,52.55999756,52.55999756,0.00000000,13.82471180
Simul_-45deg,-45,52.91999435,52.91999817,0.00000000,13.86911964
Simul_-45deg,-45,53.27999878,53.27999878,0.00000000,13.91429043
Simul_-45deg,-45,53.63999557,53.63999557,0.00000000,13.96019840
Simul_-45deg,-45,54.00000000,54.00000000,0.00000000,14.00681400
Simul_-45deg,-45,54.35999680,54.35999680,0.00000000,13.98830795
Simul_-45deg,-45,54.71999741,54.71999741,0.00000000,13.97310638
Simul_-45deg,-45,55.07999802,55.07999802,0.00000000,13.96124363
Simul_-45deg,-45,55.43999863,55.43999863,0.00000000,13.95274734
Simul_-45deg,-45,55.79999542,55.79999924,0.00000000,13.94763947
Simul_-45deg,-45,56.15999603,56.15999603,0.00000000,13.91038132
Simul_-45deg,-45,56.51999664,56.51999664,0.00000000,13.83382988
Simul_-45deg,-45,56.87999725,56.87999725,0.00000000,13.76335335
Simul_-45deg,-45,57.23999786,57.23999786,0.00000000,13.69927216
Simul_-45deg,-45,57.59999847,57.59999847,0.00000000,13.64189053
Simul_-45deg,-45,57.95999908,57.95999908,0.00000000,13.59149075
Simul_-45deg,-45,58.31999588,58.31999588,0.00000000,13.45874405
Simul_-45deg,-45,58.67999649,58.67999649,0.00000000,13.32244778
