scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_+15deg,15,0.00000000,0.00000000,0.00000000,-2.44250560
Simul_+15deg,15,0.35999998,0.35990870,0.00000000,-2.54933953
Simul_+15deg,15,0.71999997,0.72009277,0.00000000,-2.64965510
Simul_+15deg,15,1.07999992,1.07992160,0.00000000,-2.74274921
Simul_+15deg,15,1.43999994,1.43994224,0.00000000,-2.82825089
Simul_+15deg,15,1.79999995,1.80004954,0.00000000,-2.90562868
Simul_+15deg,15,2.15999985,2.16002965,0.00000000,-3.02113962
Simul_+15deg,15,2.51999998,2.52002597,0.00000000,-3.19392633
Simul_+15deg,15,2.87999988,2.87997603,0.00000000,-3.36841130
Simul_+15deg,15,3.23999977,3.24002767,0.00000000,-3.54458809
Simul_+15deg,15,3.59999990,3.59999967,0.00000000,-3.72227383
Simul_+15deg,15,3.95999956,3.95997524,0.00000000,-3.90139246
Simul_+15deg,15,4.31999969,4.32001114,0.00000000,-4.04114771
Simul_+15deg,15,4.67999983,4.67998075,0.00000000,-4.17696190
Simul_+15deg,15,5.03999996,5.03998899,0.00000000,-4.31393671
Simul_+15deg,15,5.39999962,5.40000391,0.00000000,-4.45203257
Simul_+15deg,15,5.75999975,5.76000357,0.00000000,-4.59120464
Simul_+15deg,15,6.11999989,6.12000370,0.00000000,-4.71565914
Simul_+15deg,15,6.47999954,6.47998667,0.00000000,-4.80767918
Simul_+15deg,15,6.83999968,6.83999729,0.00000000,-4.89770555
Simul_+15deg,15,7.19999981,7.19998980,0.00000000,-4.98555946
Simul_+15deg,15,7.55999947,7.56000662,0.00000000,-5.07107496
Simul_+15deg,15,7.91999912,7.92000675,0.00000000,-5.15406847
Simul_+15deg,15,8.27999973,8.28000641,0.00000000,-5.14493895
Simul_+15deg,15,8.63999939,8.63999653,0.00000000,-5.10250950
Simul_+15deg,15,9.00000000,8.99999142,0.00000000,-5.05192947
Simul_+15deg,15,9.35999966,9.36000347,0.00000000,-4.99348640
Simul_+15deg,15,9.72000027,9.72000504,0.00000000,-4.92750502
Simul_+15deg,15,10.07999992,10.07999039,0.00000000,-4.81494761
Simul_+15deg,15,10.43999863,10.43999195,0.00000000,-4.56301737
Simul_+15deg,15,10.79999924,10.80000591,0.00000000,-4.31342268
Simul_+15deg,15,11.15999889,11.15999031,0.00000000,-4.06658077
Simul_+15deg,15,11.51999950,11.51999664,0.00000000,-3.82275581
Simul_+15deg,15,11.87999916,11.88000298,0.00000000,-3.58220339
Simul_+15deg,15,12.23999977,12.24000549,0.00000000,-3.33105850
Simul_+15deg,15,12.59999943,12.60000420,0.00000000,-3.07867432
Simul_+15deg,15,12.95999908,12.95999718,0.00000000,-2.83233047
Simul_+15deg,15,13.31999969,13.31999779,0.00000000,-2.59180212
Simul_+15deg,15,13.67999935,13.68000603,0.00000000,-2.35688019
Simul_+15deg,15,14.03999901,14.04000568,0.00000000,-2.12950325
Simul_+15deg,15,14.39999962,14.39999866,0.00000000,-1.92365146
Simul_+15deg,15,14.75999832,14.75999737,0.00000000,-1.72148299
Simul_+15deg,15,15.11999893,15.12000275,0.00000000,-1.52292943
Simul_+15deg,15,15.47999954,15.48000336,0.00000000,-1.32791853
Simul_+15deg,15,15.83999825,15.84000015,0.00000000,-1.13637185
Simul_+15deg,15,16.19999886,16.19999313,0.00000000,-0.94678229
Simul_+15deg,15,16.55999947,16.56000137,0.00000000,-0.75860012
Simul_+15deg,15,16.92000008,16.91999626,0.00000000,-0.57279909
Simul_+15deg,15,17.27999878,17.27999496,0.00000000,-0.38940287
Simul_+15deg,15,17.63999939,17.64000320,0.00000000,-0.20842996
Simul_+15deg,15,18.00000000,17.99999428,0.00000000,-0.02990264
Simul_+15deg,15,18.35999870,18.36000061,0.00000000,0.07780277
Simul_+15deg,15,18.71999931,18.71999741,0.00000000,0.18728480
Simul_+15deg,15,19.07999992,19.08000183,0.00000000,0.29835093
Simul_+15deg,15,19.44000053,19.43999863,0.00000000,0.41081011
Simul_+15deg,15,19.79999924,19.79999924,0.00000000,0.52449119
Simul_+15deg,15,20.15999985,20.15999603,0.00000000,0.59685344
Simul_+15deg,15,20.51999855,20.51999664,0.00000000,0.61789834
Simul_+15deg,15,20.87999725,20.88000298,0.00000000,0.64083004
Simul_+15deg,15,21.23999786,21.24000168,0.00000000,0.66561729
