scenario,waypoint,distance_along_m,rx_config_index,rx_config_name,mean_snr_db,capacity_bits_s_hz
half_lens,10,7.85,0,Simul_+60deg,-1.8,0.72
half_lens,10,7.85,1,Simul_+45deg,-1.2,0.8
half_lens,10,7.85,2,Simul_+30deg,-2.1,0.68
half_lens,10,7.85,3,Simul_+15deg,-1.1,0.81
half_lens,10,7.85,4,Simul_+0deg,-1.3,0.79
half_lens,10,7.85,5,Simul_-15deg,5.3,2.09
half_lens,10,7.85,6,Simul_-30deg,8.2,2.91
half_lens,10,7.85,7,Simul_-45deg,7.9,2.78
half_lens,10,7.85,8,Simul_-60deg,4.1,1.8
half_lens,11,8.64,0,Simul_+60deg,-2.9,0.59
half_lens,11,8.64,1,Simul_+45deg,-1.0,0.83
half_lens,11,8.64,2,Simul_+30deg,-1.1,0.82
half_lens,11,8.64,3,Simul_+15deg,-1.3,0.8
half_lens,11,8.64,4,Simul_+0deg,-0.3,0.94
half_lens,11,8.64,5,Simul_-15deg,4.5,1.87
half_lens,11,8.64,6,Simul_-30deg,8.2,2.89
half_lens,11,8.64,7,Simul_-45deg,6.8,2.51
half_lens,11,8.64,8,Simul_-60deg,4.1,1.82
half_lens,12,9.42,0,Simul_+60deg,-2.7,0.62
half_lens,12,9.42,1,Simul_+45deg,-0.9,0.85
half_lens,12,9.42,2,Simul_+30deg,-2.2,0.68
half_lens,12,9.42,3,Simul_+15deg,-2.3,0.66
half_lens,12,9.42,4,Simul_+0deg,0.7,1.1
half_lens,12,9.42,5,Simul_-15deg,5.1,2.06
half_lens,12,9.42,6,Simul_-30deg,8.3,2.93
half_lens,12,9.42,7,Simul_-45deg,5.6,2.19
half_lens,12,9.42,8,Simul_-60deg,4.3,1.87
half_lens,13,10.21,0,Simul_+60deg,-2.9,0.6
half_lens,13,10.21,1,Simul_+45deg,-0.5,0.91
half_lens,13,10.21,2,Simul_+30deg,-2.6,0.63
half_lens,13,10.21,3,Simul_+15deg,-2.6,0.63
half_lens,13,10.21,4,Simul_+0deg,1.7,1.31
half_lens,13,10.21,5,Simul_-15deg,5.7,2.23
half_lens,13,10.21,6,Simul_-30deg,7.7,2.78
half_lens,13,10.21,7,Simul_-45deg,3.7,1.72
half_lens,13,10.21,8,Simul_-60deg,4.3,1.87
half_lens,14,10.99,0,Simul_+60deg,-1.9,0.72
half_lens,14,10.99,1,Simul_+45deg,-0.2,0.96
half_lens,14,10.99,2,Simul_+30deg,-3.3,0.55
half_lens,14,10.99,3,Simul_+15deg,-2.5,0.63
half_lens,14,10.99,4,Simul_+0deg,3.7,1.74
half_lens,14,10.99,5,Simul_-15deg,6.5,2.44
half_lens,14,10.99,6,Simul_-30deg,7.2,2.63
half_lens,14,10.99,7,Simul_-45deg,2.9,1.55
half_lens,14,10.99,8,Simul_-60deg,4.4,1.89
half_lens,15,11.78,0,Simul_+60deg,-2.1,0.69
half_lens,15,11.78,1,Simul_+45deg,0.4,1.06
half_lens,15,11.78,2,Simul_+30deg,-3.8,0.5
half_lens,15,11.78,3,Simul_+15deg,-0.7,0.89
half_lens,15,11.78,4,Simul_+0deg,4.4,1.9
half_lens,15,11.78,5,Simul_-15deg,6.9,2.53
half_lens,15,11.78,6,Simul_-30deg,5.9,2.28
half_lens,15,11.78,7,Simul_-45deg,1.5,1.25
half_lens,15,11.78,8,Simul_-60deg,4.3,1.88
half_lens,16,12.56,0,Simul_+60deg,-1.4,0.77
half_lens,16,12.56,1,Simul_+45deg,1.0,1.16
half_lens,16,12.56,2,Simul_+30deg,-3.6,0.51
half_lens,16,12.56,3,Simul_+15deg,1.7,1.29
half_lens,16,12.56,4,Simul_+0deg,4.4,1.88
half_lens,16,12.56,5,Simul_-15deg,6.8,2.53
half_lens,16,12.56,6,Simul_-30deg,4.7,1.91
half_lens,16,12.56,7,Simul_-45deg,0.1,1.0
half_lens,16,12.56,8,Simul_-60deg,4.1,1.81
