scenario,waypoint,distance_along_m,rx_config_index,rx_config_name,mean_snr_db,capacity_bits_s_hz
half_wolens,11,8.64,1,Simul_+3,1.8,1.31
half_wolens,11,8.64,2,Simul_+2,1.8,1.32
half_wolens,11,8.64,3,Simul_+1,1.7,1.29
half_wolens,11,8.64,4,Simul_0,1.7,1.3
half_wolens,11,8.64,5,Simul_-1,1.7,1.29
half_wolens,11,8.64,6,Simul_-2,1.6,1.28
half_wolens,11,8.64,7,Simul_-3,1.7,1.29
half_wolens,11,8.64,8,Simul_-4,1.6,1.28
half_wolens,12,9.42,0,Simul_+4,1.8,1.32
half_wolens,12,9.42,1,Simul_+3,1.8,1.32
half_wolens,12,9.42,2,Simul_+2,1.7,1.31
half_wolens,12,9.42,3,Simul_+1,1.7,1.31
half_wolens,12,9.42,4,Simul_0,1.8,1.31
half_wolens,12,9.42,5,Simul_-1,1.8,1.31
half_wolens,12,9.42,6,Simul_-2,1.8,1.31
half_wolens,12,9.42,7,Simul_-3,1.7,1.3
half_wolens,12,9.42,8,Simul_-4,1.7,1.31
half_wolens,13,10.21,0,Simul_+4,1.9,1.35
half_wolens,13,10.21,1,Simul_+3,2.0,1.36
half_wolens,13,10.21,2,Simul_+2,2.0,1.36
half_wolens,13,10.21,3,Simul_+1,1.9,1.35
half_wolens,13,10.21,4,Simul_0,2.0,1.36
half_wolens,13,10.21,5,Simul_-1,1.9,1.35
half_wolens,13,10.21,6,Simul_-2,1.9,1.35
half_wolens,13,10.21,7,Simul_-3,2.0,1.36
half_wolens,13,10.21,8,Simul_-4,1.9,1.34
half_wolens,14,10.99,0,Simul_+4,1.7,1.29
half_wolens,14,10.99,1,Simul_+3,1.6,1.29
half_wolens,14,10.99,2,Simul_+2,1.6,1.29
half_wolens,14,10.99,3,Simul_+1,1.7,1.29
half_wolens,14,10.99,4,Simul_0,1.6,1.29
half_wolens,14,10.99,5,Simul_-1,1.7,1.29
half_wolens,14,10.99,6,Simul_-2,1.6,1.29
half_wolens,14,10.99,7,Simul_-3,1.7,1.29
half_wolens,14,10.99,8,Simul_-4,1.7,1.3
half_wolens,15,11.78,0,Simul_+4,1.7,1.3
half_wolens,15,11.78,1,Simul_+3,1.7,1.31
half_wolens,15,11.78,2,Simul_+2,1.8,1.32
half_wolens,15,11.78,3,Simul_+1,1.8,1.31
half_wolens,15,11.78,4,Simul_0,1.8,1.32
half_wolens,15,11.78,5,Simul_-1,1.8,1.32
half_wolens,15,11.78,6,Simul_-2,1.8,1.32
half_wolens,15,11.78,7,Simul_-3,1.8,1.32
half_wolens,15,11.78,8,Simul_-4,1.8,1.32
half_wolens,16,12.56,0,Simul_+4,1.5,1.27
half_wolens,16,12.56,1,Simul_+3,1.5,1.27
half_wolens,16,12.56,2,Simul_+2,1.5,1.27
half_wolens,16,12.56,3,Simul_+1,1.5,1.27
half_wolens,16,12.56,4,Simul_0,1.5,1.27
half_wolens,16,12.56,5,Simul_-1,1.5,1.26
half_wolens,16,12.56,6,Simul_-2,1.5,1.26
half_wolens,16,12.56,7,Simul_-3,1.5,1.27
half_wolens,16,12.56,8,Simul_-4,1.6,1.27
half_wolens,17,13.35,0,Simul_+4,1.0,1.17
half_wolens,17,13.35,1,Simul_+3,1.0,1.17
half_wolens,17,13.35,2,Simul_+2,1.0,1.17
half_wolens,17,13.35,3,Simul_+1,1.0,1.17
half_wolens,17,13.35,4,Simul_0,1.0,1.17
half_wolens,17,13.35,5,Simul_-1,1.0,1.16
half_wolens,17,13.35,6,Simul_-2,0.9,1.15
half_wolens,17,13.35,7,Simul_-3,0.9,1.15
half_wolens,17,13.35,8,Simul_-4,0.9,1.15
half_wolens,18,14.13,0,Simul_+4,1.1,1.17
half_wolens,18,14.13,1,Simul_+3,1.0,1.17
half_wolens,18,14.13,2,Simul_+2,1.0,1.16
half_wolens,18,14.13,3,Simul_+1,1.0,1.16
half_wolens,18,14.13,4,Simul_0,1.0,1.16
half_wolens,18,14.13,5,Simul_-1,1.0,1.16
half_wolens,18,14.13,6,Simul_-2,1.0,1.16
half_wolens,18,14.13,7,Simul_-3,1.0,1.16
half_wolens,18,14.13,8,Simul_-4,1.0,1.16
half_wolens,19,14.92,0,Simul_+4,0.7,1.11
half_wolens,19,14.92,1,Simul_+3,0.7,1.11
half_wolens,19,14.92,2,Simul_+2,0.7,1.11
half_wolens,19,14.92,3,Simul_+1,0.7,1.11
half_wolens,19,14.92,4,Simul_0,0.7,1.11
half_wolens,19,14.92,5,Simul_-1,0.7,1.12
half_wolens,19,14.92,6,Simul_-2,0.7,1.12
half_wolens,19,14.92,7,Simul_-3,0.7,1.12
half_wolens,19,14.92,8,Simul_-4,0.8,1.13
half_wolens,20,15.7,0,Simul_+4,0.3,1.05
half_wolens,20,15.7,1,Simul_+3,0.3,1.05
half_wolens,20,15.7,2,Simul_+2,0.3,1.05
half_wolens,20,15.7,3,Simul_+1,0.3,1.05
half_wolens,20,15.7,4,Simul_0,0.3,1.05
half_wolens,20,15.7,5,Simul_-1,0.3,1.04
half_wolens,20,15.7,6,Simul_-2,0.3,1.04
half_wolens,20,15.7,7,Simul_-3,0.3,1.04
half_wolens,20,15.7,8,Simul_-4,0.3,1.05
half_wolens,21,16.49,0,Simul_+4,0.0,1.0
half_wolens,21,16.49,1,Simul_+3,0.0,1.0
