freq_hz,freq_ghz,dataset,sv1,sv2,sv3,condition_number,effective_rank,capacity_20db_bps_hz
37000000000.0,37.0,With Lens,0.1242309180595937,0.07587147901979847,0.0639310442923061,1.943201764256876,2.5416157768105427,1.0362972203985108
37005000000.0,37.005,With Lens,0.12408327428981632,0.07588357828588155,0.06390613402341715,1.9416488915500418,2.543052822777351,1.0350718769403202
37010000000.0,37.01,With Lens,0.12388950439487624,0.07592273890428732,0.06387701826185602,1.9395004301391525,2.5451729192631545,1.0336264012212197
37015000000.0,37.015,With Lens,0.12369669981559676,0.07594548382510168,0.06383844664550545,1.9376520939252153,2.5470372575445395,1.0320377446703868
37020000000.0,37.02,With Lens,0.12355275454302635,0.07593543303836778,0.06380774223636869,1.936328574130376,2.548183921531654,1.0306763333354536
37025000000.0,37.025,With Lens,0.12348795469525158,0.07592353422513841,0.06379903880343325,1.9355770402077945,2.5486980421447516,1.0300461137031651
37030000000.0,37.03,With Lens,0.12350428698963835,0.07596496072995494,0.06380109438023406,1.9357706664652556,2.5488838540614602,1.0304396284516169
37035000000.0,37.035,With Lens,0.12358263611027319,0.07608219318146685,0.06379712263163517,1.9371192776802773,2.5489433018482752,1.031753940704795
37040000000.0,37.04,With Lens,0.1236960830766274,0.07623470383217908,0.06378637216382023,1.9392243026291451,2.5488276959966627,1.033525677902583
37045000000.0,37.045,With Lens,0.12381535230393824,0.07635639040057345,0.0637765669847551,1.941392554628012,2.548404842014011,1.035160385421347
37050000000.0,37.05,With Lens,0.12390996796197203,0.0764152945387786,0.0637785377438683,1.9428160686215292,2.5478735783712447,1.036279097212948
37055000000.0,37.055,With Lens,0.12395801674513111,0.0764277491461135,0.06381592920338483,1.9424306484681935,2.5478784577610782,1.0369365470836458
37060000000.0,37.06,With Lens,0.12396102147734295,0.07642597586796211,0.06390534938916416,1.9397597018437063,2.548854561811137,1.0374328267717785
37065000000.0,37.065,With Lens,0.12394410758901557,0.076426483759946,0.06401044247778831,1.936310745422894,2.550244019557948,1.0378715053914416
37070000000.0,37.07,With Lens,0.12393988473872544,0.07642614735020446,0.06404937320144313,1.9350678787896847,2.5507314865018986,1.038047068350391
37075000000.0,37.075,With Lens,0.12397105295459944,0.07641315484720185,0.06397554013606056,1.9377882967606506,2.5494423400154007,1.0378129244817302
37080000000.0,37.08,With Lens,0.12404067791059929,0.07638074192713859,0.0638361472052199,1.943110343295537,2.546822261971482,1.0374084354378084
37085000000.0,37.085,With Lens,0.12412848596490876,0.07633704014787282,0.06372916804418302,1.947749982846964,2.544277503839417,1.0372543207651246
37090000000.0,37.09,With Lens,0.12419812415074641,0.07629673583161227,0.06371503647945836,1.9492749437691637,2.5430224632244594,1.0374796223138707
37095000000.0,37.095,With Lens,0.12421731722896716,0.07625506906470553,0.06378203036657848,1.9475284263458712,2.543238281313082,1.0377367729815645
37100000000.0,37.1,With Lens,0.1241771119590808,0.0761818817998424,0.06387172104098014,1.944164176810089,2.544102593040506,1.0374548871545135
37105000000.0,37.105,With Lens,0.12409133077847723,0.07605893685630392,0.06391659577937478,1.9414571327736483,2.5445396986611715,1.0362666061195527
37110000000.0,37.11,With Lens,0.12398081312854874,0.07591792173797342,0.06387910088344319,1.9408665966474694,2.5441542026577366,1.0343280035905351
37115000000.0,37.115,With Lens,0.12386300491155548,0.07582301057891075,0.06378759633341813,1.9418039247649785,2.543611989183707,1.032323580619255
37120000000.0,37.12,With Lens,0.12375376171671086,0.07581130516590277,0.06372156675537413,1.9421016779420879,2.54395885791077,1.0310344253082082
37125000000.0,37.125,With Lens,0.12367027493543686,0.0758616445436585,0.06373435295003267,1.9404021412501602,2.5454412417056593,1.0307537617723186
37130000000.0,37.13,With Lens,0.12362735991920319,0.07591979219394536,0.0637978244896214,1.937798990925072,2.547121500541871,1.0311145661802303
37135000000.0,37.135,With Lens,0.12363438481857421,0.07594707295494926,0.06384429362240593,1.936498593747228,2.547801662294577,1.0315881655989851
37140000000.0,37.14,With Lens,0.12369406009497881,0.07594825318802004,0.06384180717498014,1.9375087512161624,2.547127596492426,1.0320520800783555
37145000000.0,37.145,With Lens,0.12379563496705524,0.07596734384211115,0.06380422591484303,1.9402419383988825,2.5457399454015337,1.0327663211494404
