scenario,lens_angle_deg,yz_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,27.35999870,27.35999870,90.00000000,0.89742869
Simul_-45deg,-45,27.71999931,27.71999931,90.00000000,0.92591834
Simul_-45deg,-45,28.07999802,28.08000183,90.00000000,0.95387197
Simul_-45deg,-45,28.43999863,28.43999672,90.00000000,0.97561562
Simul_-45deg,-45,28.79999924,28.80000305,90.00000000,0.99922115
Simul_-45deg,-45,29.15999794,29.15999794,90.00000000,1.02465653
Simul_-45deg,-45,29.51999664,29.51999664,90.00000000,1.05189037
Simul_-45deg,-45,29.87999916,29.88000298,90.00000000,1.08088660
Simul_-45deg,-45,30.23999786,30.23999786,90.00000000,1.12525773
Simul_-45deg,-45,30.59999657,30.59999657,90.00000000,1.17837751
Simul_-45deg,-45,30.95999908,30.95999908,90.00000000,1.23339200
Simul_-45deg,-45,31.31999779,31.31999779,90.00000000,1.29022264
Simul_-45deg,-45,31.67999649,31.67999268,90.00000000,1.34879065
Simul_-45deg,-45,32.03999710,32.03999710,90.00000000,1.41420841
Simul_-45deg,-45,32.39999771,32.39999771,90.00000000,1.52223945
Simul_-45deg,-45,32.75999832,32.75999832,90.00000000,1.63084269
Simul_-45deg,-45,33.11999893,33.11999893,90.00000000,1.73991013
Simul_-45deg,-45,33.47999573,33.47999573,90.00000000,1.84934163
Simul_-45deg,-45,33.84000015,33.83999634,90.00000000,1.95904207
Simul_-45deg,-45,34.19999695,34.20000076,90.00000000,2.08419943
Simul_-45deg,-45,34.55999756,34.56000137,90.00000000,2.22042108
Simul_-45deg,-45,34.91999817,34.92000198,90.00000000,2.35513401
Simul_-45deg,-45,35.27999878,35.27999878,90.00000000,2.48834753
Simul_-45deg,-45,35.63999557,35.63999557,90.00000000,2.62007618
Simul_-45deg,-45,36.00000000,36.00000000,90.00000000,2.75033116
Simul_-45deg,-45,36.35999680,36.36000061,90.00000000,2.85735321
Simul_-45deg,-45,36.71999741,36.71999359,90.00000000,2.96330905
Simul_-45deg,-45,37.07999802,37.07999420,90.00000000,3.06821632
Simul_-45deg,-45,37.43999863,37.43999481,90.00000000,3.17208672
Simul_-45deg,-45,37.79999542,37.79999161,90.00000000,3.27493691
Simul_-45deg,-45,38.15999985,38.15999985,90.00000000,3.35149884
Simul_-45deg,-45,38.51999664,38.51999664,90.00000000,3.39653397
Simul_-45deg,-45,38.88000107,38.88000107,90.00000000,3.44204545
Simul_-45deg,-45,39.23999786,39.23999786,90.00000000,3.48801160
Simul_-45deg,-45,39.59999847,39.59999847,90.00000000,3.53441381
Simul_-45deg,-45,39.95999908,39.95999527,90.00000000,3.58123398
Simul_-45deg,-45,40.31999969,40.31999969,90.00000000,3.58241320
Simul_-45deg,-45,40.67999649,40.67999649,90.00000000,3.57896328
Simul_-45deg,-45,41.03999710,41.03999710,90.00000000,3.57668829
Simul_-45deg,-45,41.39999771,41.39999390,90.00000000,3.57559061
Simul_-45deg,-45,41.75999451,41.75999451,90.00000000,3.57566929
Simul_-45deg,-45,42.11999893,42.11999893,90.00000000,3.57321143
Simul_-45deg,-45,42.47999573,42.47999573,90.00000000,3.56465220
Simul_-45deg,-45,42.83999634,42.83999634,90.00000000,3.55749846
Simul_-45deg,-45,43.19999695,43.19999695,90.00000000,3.55175781
Simul_-45deg,-45,43.55999756,43.55999756,90.00000000,3.54743624
Simul_-45deg,-45,43.91999817,43.91999817,90.00000000,3.54453659
Simul_-45deg,-45,44.27999878,44.27999878,90.00000000,3.56730747
Simul_-45deg,-45,44.63999557,44.63999557,90.00000000,3.59798861
Simul_-45deg,-45,45.00000000,45.00000000,90.00000000,3.62957668
Simul_-45deg,-45,45.35999680,45.35999680,90.00000000,3.66205120
Simul_-45deg,-45,45.71999741,45.71999741,90.00000000,3.69539046
Simul_-45deg,-45,46.07999802,46.07999802,90.00000000,3.73693132
Simul_-45deg,-45,46.43999863,46.43999863,90.00000000,3.80450034
Simul_-45deg,-45,46.79999542,46.79999542,90.00000000,3.87198234
Simul_-45deg,-45,47.15999985,47.15999985,90.00000000,3.93936777
Simul_-45deg,-45,47.51999664,47.52000046,90.00000000,4.00664520
Simul_-45deg,-45,47.87999725,47.87999725,90.00000000,4.07379913
Simul_-45deg,-45,48.23999786,48.23999786,90.00000000,4.13760567
Simul_-45deg,-45,48.59999847,48.59999847,90.00000000,4.20036268
Simul_-45deg,-45,48.95999908,48.96000290,90.00000000,4.26378536
Simul_-45deg,-45,49.31999588,49.31999588,90.00000000,4.32782745
Simul_-45deg,-45,49.67999649,49.67999649,90.00000000,4.39245272
Simul_-45deg,-45,50.03999710,50.03999710,90.00000000,4.45255566
Simul_-45deg,-45,50.39999771,50.39999771,90.00000000,4.47371912
Simul_-45deg,-45,50.75999451,50.75999832,90.00000000,4.49725437
Simul_-45deg,-45,51.11999893,51.11999893,90.00000000,4.52312136
Simul_-45deg,-45,51.47999573,51.47999573,90.00000000,4.55127811
Simul_-45deg,-45,51.83999634,51.84000015,90.00000000,4.58168030
Simul_-45deg,-45,52.19999695,52.19999695,90.00000000,4.58097410
Simul_-45deg,-45,52.55999756,52.55999756,90.00000000,4.55613041
Simul_-45deg,-45,52.91999435,52.91999817,90.00000000,4.53392792
Simul_-45deg,-45,53.27999878,53.27999878,90.00000000,4.51440668
Simul_-45deg,-45,53.63999557,53.63999557,90.00000000,4.49760675
Simul_-45deg,-45,54.00000000,54.00000000,90.00000000,4.48355675
Simul_-45deg,-45,54.35999680,54.35999680,90.00000000,4.42956114
Simul_-45deg,-45,54.71999741,54.71999741,90.00000000,4.37707233
Simul_-45deg,-45,55.07999802,55.07999802,90.00000000,4.32615709
Simul_-45deg,-45,55.43999863,55.43999863,90.00000000,4.27687502
Simul_-45deg,-45,55.79999542,55.79999924,90.00000000,4.22929192
Simul_-45deg,-45,56.15999603,56.15999603,90.00000000,4.18176126
Simul_-45deg,-45,56.51999664,56.51999664,90.00000000,4.13305664
Simul_-45deg,-45,56.87999725,56.87999725,90.00000000,4.08501673
Simul_-45deg,-45,57.23999786,57.23999786,90.00000000,4.03766680
Simul_-45deg,-45,57.59999847,57.59999847,90.00000000,3.99103761
Simul_-45deg,-45,57.95999908,57.95999908,90.00000000,3.94515896
Simul_-45deg,-45,58.31999588,58.31999588,90.00000000,3.92402864
Simul_-45deg,-45,58.67999649,58.67999649,90.00000000,3.90661383
Simul_-45deg,-45,59.03999329,59.03999329,90.00000000,3.88992429
Simul_-45deg,-45,59.39999390,59.39999390,90.00000000,3.87396789
Simul_-45deg,-45,59.75999832,59.75999832,90.00000000,3.85875249
Simul_-45deg,-45,60.11999893,60.11999893,90.00000000,3.85167122
Simul_-45deg,-45,60.47999573,60.47999573,90.00000000,3.86059761
Simul_-45deg,-45,60.83999634,60.83999634,90.00000000,3.87099767
Simul_-45deg,-45,61.19999313,61.19999313,90.00000000,3.88285995
Simul_-45deg,-45,61.56000137,61.56000137,90.00000000,3.89617395
Simul_-45deg,-45,61.91999817,61.91999817,90.00000000,3.91092443
Simul_-45deg,-45,62.27999878,62.27999878,90.00000000,3.91580319
Simul_-45deg,-45,62.63999557,62.63999557,90.00000000,3.92015433
Simul_-45deg,-45,62.99999619,62.99999619,90.00000000,3.92735672
Simul_-45deg,-45,63.35999298,63.35999298,90.00000000,3.93739796
Simul_-45deg,-45,63.71999741,63.71999741,90.00000000,3.95025826
Simul_-45deg,-45,64.07999420,64.07999420,90.00000000,3.95369911
Simul_-45deg,-45,64.43999481,64.43999481,90.00000000,3.91769934
Simul_-45deg,-45,64.79999542,64.79999542,90.00000000,3.88539338
Simul_-45deg,-45,65.15999603,65.15999603,90.00000000,3.85686994
Simul_-45deg,-45,65.51999664,65.51999664,90.00000000,3.83220577
Simul_-45deg,-45,65.87999725,65.87999725,90.00000000,3.81146479
Simul_-45deg,-45,66.23999786,66.23999786,90.00000000,3.74558735
Simul_-45deg,-45,66.59999847,66.59999847,90.00000000,3.65787172
Simul_-45deg,-45,66.95999146,66.95999146,90.00000000,3.57278800
Simul_-45deg,-45,67.31999207,67.31999207,90.00000000,3.49053264
Simul_-45deg,-45,67.68000031,67.68000031,90.00000000,3.41129494
Simul_-45deg,-45,68.04000092,68.04000092,90.00000000,3.32871151
Simul_-45deg,-45,68.39999390,68.39999390,90.00000000,3.19498014
Simul_-45deg,-45,68.75999451,68.75999451,90.00000000,3.06112814
Simul_-45deg,-45,69.11999512,69.11999512,90.00000000,2.92728949
Simul_-45deg,-45,69.47999573,69.47999573,90.00000000,2.79358888
Simul_-45deg,-45,69.83999634,69.83999634,90.00000000,2.66017103
Simul_-45deg,-45,70.19999695,70.19999695,90.00000000,2.51935697
Simul_-45deg,-45,70.55999756,70.55999756,90.00000000,2.37111592
Simul_-45deg,-45,70.91999817,70.91999817,90.00000000,2.22125959
Simul_-45deg,-45,71.27999115,71.27999115,90.00000000,2.06979966
Simul_-45deg,-45,71.63999939,71.63999939,90.00000000,1.91675282
Simul_-45deg,-45,72.00000000,72.00000000,90.00000000,1.76214290
Simul_-45deg,-45,72.36000061,72.36000061,90.00000000,1.64996874
Simul_-45deg,-45,72.71999359,72.71999359,90.00000000,1.53767335
Simul_-45deg,-45,73.07999420,73.07999420,90.00000000,1.42532754
Simul_-45deg,-45,73.43999481,73.43999481,90.00000000,1.31300032
Simul_-45deg,-45,73.79999542,73.79999542,90.00000000,1.20077205
Simul_-45deg,-45,74.15999603,74.15999603,90.00000000,1.11876273
Simul_-45deg,-45,74.51999664,74.51999664,90.00000000,1.07537210
Simul_-45deg,-45,74.87999725,74.87999725,90.00000000,1.03343272
Simul_-45deg,-45,75.23999023,75.23999023,90.00000000,0.99299067
Simul_-45deg,-45,75.59999084,75.59999084,90.00000000,0.95409143
Simul_-45deg,-45,75.95999908,75.95999908,90.00000000,0.91677856
Simul_-45deg,-45,76.31999969,76.31999969,90.00000000,0.90951753
Simul_-45deg,-45,76.67999268,76.67999268,90.00000000,0.90676463
Simul_-45deg,-45,77.03999329,77.03999329,90.00000000,0.90492898
Simul_-45deg,-45,77.39999390,77.39999390,90.00000000,0.90401125
Simul_-45deg,-45,77.76000214,77.76000214,90.00000000,0.90401220
Simul_-45deg,-45,78.11999512,78.11999512,90.00000000,0.89619273
Simul_-45deg,-45,78.47999573,78.47999573,90.00000000,0.87164748
Simul_-45deg,-45,78.83999634,78.83999634,90.00000000,0.84778392
Simul_-45deg,-45,79.19999695,79.19999695,90.00000000,0.82461327
Simul_-45deg,-45,79.55998993,79.55998993,90.00000000,0.80214864
Simul_-45deg,-45,79.91999817,79.91999817,90.00000000,0.78039920
Simul_-45deg,-45,80.27999878,80.27999878,90.00000000,0.71036983
Simul_-45deg,-45,80.63999939,80.63999939,90.00000000,0.62678248
Simul_-45deg,-45,80.99999237,80.99999237,90.00000000,0.54365742
Simul_-45deg,-45,81.35999298,81.35999298,90.00000000,0.46105015
Simul_-45deg,-45,81.72000122,81.72000122,90.00000000,0.37902123
Simul_-45deg,-45,82.07999420,82.07999420,90.00000000,0.28328741
Simul_-45deg,-45,82.43999481,82.43999481,90.00000000,0.13716896
Simul_-45deg,-45,82.79999542,82.79999542,90.00000000,-0.00957593
Simul_-45deg,-45,83.15999603,83.15999603,90.00000000,-0.15683620
Simul_-45deg,-45,83.51998901,83.51998901,90.00000000,-0.30448467
Simul_-45deg,-45,83.87999725,83.87999725,90.00000000,-0.45239601
Simul_-45deg,-45,84.23999786,84.23999786,90.00000000,-0.62656409
Simul_-45deg,-45,84.59999847,84.59999847,90.00000000,-0.81502187
Simul_-45deg,-45,84.95999146,84.95999146,90.00000000,-1.00475383
Simul_-45deg,-45,85.31999207,85.31999207,90.00000000,-1.19555962
Simul_-45deg,-45,85.67999268,85.67999268,90.00000000,-1.38719821
Simul_-45deg,-45,86.04000092,86.04000092,90.00000000,-1.57979417
Simul_-45deg,-45,86.39999390,86.39999390,90.00000000,-1.77628171
Simul_-45deg,-45,86.75999451,86.75999451,90.00000000,-1.97329104
Simul_-45deg,-45,87.11999512,87.11999512,90.00000000,-2.17046046
Simul_-45deg,-45,87.47999573,87.47999573,90.00000000,-2.36737370
Simul_-45deg,-45,87.83999634,87.83999634,90.00000000,-2.56357670
Simul_-45deg,-45,88.19999695,88.19999695,90.00000000,-2.74762964
Simul_-45deg,-45,88.55999756,88.55999756,90.00000000,-2.92174554
Simul_-45deg,-45,88.91999817,88.91999817,90.00000000,-3.09433007
Simul_-45deg,-45,89.27999115,89.27999115,90.00000000,-3.26490927
Simul_-45deg,-45,89.63999176,89.63999176,90.00000000,-3.43295336
Simul_-45deg,-45,90.00000000,90.00000000,90.00000000,-3.59787464
Simul_-45deg,-45,90.35999298,90.35999298,90.00000000,-3.73777914
Simul_-45deg,-45,90.71999359,90.71999359,90.00000000,-3.87526894
Simul_-45deg,-45,91.07999420,91.07999420,90.00000000,-4.00996494
Simul_-45deg,-45,91.43999481,91.43999481,90.00000000,-4.14145279
Simul_-45deg,-45,91.79999542,91.79999542,90.00000000,-4.26931381
Simul_-45deg,-45,92.15999603,92.15999603,90.00000000,-4.38678551
Simul_-45deg,-45,92.51999664,92.51999664,90.00000000,-4.49322653
Simul_-45deg,-45,92.87999725,92.87999725,90.00000000,-4.59672976
Simul_-45deg,-45,93.23999023,93.23999023,90.00000000,-4.69701195
Simul_-45deg,-45,93.59999084,93.59999084,90.00000000,-4.79379559
Simul_-45deg,-45,93.95999908,93.95999908,90.00000000,-4.88678074
Simul_-45deg,-45,94.31999969,94.31999969,90.00000000,-4.96380377
Simul_-45deg,-45,94.67999268,94.67999268,90.00000000,-5.03574610
Simul_-45deg,-45,95.03999329,95.03999329,90.00000000,-5.10393667
Simul_-45deg,-45,95.39999390,95.39999390,90.00000000,-5.16817951
Simul_-45deg,-45,95.75999451,95.75999451,90.00000000,-5.22827530
Simul_-45deg,-45,96.11999512,96.11999512,90.00000000,-5.27632618
Simul_-45deg,-45,96.47999573,96.47999573,90.00000000,-5.30448914
Simul_-45deg,-45,96.83999634,96.83999634,90.00000000,-5.32812071
Simul_-45deg,-45,97.19999695,97.19999695,90.00000000,-5.34714460
Simul_-45deg,-45,97.55998993,97.55998993,90.00000000,-5.36149931
Simul_-45deg,-45,97.91999817,97.91999817,90.00000000,-5.37113953
Simul_-45deg,-45,98.27999878,98.27999878,90.00000000,-5.35145092
Simul_-45deg,-45,98.63999176,98.63999176,90.00000000,-5.32065296
Simul_-45deg,-45,98.99999237,98.99999237,90.00000000,-5.28593254
Simul_-45deg,-45,99.35999298,99.35999298,90.00000000,-5.24738026
Simul_-45deg,-45,99.71999359,99.71999359,90.00000000,-5.20510721
