scenario,lens_angle_deg,horizontal_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,-150.83999634,90.00000000,-150.83999634,-6.40564346
Simul_-45deg,-45,-150.47998047,90.00000000,-150.47998047,-6.34314299
Simul_-45deg,-45,-150.11999512,90.00000000,-150.11999512,-6.21008968
Simul_-45deg,-45,-149.75999451,90.00000000,-149.75999451,-6.28440809
Simul_-45deg,-45,-149.39999390,90.00000000,-149.39999390,-6.44815731
Simul_-45deg,-45,-149.03999329,90.00000000,-149.03999329,-6.56372356
Simul_-45deg,-45,-148.67999268,90.00000000,-148.67999268,-6.62702990
Simul_-45deg,-45,-148.31999207,90.00000000,-148.31999207,-6.63574600
Simul_-45deg,-45,-147.95999146,90.00000000,-147.95999146,-6.63687897
Simul_-45deg,-45,-147.59999084,90.00000000,-147.59999084,-6.97418928
Simul_-45deg,-45,-147.23999023,90.00000000,-147.23999023,-7.27118874
Simul_-45deg,-45,-146.87998962,90.00000000,-146.87998962,-7.51721954
Simul_-45deg,-45,-146.51998901,90.00000000,-146.51998901,-7.70204067
Simul_-45deg,-45,-146.15998840,90.00000000,-146.15998840,-7.81704903
Simul_-45deg,-45,-145.80000305,90.00000000,-145.80000305,-8.07416058
Simul_-45deg,-45,-145.43998718,90.00000000,-145.43998718,-8.43476868
Simul_-45deg,-45,-145.07998657,90.00000000,-145.07998657,-8.70854473
Simul_-45deg,-45,-144.72000122,90.00000000,-144.72000122,-8.87644768
Simul_-45deg,-45,-144.35998535,90.00000000,-144.35998535,-8.92539883
Simul_-45deg,-45,-144.00000000,90.00000000,-144.00000000,-8.85135269
Simul_-45deg,-45,-143.63998413,90.00000000,-143.63998413,-9.06633282
Simul_-45deg,-45,-143.27999878,90.00000000,-143.27999878,-9.15209770
Simul_-45deg,-45,-142.91999817,90.00000000,-142.91999817,-9.10085583
Simul_-45deg,-45,-142.55998230,90.00000000,-142.55998230,-8.91730309
Simul_-45deg,-45,-142.19999695,90.00000000,-142.19999695,-8.61729527
Simul_-45deg,-45,-141.83999634,90.00000000,-141.83999634,-8.42546749
Simul_-45deg,-45,-141.47999573,90.00000000,-141.47999573,-8.38016033
Simul_-45deg,-45,-141.11999512,90.00000000,-141.11999512,-8.22332478
Simul_-45deg,-45,-140.75997925,90.00000000,-140.75997925,-7.96646786
Simul_-45deg,-45,-140.39999390,90.00000000,-140.39999390,-7.62651396
Simul_-45deg,-45,-140.03999329,90.00000000,-140.03999329,-7.22253609
Simul_-45deg,-45,-139.67999268,90.00000000,-139.67999268,-7.10898018
Simul_-45deg,-45,-139.31999207,90.00000000,-139.31999207,-6.95489788
Simul_-45deg,-45,-138.95999146,90.00000000,-138.95999146,-6.72425842
Simul_-45deg,-45,-138.59999084,90.00000000,-138.59999084,-6.42885303
Simul_-45deg,-45,-138.23999023,90.00000000,-138.23999023,-6.08177185
Simul_-45deg,-45,-137.87998962,90.00000000,-137.87998962,-5.78940392
Simul_-45deg,-45,-137.51998901,90.00000000,-137.51998901,-5.62903023
Simul_-45deg,-45,-137.16000366,90.00000000,-137.16000366,-5.40822601
Simul_-45deg,-45,-136.79998779,90.00000000,-136.79998779,-5.13599348
Simul_-45deg,-45,-136.43998718,90.00000000,-136.43998718,-4.82208776
Simul_-45deg,-45,-136.08000183,90.00000000,-136.08000183,-4.47606468
Simul_-45deg,-45,-135.71998596,90.00000000,-135.71998596,-4.23958683
Simul_-45deg,-45,-135.36000061,90.00000000,-135.36000061,-3.99889684
Simul_-45deg,-45,-135.00000000,90.00000000,-135.00000000,-3.72030926
Simul_-45deg,-45,-134.63998413,90.00000000,-134.63998413,-3.41146326
Simul_-45deg,-45,-134.27999878,90.00000000,-134.27999878,-3.07957792
Simul_-45deg,-45,-133.91998291,90.00000000,-133.91998291,-2.75735831
Simul_-45deg,-45,-133.55999756,90.00000000,-133.55999756,-2.50432229
Simul_-45deg,-45,-133.19999695,90.00000000,-133.19999695,-2.22644711
Simul_-45deg,-45,-132.83998108,90.00000000,-132.83998108,-1.92909312
Simul_-45deg,-45,-132.47999573,90.00000000,-132.47999573,-1.61713576
Simul_-45deg,-45,-132.11999512,90.00000000,-132.11999512,-1.29481900
Simul_-45deg,-45,-131.75999451,90.00000000,-131.75999451,-1.03457069
Simul_-45deg,-45,-131.39999390,90.00000000,-131.39999390,-0.79485440
Simul_-45deg,-45,-131.03999329,90.00000000,-131.03999329,-0.54232144
Simul_-45deg,-45,-130.67999268,90.00000000,-130.67999268,-0.27981180
Simul_-45deg,-45,-130.31999207,90.00000000,-130.31999207,-0.00984134
Simul_-45deg,-45,-129.95999146,90.00000000,-129.95999146,0.25181571
Simul_-45deg,-45,-129.59999084,90.00000000,-129.59999084,0.41365865
Simul_-45deg,-45,-129.24000549,90.00000000,-129.24000549,0.58661127
Simul_-45deg,-45,-128.87998962,90.00000000,-128.87998962,0.76917899
Simul_-45deg,-45,-128.51998901,90.00000000,-128.51998901,0.95991480
Simul_-45deg,-45,-128.15998840,90.00000000,-128.15998840,1.15746546
Simul_-45deg,-45,-127.79998779,90.00000000,-127.79998779,1.27696502
Simul_-45deg,-45,-127.43999481,90.00000000,-127.43999481,1.34022021
Simul_-45deg,-45,-127.07999420,90.00000000,-127.07999420,1.41528225
Simul_-45deg,-45,-126.71998596,90.00000000,-126.71998596,1.50152707
Simul_-45deg,-45,-126.35999298,90.00000000,-126.35999298,1.59827590
Simul_-45deg,-45,-125.99999237,90.00000000,-125.99999237,1.70480680
Simul_-45deg,-45,-125.63999939,90.00000000,-125.63999939,1.64816725
Simul_-45deg,-45,-125.27999115,90.00000000,-125.27999115,1.60412657
Simul_-45deg,-45,-124.91998291,90.00000000,-124.91998291,1.57307887
Simul_-45deg,-45,-124.55999756,90.00000000,-124.55999756,1.55530906
