scenario,section,cell_index,output_index,relative_path,bytes,png_signature_valid
linear_without_lens,11,47,0,figures/source_notebook_sections_11_14/linear_without_lens/section_11_cell_047_01.png,139142,True
linear_without_lens,11,48,1,figures/source_notebook_sections_11_14/linear_without_lens/section_11_cell_048_01.png,319486,True
linear_without_lens,11,50,1,figures/source_notebook_sections_11_14/linear_without_lens/section_11_cell_050_01.png,75784,True
linear_without_lens,12,54,0,figures/source_notebook_sections_11_14/linear_without_lens/section_12_cell_054_01.png,102811,True
linear_without_lens,12,54,1,figures/source_notebook_sections_11_14/linear_without_lens/section_12_cell_054_02.png,56408,True
linear_without_lens,13,58,0,figures/source_notebook_sections_11_14/linear_without_lens/section_13_cell_058_01.png,59983,True
linear_without_lens,13,58,1,figures/source_notebook_sections_11_14/linear_without_lens/section_13_cell_058_02.png,76436,True
linear_without_lens,14,62,0,figures/source_notebook_sections_11_14/linear_without_lens/section_14_cell_062_01.png,103874,True
linear_without_lens,14,62,1,figures/source_notebook_sections_11_14/linear_without_lens/section_14_cell_062_02.png,40776,True
half_circular_without_lens,11,47,0,figures/source_notebook_sections_11_14/half_circular_without_lens/section_11_cell_047_01.png,161025,True
half_circular_without_lens,11,48,1,figures/source_notebook_sections_11_14/half_circular_without_lens/section_11_cell_048_01.png,392186,True
half_circular_without_lens,11,50,1,figures/source_notebook_sections_11_14/half_circular_without_lens/section_11_cell_050_01.png,98067,True
half_circular_without_lens,12,54,0,figures/source_notebook_sections_11_14/half_circular_without_lens/section_12_cell_054_01.png,106768,True
half_circular_without_lens,12,54,1,figures/source_notebook_sections_11_14/half_circular_without_lens/section_12_cell_054_02.png,67222,True
half_circular_without_lens,13,58,0,figures/source_notebook_sections_11_14/half_circular_without_lens/section_13_cell_058_01.png,60146,True
half_circular_without_lens,13,58,1,figures/source_notebook_sections_11_14/half_circular_without_lens/section_13_cell_058_02.png,75578,True
half_circular_without_lens,14,62,0,figures/source_notebook_sections_11_14/half_circular_without_lens/section_14_cell_062_01.png,110454,True
half_circular_without_lens,14,62,1,figures/source_notebook_sections_11_14/half_circular_without_lens/section_14_cell_062_02.png,45599,True
linear_lens,11,47,0,figures/source_notebook_sections_11_14/linear_lens/section_11_cell_047_01.png,139075,True
linear_lens,11,48,1,figures/source_notebook_sections_11_14/linear_lens/section_11_cell_048_01.png,540079,True
linear_lens,11,50,1,figures/source_notebook_sections_11_14/linear_lens/section_11_cell_050_01.png,75987,True
linear_lens,12,54,0,figures/source_notebook_sections_11_14/linear_lens/section_12_cell_054_01.png,125764,True
linear_lens,12,54,1,figures/source_notebook_sections_11_14/linear_lens/section_12_cell_054_02.png,61343,True
linear_lens,13,58,0,figures/source_notebook_sections_11_14/linear_lens/section_13_cell_058_01.png,72669,True
linear_lens,13,58,1,figures/source_notebook_sections_11_14/linear_lens/section_13_cell_058_02.png,59946,True
linear_lens,14,62,0,figures/source_notebook_sections_11_14/linear_lens/section_14_cell_062_01.png,130882,True
linear_lens,14,62,1,figures/source_notebook_sections_11_14/linear_lens/section_14_cell_062_02.png,45547,True
half_circular_lens,11,47,0,figures/source_notebook_sections_11_14/half_circular_lens/section_11_cell_047_01.png,160900,True
half_circular_lens,11,48,1,figures/source_notebook_sections_11_14/half_circular_lens/section_11_cell_048_01.png,509960,True
half_circular_lens,11,50,1,figures/source_notebook_sections_11_14/half_circular_lens/section_11_cell_050_01.png,88206,True
half_circular_lens,12,54,0,figures/source_notebook_sections_11_14/half_circular_lens/section_12_cell_054_01.png,120919,True
half_circular_lens,12,54,1,figures/source_notebook_sections_11_14/half_circular_lens/section_12_cell_054_02.png,62107,True
half_circular_lens,13,58,0,figures/source_notebook_sections_11_14/half_circular_lens/section_13_cell_058_01.png,53557,True
half_circular_lens,13,58,1,figures/source_notebook_sections_11_14/half_circular_lens/section_13_cell_058_02.png,57682,True
half_circular_lens,14,62,0,figures/source_notebook_sections_11_14/half_circular_lens/section_14_cell_062_01.png,132456,True
half_circular_lens,14,62,1,figures/source_notebook_sections_11_14/half_circular_lens/section_14_cell_062_02.png,51426,True
